SESSION_ID,EVENT_ID,EVENT_TIMESTAMP,PAGE_URL,PUBLISHER_ORDER_ID,ML_MODEL,WIDGET_TYPE,CONV_ORDER_ID,EVENT_CREATED_AT,CUSTOMER_TYPE,EVENT_CLASSIFICATION,DAYS_TO_ATTRIBUTION,DISCOUNT_CODES,EVENT_ORDER_ID_MATCH,IP_MATCH,USER_AGENT_MATCH
9176c102-33a6-47e0-a3c1-f87c79bf9f7e,5d42fea2-044a-473c-8623-c9fdd0c369ea,2024-03-19T18:03:07.768Z,https://twillory.com/checkouts/cn/e96d85cee072fc535762f08704f99207/thank_you,,contextual,LEAD_GEN,5253611257916,2024-03-19T18:03:07.768Z,returning,display,4,SAVE10,FALSE,FALSE,FALSE
eeee4666-2099-4acb-a432-55cb2cd51386,003a7b68-1bfe-41be-8a73-e49e2e095749,2024-03-20T13:51:44.21Z,https://twillory.com/checkouts/cn/238001cae2da7701a8f37278cbeaf1c2/thank_you,,bert4recs1,DISCOFEED,5253786599484,2024-03-20T13:51:44.21Z,lapsed,display,3,,FALSE,FALSE,FALSE
503365ed-8560-4825-aee7-f5418cea5a3c,226045b7-2d17-4670-a68d-5044d3b8724d,2024-03-20T13:11:46.849Z,https://twillory.com/checkouts/cn/435bf157bfb055ac7e9d15c92057b306/thank_you,,contextual,LEAD_GEN,5253777883196,2024-03-20T13:11:46.849Z,new,display,3,,FALSE,FALSE,TRUE
055bb01f-e5c1-46b5-a149-8d52d8c24530,e7cfbc60-d0c1-4319-8e1a-4afbf42f9009,2024-03-15T04:22:15.862Z,https://twillory.com/10424718/orders/1570caecfc54068161b87f5f8339ccd4,,contextual,LEAD_GEN,5251715498044,2024-03-15T04:22:15.862Z,new,display,7,BUNNY15,FALSE,FALSE,FALSE
4c49340c-5392-4cd4-b1e2-a2c49e55bedc,12c67f16-0d6c-430c-bd64-d3c46548916c,2024-03-20T14:03:12.542Z,https://twillory.com/checkouts/cn/e2a70af856236253de6f7118a9d96731/thank_you,,contextual,LEAD_GEN,5255286358076,2024-03-20T14:03:12.542Z,returning,display,4,HELLOM76KKNBV,FALSE,FALSE,FALSE
b69cb2a6-3982-460d-b974-43ea1d42b97d,4b55f6a1-6848-412f-932a-a1cc7cc82cf1,2024-03-19T17:38:27.816Z,https://twillory.com/checkouts/cn/a31186a151bda17c02f8c7d09c8fe47e/thank_you,,contextual,LEAD_GEN,5253602672700,2024-03-19T17:38:27.816Z,returning,display,4,SAVE20,FALSE,FALSE,FALSE
6b54081a-29e8-4938-ab51-af0102f1d4e7,708dae68-386c-4cba-968c-536b5b7d5a48,2024-03-19T17:24:10.383Z,https://twillory.com/checkouts/cn/94188f3002fcd8e87e728ea8c2d2cc13/thank_you,,contextual,LEAD_GEN,5253598740540,2024-03-19T17:24:10.383Z,new,display,4,,FALSE,FALSE,FALSE
a3b1c85d-8226-43f7-a84e-b6b61b052475,06662733-87cc-47f3-a361-f365200aa9bf,2024-03-23T02:57:09.058Z,https://twillory.com/checkouts/cn/2850ca21829b7aa02e0f2425428f520d/thank_you,,contextual,LEAD_GEN,5254644006972,2024-03-23T02:57:09.058Z,new,display,1,YOUNEEDTHIS15,FALSE,FALSE,FALSE
93c9476b-2b00-4dce-b474-e452df239c13,98a898b5-28b2-4df6-a32d-4e7c8ea42369,2024-03-23T02:09:14.619Z,https://twillory.com/checkouts/cn/ece1dc01790f39ee38b2e4f67151e346/thank_you,,contextual,LEAD_GEN,5254631194684,2024-03-23T02:09:14.619Z,returning,display,1,SAVE15,FALSE,FALSE,FALSE
908fbb3b-6025-4721-a72d-257ec1e31669,546a87ef-1117-4d67-9c42-ed599c9fb734,2024-03-19T15:45:39.161Z,https://twillory.com/checkouts/cn/e5c5e42ec5c8f6d6f8beb37c826787e7/thank_you,,contextual,LEAD_GEN,5253571870780,2024-03-19T15:45:39.161Z,new,display,4,HELLOSNACK,FALSE,FALSE,FALSE
4a564873-617e-4f16-86d8-9cf78bd48256,e04ec84c-e858-4563-b326-6aaf66f5010b,2024-03-20T21:09:21.441Z,https://twillory.com/10424718/orders/b388c9bd7ef114bd8324d9924f676bfa,,contextual,LEAD_GEN,5253867569212,2024-03-20T21:09:21.441Z,new,display,3,HELLOSNACK,FALSE,FALSE,FALSE
f1e846f5-abbf-4fe6-80d3-0752dbf1934f,89cdf892-997b-43f2-af86-29359bfa4f24,2024-03-15T21:33:48.512Z,https://twillory.com/checkouts/cn/edb95ce186e6320f901d9604ad0fa40a/thank_you,,contextual,LEAD_GEN,5252167106620,2024-03-15T21:33:48.512Z,new,display,7,CLVIP15,FALSE,FALSE,FALSE
19a5f4be-1e4d-4a5c-b486-0709a2852ef1,d20abbdd-3846-4b9c-bfd0-5cf64e849595,2024-03-19T10:43:03.788Z,https://twillory.com/checkouts/cn/e81e6f3d2a9ac31781627a9be3cbb20f/thank_you,,bert4recs1,DISCOFEED,5253511020604,2024-03-19T10:43:03.788Z,returning,click,4,SAVE20,FALSE,FALSE,FALSE
e5cad1f1-501b-4432-8215-07b2a374a799,e2ad6609-0d12-4b51-8a1f-981aba29eac5,2024-03-20T19:04:38.556Z,https://twillory.com/checkouts/cn/1d43f63e4c1c06c22b7fce2ac17b5272/thank_you,,contextual,LEAD_GEN,5253854756924,2024-03-20T19:04:38.556Z,new,display,3,HELLORVS3LXKH,FALSE,FALSE,FALSE
f579ab45-e96d-4349-ac83-5ee1e4d14c31,5a415118-847f-4e1a-9b4e-c62b5694766c,2024-03-15T21:24:11.183Z,https://twillory.com/checkouts/cn/354dc9e3531ce6c10743a51e93565329/thank_you,,contextual,LEAD_GEN,5252163076156,2024-03-15T21:24:11.183Z,new,display,7,BUNNY15,FALSE,FALSE,FALSE
258b31c8-e2a3-42bd-9d34-b68b4149d4b5,3d2bad19-46e0-4f65-8ca2-23df2eefe2b0,2024-03-16T05:04:33.505Z,https://twillory.com/checkouts/cn/02022787fde8bf9f6731413f1913d6e3/thank_you,,contextual,LEAD_GEN,5252267016252,2024-03-16T05:04:33.505Z,new,display,6,,FALSE,FALSE,FALSE
9196382e-5560-4878-8466-12015295a9f9,d38f60ae-2376-46fb-88cd-a944fa8d0704,2024-03-16T03:07:38.601Z,https://twillory.com/checkouts/cn/656a256c363a3f86b16fd5725006fe26/thank_you,,bert4recs1,DISCOFEED,5252248502332,2024-03-16T03:07:38.601Z,returning,display,6,BUNNY15,FALSE,FALSE,FALSE
b9038791-73b1-44b6-b970-77479b4ab517,8d9474e5-362d-4b32-b005-f41ca13f6fee,2024-03-16T04:23:12.008Z,https://twillory.com/checkouts/cn/90f6e223f52887cfdca45f0f9326b1c0/thank_you,,contextual,LEAD_GEN,5252260855868,2024-03-16T04:23:12.008Z,new,display,6,BUNNY15,FALSE,FALSE,FALSE
617f0e6e-f015-4ee1-b73a-e4de5fb22105,47957dbb-10cd-4afa-8ea4-31970b40a475,2024-03-17T13:17:37.779Z,https://twillory.com/10424718/orders/6af2f39340231ee00f2bd636f5d36fef,,contextual,LEAD_GEN,5252536959036,2024-03-17T13:17:37.779Z,returning,display,6,SAVE15,FALSE,FALSE,TRUE
e0f533d0-3958-4592-a5d1-cf78591c7ce2,bae7b2f2-d086-4c60-8372-cab32aabf957,2024-03-17T10:30:18.499Z,https://twillory.com/10424718/orders/efae5c703977efbb99d7bed5632eec8e,,contextual,LEAD_GEN,5252532273212,2024-03-17T10:30:18.499Z,returning,display,6,,FALSE,FALSE,FALSE
ea737595-0a04-40a4-8a9b-21e33daed440,cb9a8cb5-df65-4268-925f-39ced92ca538,2024-03-15T21:17:14.644Z,https://twillory.com/10424718/orders/01fbdda8a8a101902da72f7a59d6166f,,bert4recs1,DISCOFEED,5251755868220,2024-03-15T21:17:14.644Z,new,display,7,HELLOSNACK,FALSE,FALSE,TRUE
5d901ccd-1223-4282-b988-98c889d427e8,8b123ff1-b0f5-4e3c-b6ea-3b0c53ebb9da,2024-03-15T21:01:42.662Z,https://twillory.com/10424718/orders/820f66b723131059c79a3533657fd503,,contextual,LEAD_GEN,5252140630076,2024-03-15T21:01:42.662Z,lapsed,display,7,,FALSE,FALSE,FALSE
280a26c0-75d9-46f5-acda-54c0395b1f05,25097e87-472a-459f-bf02-077dbfb8d8ec,2024-03-15T22:49:58.473Z,https://twillory.com/10424718/orders/3c523dbb45af28d65970f91e07ae7f88,,contextual,LEAD_GEN,5252149641276,2024-03-15T22:49:58.473Z,new,display,7,BUNNY15,FALSE,FALSE,FALSE
236e1ecc-3b4d-42cc-8124-98eddd4db947,6eb0f16d-ce5e-4f3e-be5e-97490ee57df1,2024-03-18T00:32:49.086Z,https://twillory.com/10424718/orders/f4e8a30b2a3c9f877d1afcd5c5794c07,,contextual,LEAD_GEN,5252393762876,2024-03-18T00:32:49.086Z,returning,display,4,SAVE15,FALSE,FALSE,FALSE
b89a20b9-f8a0-4903-8ea6-9ace21ef2664,6f880706-2761-48ba-b091-cd31eed01114,2024-03-15T15:31:47.491Z,https://twillory.com/checkouts/cn/f16d3c18128365b55f3f790812992215/thank_you,,contextual,LEAD_GEN,5252044980284,2024-03-15T15:31:47.491Z,new,display,7,HELLOSNACK,FALSE,FALSE,FALSE
46f2a2cb-65e0-4b17-b66c-cafe1a1aa5e9,d3f00868-75d0-4ad5-b9ff-3931b0ab2409,2024-03-16T00:58:10.607Z,https://twillory.com/10424718/orders/e4857755c5c380019d72c0966bbc2f5a,,contextual,LEAD_GEN,5252055334972,2024-03-16T00:58:10.607Z,new,display,6,,FALSE,FALSE,FALSE
671e556e-6352-41b2-8ac2-8bb66bc355f7,3e8f33ec-458b-488a-aabd-658567d0cee2,2024-03-15T16:10:50.073Z,https://twillory.com/checkouts/cn/4b9c95d9641a8c133b4769fee3951ed2/thank_you,,contextual,LEAD_GEN,5252056580156,2024-03-15T16:10:50.073Z,new,display,7,LAKENH20,FALSE,FALSE,TRUE
28ea2c1e-2e9a-414a-8de7-0f00afe1e40d,e739c502-bcfb-4f87-9088-90a73d0ece4a,2024-03-15T12:28:54.91Z,https://twillory.com/checkouts/cn/c9c17061ab214a356fef3d6c3a0ebae2/thank_you,,contextual,LEAD_GEN,5252012146748,2024-03-15T12:28:54.91Z,new,display,7,BUNNY15,FALSE,FALSE,FALSE
3264ab34-5de6-44bd-bab0-78a8dfabbe41,58eb071e-55ef-4e7c-be2a-75c9ac752e74,2024-03-15T16:15:12.739Z,https://twillory.com/checkouts/cn/e627a7ab71aa5f41a6cd99963c005676/thank_you,,contextual,LEAD_GEN,5252057694268,2024-03-15T16:15:12.739Z,new,display,7,RACHELLEF20,FALSE,FALSE,FALSE
854e646e-0a86-457f-9c93-25141e135900,d07c13f7-a564-49a8-90a9-d8fabe51f414,2024-03-15T17:08:47.853Z,https://twillory.com/checkouts/cn/b04cf22668a80ee8c764ed9ed6df606f/thank_you,,contextual,LEAD_GEN,5252075520060,2024-03-15T17:08:47.853Z,new,display,7,BUNNY15,FALSE,FALSE,FALSE
27619cbe-6651-4fb3-8933-7c603a1ab267,be6eab3f-535e-47f1-91f4-dca0df05b0f7,2024-03-15T18:41:52.749Z,https://twillory.com/10424718/orders/2fd1d506a13fa213f689009c00f1bf63,,bert4recs1,DISCOFEED,5252044619836,2024-03-15T18:41:52.749Z,returning,display,7,BUNNY15,FALSE,FALSE,FALSE
4d0de07c-8a5c-4137-860c-d9e3afd1df31,d832c910-efe2-48e1-9fbc-c95426e49855,2024-03-15T13:43:47.363Z,https://twillory.com/checkouts/cn/4d3f3589cfd1e630a449cab3a4f002e6/thank_you,,bert4recs1,DISCOFEED,5252017389628,2024-03-15T13:43:47.363Z,new,display,7,HELLOSNACK,FALSE,FALSE,FALSE
709d7bc2-4491-45cb-a7e3-50bfdcc57aca,f634bd9d-b248-49b1-a7bc-faf25f9e0779,2024-03-16T15:57:45.912Z,https://twillory.com/checkouts/cn/78e94f669d7bff985d354620d4acd756/thank_you,,contextual,LEAD_GEN,5252347625532,2024-03-16T15:57:45.912Z,new,display,6,HELLOSNACK,FALSE,FALSE,FALSE
2f48ae8e-a097-40a9-b0fc-a1a472ad643a,e7d0b84f-a80e-40ac-a4a7-1a9699c50cba,2024-03-22T00:46:46.093Z,https://twillory.com/10424718/orders/b4effa8544339934f91ef1cf7f124296,,bert4recs1,DISCOFEED,5252585521212,2024-03-22T00:46:46.093Z,returning,display,1,SAVE15,FALSE,FALSE,FALSE
d20a23c1-90bb-4e1f-be02-27df91f8c81a,e2fe401f-5cff-4209-9a8c-bb1007f5c69c,2024-03-17T17:23:44.504Z,https://twillory.com/checkouts/cn/2a8af1a0c93d030952e0bd8d50c95761/thank_you,,contextual,LEAD_GEN,5252669538364,2024-03-17T17:23:44.504Z,new,display,6,COTC,FALSE,FALSE,FALSE
04176922-d47d-4a12-aea1-b442c5fddda1,120a645a-4cfa-408e-9114-efaeea86c9d3,2024-03-17T16:26:49.577Z,https://twillory.com/checkouts/cn/8c4fb3d4d4abe46d1aa6fe22cbb6fd3f/thank_you,,contextual,LEAD_GEN,5252600102972,2024-03-17T16:26:49.577Z,new,display,6,HELLO8CDSGF5T,FALSE,FALSE,FALSE
436a0ff9-bcd7-484c-8143-23fb4559471d,78ea411d-1e8d-418c-ab1d-1fa2b5af8883,2024-03-17T16:22:56.926Z,https://twillory.com/checkouts/cn/b08198d636ef60ccef3db46f4dacaf7d/thank_you,,contextual,LEAD_GEN,5252598530108,2024-03-17T16:22:56.926Z,new,display,6,SAVE10,FALSE,FALSE,FALSE
bfbbbbd9-278f-4463-b483-d87534dfe4a3,023bb9f1-3734-46eb-8589-2684c90e4227,2024-03-17T15:30:48.16Z,https://twillory.com/checkouts/cn/f807a4682b2cfcd52e287d0181e52691/thank_you,,bert4recs1,DISCOFEED,5252559634492,2024-03-17T15:30:48.16Z,new,display,6,SAVE15,FALSE,FALSE,FALSE
eea327e4-cc27-4426-be66-46c6a0eb196b,d0a3f96f-f0a5-49d8-9522-488dfad8f688,2024-03-17T14:24:09.121Z,https://twillory.com/checkouts/cn/99ce5743667c95650c7cd04487941230/thank_you,,contextual,LEAD_GEN,5252550721596,2024-03-17T14:24:09.121Z,new,display,6,SAVE10,FALSE,FALSE,FALSE
