PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Rank
Glamnetic,Little Words Project,,,573,4,40.0,69.81,0.006981,10.0,0.3836385108895722,13.0
Glamnetic,Dropps,25.0,0.0,114,0,0.0,0.0,0.0,7.56,0.36330421645086136,14.0
Glamnetic,Liquid I.V.,,,15330,0,0.0,0.0,0.0,41.9,0.32183978976263183,15.0
Glamnetic,"Dermaclara, LLC",,,126,0,0.0,0.0,0.0,12.37,0.2581323346349041,16.0
Glamnetic,SolaWave,,,292,1,10.0,34.25,0.003425,10.0,0.23671706263498926,17.0
Glamnetic,Dollar Shave Club,30.0,0.0,549,2,10.0,18.21,0.003643,5.0,0.06667588760386854,18.0
Glamnetic,Buffbunny Collection,,,595,5,28.0,47.06,0.008403,5.6,0.021855749077019655,19.0
Glamnetic,Laura Geller,,,18309,7,105.0,5.73,0.000382,15.0,0.0,20.0
Glamnetic,NOMAD Grills,,,1058,0,0.0,0.0,0.0,150.0,0.0,21.0
Glamnetic,M.M.LaFleur,,,1529,0,0.0,0.0,0.0,75.96,0.0,22.0
Glamnetic,BlendJet,,,9371,1,5.0,0.53,0.000107,5.0,0.0,23.0
Glamnetic,ARMRA Colostrum™,,,202,0,0.0,0.0,0.0,50.0,0.0,24.0
Glamnetic,Character Home,150.0,50.0,530,0,0.0,0.0,0.0,126.67,0.0,25.0
Glamnetic,Licorice,,,124,0,0.0,0.0,0.0,27.78,0.0,26.0
Faherty Brand,Tula Skincare,,,5860,6,300.0,51.19,0.001024,50.0,0.9787336816010386,1.0
Faherty Brand,Divi,,,865,2,100.0,115.61,0.002312,50.0,0.9555969315558205,2.0
Faherty Brand,Willow Pumps,,,528,1,40.0,75.76,0.001894,40.0,0.872785113151539,3.0
Faherty Brand,Kopari,,,521,5,160.0,307.1,0.009597,32.0,0.7869495366479055,4.0
Faherty Brand,Storq,,,432,2,40.0,92.59,0.00463,20.0,0.7415016650884678,5.0
Faherty Brand,Bodily,,,552,0,0.0,0.0,0.0,21.63,0.5926991456447032,6.0
Faherty Brand,HATCH,40.0,10.0,2084,7,100.0,47.98,0.003359,14.29,0.5511730096075073,7.0
Faherty Brand,Sol de Janeiro,20.0,10.0,4280,6,80.0,18.69,0.001402,13.33,0.5315090063730863,8.0
Faherty Brand,Wolf & Shepherd,,,14980,22,675.0,45.06,0.001469,30.68,0.42639670599751034,9.0
Faherty Brand,jane iredale,20.0,5.0,428,4,20.0,46.73,0.009346,5.0,0.10589749864345828,10.0
Faherty Brand,True Botanicals,,,752,2,20.0,26.6,0.00266,10.0,0.08904233474129952,11.0
Faherty Brand,Dollar Shave Club,30.0,0.0,2274,5,50.0,21.99,0.002199,10.0,0.06667588760386854,12.0
Faherty Brand,Dr. Squatch,25.0,0.0,9194,14,158.0,17.19,0.001523,11.29,0.0,13.0
Faherty Brand,Laura Geller,,,17581,16,240.0,13.65,0.00091,15.0,0.0,14.0
Faherty Brand,Motherhood,40.0,7.0,162,0,0.0,0.0,0.0,29.0,0.0,15.0
Tushbaby,Lunya,150.0,75.0,1815,1,150.0,82.64,0.000551,150.0,1.0,1.0
Tushbaby,Tula Skincare,,,1473,0,0.0,0.0,0.0,50.0,0.9787336816010386,2.0
Tushbaby,Divi,,,665,1,50.0,75.19,0.001504,50.0,0.9555969315558205,3.0
