PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Rank
Morphe,Lunya,150.0,75.0,2591,0,0.0,0.0,0.0,99.56,1.0,1.0
Morphe,Divi,,,295,0,0.0,0.0,0.0,50.0,0.9555969315558205,2.0
Morphe,Caraway,,,472,0,0.0,0.0,0.0,52.72,0.9342348572705317,3.0
Morphe,Willow Pumps,,,133,0,0.0,0.0,0.0,40.0,0.872785113151539,4.0
Morphe,Blueland,33.0,0.0,250,1,33.0,132.0,0.004,33.0,0.829948185425954,5.0
Morphe,Kopari,,,1262,1,35.0,27.73,0.000792,35.0,0.7869495366479055,6.0
Morphe,Posh Peanut,35.0,0.0,125,0,0.0,0.0,0.0,27.5,0.7663449978188939,7.0
Morphe,Vegamour,50.0,0.0,6478,3,150.0,23.16,0.000463,50.0,0.723829384289651,8.0
Morphe,Caden Lane,,,4058,1,20.0,4.93,0.000246,20.0,0.6987094234431689,9.0
Morphe,Dagne Dover,,,1063,1,20.0,18.81,0.000941,20.0,0.6813158986689933,10.0
Morphe,Snuggle Me Organic,,,456,0,0.0,0.0,0.0,17.11,0.49174903446147955,11.0
Morphe,Tushbaby,,,264,0,0.0,0.0,0.0,14.89,0.47037419272468056,12.0
Morphe,Monica & Andy Inc.,,,139,0,0.0,0.0,0.0,21.45,0.4449031269616658,13.0
Morphe,Wolf & Shepherd,,,114,0,0.0,0.0,0.0,30.69,0.42639670599751034,14.0
Morphe,Solly Baby,,,150,0,0.0,0.0,0.0,15.3,0.40566874847056567,15.0
Morphe,Little Words Project,,,1271,1,10.0,7.87,0.000787,10.0,0.3836385108895722,16.0
Morphe,Liquid I.V.,,,7985,0,35.0,4.38,0.0,inf,0.32183978976263183,17.0
Morphe,"Dermaclara, LLC",,,205,0,0.0,0.0,0.0,12.37,0.2581323346349041,18.0
Morphe,Carve Designs,,,135,0,0.0,0.0,0.0,26.36,0.21442509229803483,19.0
Morphe,Volcom,15.0,8.0,282,0,0.0,0.0,0.0,10.33,0.1942184723744268,20.0
Morphe,Bad Birdie,,,140,0,0.0,0.0,0.0,25.0,0.04833969932651694,21.0
Morphe,Buffbunny Collection,,,1921,1,12.0,6.25,0.000521,12.0,0.021855749077019655,22.0
Morphe,Newton Baby,,,213,0,0.0,0.0,0.0,3.0,0.003594037600144698,23.0
Morphe,Muslin Comfort,,,213,0,0.0,0.0,0.0,47.0,0.0,24.0
Morphe,Dr. Squatch,25.0,0.0,2107,0,0.0,0.0,0.0,8.93,0.0,25.0
Morphe,ARMRA Colostrum™,,,319,0,0.0,0.0,0.0,50.0,0.0,26.0
Morphe,Glamnetic,,,3736,0,0.0,0.0,0.0,15.52,0.0,27.0
Morphe,NOMAD Grills,,,672,0,0.0,0.0,0.0,150.0,0.0,28.0
Morphe,BlendJet,,,5533,0,0.0,0.0,0.0,7.25,0.0,29.0
Morphe,Petunia Pickle Bottom,,,139,0,0.0,0.0,0.0,16.67,0.0,30.0
Morphe,True Classic,45.0,0.0,303,0,0.0,0.0,0.0,44.79,0.0,31.0
Morphe,Licorice,,,261,0,0.0,0.0,0.0,27.78,0.0,32.0
Morphe,M.M.LaFleur,,,2213,0,0.0,0.0,0.0,75.96,0.0,33.0
Morphe,Gibsonlook,,,164,0,0.0,0.0,0.0,21.33,0.0,34.0
Morphe,Character Home,150.0,50.0,1401,0,0.0,0.0,0.0,126.67,0.0,35.0
Morphe,MANSCAPED,,,7253,0,0.0,0.0,0.0,0.01,0.0,36.0
Posh Peanut,Tula Skincare,,,205,0,0.0,0.0,0.0,50.0,0.9787336816010386,1.0
Posh Peanut,Divi,,,167,1,50.0,299.4,0.005988,50.0,0.9555969315558205,2.0
Posh Peanut,Caraway,,,124,0,0.0,0.0,0.0,52.72,0.9342348572705317,3.0
Posh Peanut,Once Upon a Farm,,,280,1,40.0,142.86,0.003571,40.0,0.8935939312047154,4.0
Posh Peanut,Willow Pumps,,,4218,0,0.0,0.0,0.0,40.0,0.872785113151539,5.0
Posh Peanut,Nanit,,,10720,9,375.0,34.98,0.00084,41.67,0.8477885710029898,6.0
Posh Peanut,Vegamour,50.0,0.0,158,0,0.0,0.0,0.0,25.6,0.723829384289651,7.0
Posh Peanut,Dagne Dover,,,4328,5,130.0,30.04,0.001155,26.0,0.6813158986689933,8.0
Posh Peanut,Morphe,,,138,0,0.0,0.0,0.0,38.24,0.6606326272223345,9.0
Posh Peanut,Gathre,,,498,2,40.0,80.32,0.004016,20.0,0.6383108661651895,10.0
Posh Peanut,Bodily,,,1456,5,129.0,88.6,0.003434,25.8,0.5926991456447032,11.0
Posh Peanut,Lalo,,,3189,15,260.0,81.53,0.004704,17.33,0.5734288054985158,12.0
Posh Peanut,Sol de Janeiro,20.0,10.0,508,1,20.0,39.37,0.001969,20.0,0.5315090063730863,13.0
Posh Peanut,Coterie,,,777,2,33.0,42.47,0.002574,16.5,0.5080466863143559,14.0
Posh Peanut,Tushbaby,,,10256,8,105.0,10.24,0.00078,13.12,0.47037419272468056,15.0
Posh Peanut,Little Words Project,,,290,0,0.0,0.0,0.0,10.84,0.3836385108895722,16.0
Posh Peanut,Liquid I.V.,,,753,2,70.0,92.96,0.002656,35.0,0.32183978976263183,17.0
Posh Peanut,ByHeart,30.0,20.0,139,0,0.0,0.0,0.0,16.21,0.29678366617370117,18.0
Posh Peanut,"Dermaclara, LLC",,,259,1,10.0,38.61,0.003861,10.0,0.2581323346349041,19.0
Posh Peanut,Lalabu,,,871,2,11.0,12.63,0.002296,5.5,0.15167945185074852,20.0
Posh Peanut,Newton Baby,,,7195,8,24.0,3.34,0.001112,3.0,0.003594037600144698,21.0
Posh Peanut,NOMAD Grills,,,3585,0,0.0,0.0,0.0,150.0,0.0,22.0
Posh Peanut,BlendJet,,,243,0,0.0,0.0,0.0,7.25,0.0,23.0
Posh Peanut,ezpz,,,438,0,0.0,0.0,0.0,10.0,0.0,24.0
Posh Peanut,Laura Geller,,,1336,2,30.0,22.46,0.001497,15.0,0.0,25.0
Posh Peanut,Character Home,150.0,50.0,1437,0,0.0,0.0,0.0,126.67,0.0,26.0
Posh Peanut,Otteroo,,,499,0,0.0,0.0,0.0,3.75,0.0,27.0
Posh Peanut,Serenity Kids,,,143,0,0.0,0.0,0.0,30.0,0.0,28.0
Posh Peanut,Dr. Squatch,25.0,0.0,106,0,0.0,0.0,0.0,8.93,0.0,29.0
Posh Peanut,MANSCAPED,,,488,0,0.0,0.0,0.0,0.01,0.0,30.0
For Days,Tula Skincare,,,664,0,0.0,0.0,0.0,50.0,0.9787336816010386,1.0
For Days,Divi,,,133,0,0.0,0.0,0.0,50.0,0.9555969315558205,2.0
For Days,Caraway,,,474,2,140.0,295.36,0.004219,70.0,0.9342348572705317,3.0
For Days,Dreamland Baby,,,640,0,0.0,0.0,0.0,40.0,0.9139005628318209,4.0
For Days,Blueland,33.0,0.0,10548,20,660.0,62.57,0.001896,33.0,0.829948185425954,5.0
For Days,Kopari,,,230,0,0.0,0.0,0.0,31.71,0.7869495366479055,6.0
For Days,Vegamour,50.0,0.0,5430,3,60.0,11.05,0.000552,20.0,0.723829384289651,7.0
For Days,Caden Lane,,,1227,3,72.0,58.68,0.002445,24.0,0.6987094234431689,8.0
For Days,Dagne Dover,,,1352,3,60.0,44.38,0.002219,20.0,0.6813158986689933,9.0
For Days,Bodily,,,201,1,35.0,174.13,0.004975,35.0,0.5926991456447032,10.0
For Days,Lalo,,,198,0,0.0,0.0,0.0,16.3,0.5734288054985158,11.0
For Days,HATCH,40.0,10.0,205,0,0.0,0.0,0.0,18.46,0.5511730096075073,12.0
For Days,Sol de Janeiro,20.0,10.0,1515,0,0.0,0.0,0.0,13.41,0.5315090063730863,13.0
For Days,Snuggle Me Organic,,,179,0,0.0,0.0,0.0,17.11,0.49174903446147955,14.0
For Days,Tushbaby,,,115,0,0.0,0.0,0.0,14.89,0.47037419272468056,15.0
For Days,Monica & Andy Inc.,,,415,5,50.0,120.48,0.012048,10.0,0.4449031269616658,16.0
For Days,Little Words Project,,,270,0,0.0,0.0,0.0,10.84,0.3836385108895722,17.0
For Days,Dropps,25.0,0.0,3183,9,105.0,32.99,0.002828,11.67,0.36330421645086136,18.0
For Days,Liquid I.V.,,,6267,0,0.0,0.0,0.0,41.9,0.32183978976263183,19.0
For Days,"Dermaclara, LLC",,,142,0,0.0,0.0,0.0,12.37,0.2581323346349041,20.0
For Days,SolaWave,,,564,3,150.0,265.96,0.005319,50.0,0.23671706263498926,21.0
For Days,woolino,,,157,1,12.0,76.43,0.006369,12.0,0.1731628169253849,22.0
For Days,True Botanicals,,,114,1,5.0,43.86,0.008772,5.0,0.08904233474129952,23.0
For Days,Dollar Shave Club,30.0,0.0,887,0,0.0,0.0,0.0,9.24,0.06667588760386854,24.0
For Days,Newton Baby,,,117,0,0.0,0.0,0.0,3.0,0.003594037600144698,25.0
For Days,Character Home,150.0,50.0,2453,0,0.0,0.0,0.0,126.67,0.0,26.0
For Days,NOMAD Grills,,,1582,0,0.0,0.0,0.0,150.0,0.0,27.0
For Days,Tini Lux,,,165,0,0.0,0.0,0.0,10.0,0.0,28.0
For Days,MANSCAPED,,,608,1,0.01,0.02,0.001645,0.01,0.0,29.0
For Days,Moonglow,,,2110,0,0.0,0.0,0.0,22.841173952230736,0.0,30.0
For Days,BlendJet,,,916,3,20.0,21.83,0.003275,6.67,0.0,31.0
For Days,ARMRA Colostrum™,,,342,0,0.0,0.0,0.0,50.0,0.0,32.0
For Days,Laura Geller,,,7547,7,105.0,13.91,0.000928,15.0,0.0,33.0
For Days,Yana Sleep,,,143,0,0.0,0.0,0.0,22.841173952230736,0.0,34.0
For Days,SeaVees,10.0,10.0,128,0,0.0,0.0,0.0,10.0,0.0,35.0
For Days,Muslin Comfort,,,176,1,5.0,28.41,0.005682,5.0,0.0,36.0
For Days,Dr. Squatch,25.0,0.0,753,3,51.0,67.73,0.003984,17.0,0.0,37.0
For Days,Glamnetic,,,1993,9,110.0,55.19,0.004516,12.22,0.0,38.0
Willow Pumps,Lunya,150.0,75.0,1066,1,75.0,70.36,0.000938,75.0,1.0,1.0
Willow Pumps,Tula Skincare,,,807,0,0.0,0.0,0.0,50.0,0.9787336816010386,2.0
Willow Pumps,Divi,,,293,0,0.0,0.0,0.0,50.0,0.9555969315558205,3.0
Willow Pumps,Caraway,,,270,0,0.0,0.0,0.0,52.72,0.9342348572705317,4.0
Willow Pumps,Dreamland Baby,,,887,3,120.0,135.29,0.003382,40.0,0.9139005628318209,5.0
Willow Pumps,Once Upon a Farm,,,117,1,40.0,341.88,0.008547,40.0,0.8935939312047154,6.0
Willow Pumps,Nanit,,,2798,4,150.0,53.61,0.00143,37.5,0.8477885710029898,7.0
Willow Pumps,Blueland,33.0,0.0,246,0,0.0,0.0,0.0,33.0,0.829948185425954,8.0
Willow Pumps,Kate Quinn,,,437,0,0.0,0.0,0.0,30.0,0.8089201927885177,9.0
Willow Pumps,Posh Peanut,35.0,0.0,1193,2,40.0,33.53,0.001676,20.0,0.7663449978188939,10.0
Willow Pumps,Storq,,,156,1,30.0,192.31,0.00641,30.0,0.7415016650884678,11.0
Willow Pumps,Vegamour,50.0,0.0,641,1,5.0,7.8,0.00156,5.0,0.723829384289651,12.0
Willow Pumps,Caden Lane,,,14794,76,1868.0,126.27,0.005137,24.58,0.6987094234431689,13.0
Willow Pumps,Dagne Dover,,,1248,7,150.0,120.19,0.005609,21.43,0.6813158986689933,14.0
Willow Pumps,Morphe,,,269,0,0.0,0.0,0.0,38.24,0.6606326272223345,15.0
Willow Pumps,Gathre,,,237,1,20.0,84.39,0.004219,20.0,0.6383108661651895,16.0
Willow Pumps,For Days,30.0,15.0,131,0,0.0,0.0,0.0,18.63,0.6080413665428933,17.0
Willow Pumps,Bodily,,,1997,15,341.0,170.76,0.007511,22.73,0.5926991456447032,18.0
Willow Pumps,Lalo,,,677,2,40.0,59.08,0.002954,20.0,0.5734288054985158,19.0
Willow Pumps,HATCH,40.0,10.0,743,13,190.0,255.72,0.017497,14.62,0.5511730096075073,20.0
Willow Pumps,Sol de Janeiro,20.0,10.0,519,1,20.0,38.54,0.001927,20.0,0.5315090063730863,21.0
Willow Pumps,Coterie,,,532,2,33.0,62.03,0.003759,16.5,0.5080466863143559,22.0
Willow Pumps,Snuggle Me Organic,,,3623,4,70.0,19.32,0.001104,17.5,0.49174903446147955,23.0
Willow Pumps,Tushbaby,,,2177,3,41.0,18.83,0.001378,13.67,0.47037419272468056,24.0
Willow Pumps,Monica & Andy Inc.,,,934,2,55.0,58.89,0.002141,27.5,0.4449031269616658,25.0
Willow Pumps,Solly Baby,,,1174,3,54.0,46.0,0.002555,18.0,0.40566874847056567,26.0
Willow Pumps,Little Words Project,,,298,0,0.0,0.0,0.0,10.84,0.3836385108895722,27.0
Willow Pumps,Dropps,25.0,0.0,127,1,5.0,39.37,0.007874,5.0,0.36330421645086136,28.0
Willow Pumps,Saranoni Luxury Blankets,,,135,0,0.0,0.0,0.0,11.3,0.33949930310993837,29.0
Willow Pumps,Liquid I.V.,,,2284,0,0.0,0.0,0.0,41.9,0.32183978976263183,30.0
Willow Pumps,ByHeart,30.0,20.0,154,0,0.0,0.0,0.0,16.21,0.29678366617370117,31.0
Willow Pumps,"Dermaclara, LLC",,,125,0,0.0,0.0,0.0,12.37,0.2581323346349041,32.0
Willow Pumps,woolino,,,300,1,5.0,16.67,0.003333,5.0,0.1731628169253849,33.0
Willow Pumps,Lalabu,,,943,1,4.0,4.24,0.00106,4.0,0.15167945185074852,34.0
Willow Pumps,Dollar Shave Club,30.0,0.0,457,0,0.0,0.0,0.0,9.24,0.06667588760386854,35.0
Willow Pumps,Newton Baby,,,2540,2,6.0,2.36,0.000787,3.0,0.003594037600144698,36.0
Willow Pumps,Glamnetic,,,321,2,20.0,62.31,0.006231,10.0,0.0,37.0
Willow Pumps,BlendJet,,,571,0,0.0,0.0,0.0,7.25,0.0,38.0
Willow Pumps,M.M.LaFleur,,,841,3,150.0,178.36,0.003567,50.0,0.0,39.0
Willow Pumps,Laura Geller,,,1058,0,0.0,0.0,0.0,14.97,0.0,40.0
Willow Pumps,Canopy,,,420,0,0.0,0.0,0.0,15.0,0.0,41.0
Willow Pumps,Otteroo,,,1188,0,0.0,0.0,0.0,3.75,0.0,42.0
Willow Pumps,Baby Tula,,,326,1,5.0,15.34,0.003067,5.0,0.0,43.0
Willow Pumps,Character Home,150.0,50.0,557,0,0.0,0.0,0.0,126.67,0.0,44.0
Willow Pumps,Petunia Pickle Bottom,,,462,0,0.0,0.0,0.0,16.67,0.0,45.0
Willow Pumps,NOMAD Grills,,,490,0,0.0,0.0,0.0,150.0,0.0,46.0
Willow Pumps,Muslin Comfort,,,118,0,0.0,0.0,0.0,47.0,0.0,47.0
Willow Pumps,ezpz,,,300,0,0.0,0.0,0.0,10.0,0.0,48.0
Bobbie,Lunya,150.0,75.0,325,0,0.0,0.0,0.0,99.56,1.0,1.0
Bobbie,Dreamland Baby,,,977,6,240.0,245.65,0.006141,40.0,0.9139005628318209,2.0
Bobbie,Once Upon a Farm,,,656,0,0.0,0.0,0.0,40.0,0.8935939312047154,3.0
Bobbie,Willow Pumps,,,1662,1,40.0,24.07,0.000602,40.0,0.872785113151539,4.0
Bobbie,Nanit,,,4874,9,350.0,71.81,0.001847,38.89,0.8477885710029898,5.0
Bobbie,Kate Quinn,,,505,2,60.0,118.81,0.00396,30.0,0.8089201927885177,6.0
Bobbie,Posh Peanut,35.0,0.0,1236,2,55.0,44.5,0.001618,27.5,0.7663449978188939,7.0
Bobbie,Storq,,,496,2,40.0,80.65,0.004032,20.0,0.7415016650884678,8.0
Bobbie,Caden Lane,,,11589,66,1452.0,125.29,0.005695,22.0,0.6987094234431689,9.0
Bobbie,Dagne Dover,,,2880,6,160.0,55.56,0.002083,26.67,0.6813158986689933,10.0
Bobbie,Gathre,,,656,0,0.0,0.0,0.0,20.0,0.6383108661651895,11.0
Bobbie,Bodily,,,3388,20,378.0,111.57,0.005903,18.9,0.5926991456447032,12.0
Bobbie,Lalo,,,1982,7,120.0,60.54,0.003532,17.14,0.5734288054985158,13.0
Bobbie,Coterie,,,2103,14,231.0,109.84,0.006657,16.5,0.5080466863143559,14.0
Bobbie,Snuggle Me Organic,,,4569,9,150.0,32.83,0.00197,16.67,0.49174903446147955,15.0
Bobbie,Tushbaby,,,1469,3,54.0,36.76,0.002042,18.0,0.47037419272468056,16.0
Bobbie,Monica & Andy Inc.,,,2438,24,450.0,184.58,0.009844,18.75,0.4449031269616658,17.0
Bobbie,Solly Baby,,,1681,4,66.0,39.26,0.00238,16.5,0.40566874847056567,18.0
Bobbie,Saranoni Luxury Blankets,,,396,0,0.0,0.0,0.0,11.3,0.33949930310993837,19.0
Bobbie,Liquid I.V.,,,104,0,0.0,0.0,0.0,41.9,0.32183978976263183,20.0
Bobbie,Coco Moon,,,175,0,0.0,0.0,0.0,10.0,0.27258721765312965,21.0
Bobbie,"Dermaclara, LLC",,,419,0,0.0,0.0,0.0,12.37,0.2581323346349041,22.0
Bobbie,Lalabu,,,823,0,0.0,0.0,0.0,5.5,0.15167945185074852,23.0
Bobbie,Newton Baby,,,4199,0,0.0,0.0,0.0,3.0,0.003594037600144698,24.0
Bobbie,M.M.LaFleur,,,211,0,0.0,0.0,0.0,75.96,0.0,25.0
Bobbie,Baby Tula,,,271,0,0.0,0.0,0.0,6.67,0.0,26.0
Bobbie,Petunia Pickle Bottom,,,245,0,0.0,0.0,0.0,16.67,0.0,27.0
Bobbie,Otteroo,,,622,0,0.0,0.0,0.0,3.75,0.0,28.0
Bobbie,ezpz,,,490,0,0.0,0.0,0.0,10.0,0.0,29.0
Bobbie,NOMAD Grills,,,731,0,0.0,0.0,0.0,150.0,0.0,30.0
Bobbie,MANSCAPED,,,136,0,0.0,0.0,0.0,0.01,0.0,31.0
Bobbie,True Classic,45.0,0.0,227,0,0.0,0.0,0.0,44.79,0.0,32.0
Bobbie,Character Home,150.0,50.0,150,0,0.0,0.0,0.0,126.67,0.0,33.0
Licorice,Caden Lane,,,1756,1,20.0,11.39,0.000569,20.0,0.6987094234431689,1.0
Licorice,Dagne Dover,,,237,2,50.0,210.97,0.008439,25.0,0.6813158986689933,2.0
Licorice,Morphe,,,154,0,0.0,0.0,0.0,38.24,0.6606326272223345,3.0
Licorice,Sol de Janeiro,20.0,10.0,114,1,10.0,87.72,0.008772,10.0,0.5315090063730863,4.0
Licorice,Wolf & Shepherd,,,268,2,30.0,111.94,0.007463,15.0,0.42639670599751034,5.0
Licorice,Little Words Project,,,160,1,15.0,93.75,0.00625,15.0,0.3836385108895722,6.0
Licorice,Liquid I.V.,,,1554,1,35.0,22.52,0.000644,35.0,0.32183978976263183,7.0
Licorice,Character Home,150.0,50.0,840,0,0.0,0.0,0.0,126.67,0.0,8.0
Licorice,Hedley & Bennett,,,208,0,0.0,0.0,0.0,29.72,0.0,9.0
Licorice,Canopy,,,143,0,0.0,0.0,0.0,15.0,0.0,10.0
Licorice,Dr. Squatch,25.0,0.0,11109,9,105.0,9.45,0.00081,11.67,0.0,11.0
Licorice,MANSCAPED,,,8552,0,0.0,0.0,0.0,0.01,0.0,12.0
Licorice,NOMAD Grills,,,5317,0,0.0,0.0,0.0,150.0,0.0,13.0
Licorice,BlendJet,,,10496,5,35.0,3.33,0.000476,7.0,0.0,14.0
Licorice,True Classic,45.0,0.0,13292,2,90.0,6.77,0.00015,45.0,0.0,15.0
Tower 28 Beauty,Lunya,150.0,75.0,3301,2,225.0,68.16,0.000606,112.5,1.0,1.0
Tower 28 Beauty,Divi,,,670,0,0.0,0.0,0.0,50.0,0.9555969315558205,2.0
Tower 28 Beauty,Willow Pumps,,,135,0,0.0,0.0,0.0,40.0,0.872785113151539,3.0
Tower 28 Beauty,Blueland,33.0,0.0,147,0,0.0,0.0,0.0,33.0,0.829948185425954,4.0
Tower 28 Beauty,Caden Lane,,,946,2,40.0,42.28,0.002114,20.0,0.6987094234431689,5.0
Tower 28 Beauty,Dagne Dover,,,2921,2,50.0,17.12,0.000685,25.0,0.6813158986689933,6.0
Tower 28 Beauty,For Days,30.0,15.0,691,1,15.0,21.71,0.001447,15.0,0.6080413665428933,7.0
Tower 28 Beauty,HATCH,40.0,10.0,156,1,40.0,256.41,0.00641,40.0,0.5511730096075073,8.0
Tower 28 Beauty,Sol de Janeiro,20.0,10.0,7351,22,340.0,46.25,0.002993,15.45,0.5315090063730863,9.0
Tower 28 Beauty,Little Words Project,,,2018,1,15.0,7.43,0.000496,15.0,0.3836385108895722,10.0
Tower 28 Beauty,Liquid I.V.,,,7190,0,35.0,4.87,0.0,inf,0.32183978976263183,11.0
Tower 28 Beauty,"Dermaclara, LLC",,,328,1,15.0,45.73,0.003049,15.0,0.2581323346349041,12.0
Tower 28 Beauty,Carve Designs,,,351,0,0.0,0.0,0.0,26.36,0.21442509229803483,13.0
Tower 28 Beauty,Volcom,15.0,8.0,174,0,0.0,0.0,0.0,10.33,0.1942184723744268,14.0
Tower 28 Beauty,Bad Birdie,,,163,0,0.0,0.0,0.0,25.0,0.04833969932651694,15.0
Tower 28 Beauty,Buffbunny Collection,,,448,5,20.0,44.64,0.011161,4.0,0.021855749077019655,16.0
Tower 28 Beauty,Glamnetic,,,4451,4,40.0,8.99,0.000899,10.0,0.0,17.0
Tower 28 Beauty,Canopy,,,224,0,0.0,0.0,0.0,15.0,0.0,18.0
Tower 28 Beauty,Character Home,150.0,50.0,104,0,0.0,0.0,0.0,126.67,0.0,19.0
Tower 28 Beauty,NOMAD Grills,,,703,0,0.0,0.0,0.0,150.0,0.0,20.0
Tower 28 Beauty,M.M.LaFleur,,,2158,0,0.0,0.0,0.0,75.96,0.0,21.0
Tower 28 Beauty,ARMRA Colostrum™,,,1188,1,50.0,42.09,0.000842,50.0,0.0,22.0
Tower 28 Beauty,MANSCAPED,,,203,1,0.01,0.05,0.004926,0.01,0.0,23.0
Tower 28 Beauty,Gibsonlook,,,222,0,0.0,0.0,0.0,21.33,0.0,24.0
Tower 28 Beauty,Tini Lux,,,136,0,0.0,0.0,0.0,10.0,0.0,25.0
Tower 28 Beauty,SeaVees,10.0,10.0,113,0,0.0,0.0,0.0,10.0,0.0,26.0
Tower 28 Beauty,True Classic,45.0,0.0,230,0,0.0,0.0,0.0,44.79,0.0,27.0
Primally Pure,Lunya,150.0,75.0,5103,1,150.0,29.39,0.000196,150.0,1.0,1.0
Primally Pure,Caraway,,,3614,7,370.0,102.38,0.001937,52.86,0.9342348572705317,2.0
Primally Pure,Dreamland Baby,,,341,1,40.0,117.3,0.002933,40.0,0.9139005628318209,3.0
Primally Pure,Nanit,,,230,0,0.0,0.0,0.0,36.97,0.8477885710029898,4.0
Primally Pure,Blueland,33.0,0.0,1185,1,33.0,27.85,0.000844,33.0,0.829948185425954,5.0
Primally Pure,Kate Quinn,,,225,0,0.0,0.0,0.0,30.0,0.8089201927885177,6.0
Primally Pure,Posh Peanut,35.0,0.0,246,0,0.0,0.0,0.0,27.5,0.7663449978188939,7.0
Primally Pure,Caden Lane,,,10075,37,872.0,86.55,0.003672,23.57,0.6987094234431689,8.0
Primally Pure,Dagne Dover,,,1308,1,20.0,15.29,0.000765,20.0,0.6813158986689933,9.0
Primally Pure,Gathre,,,441,7,140.0,317.46,0.015873,20.0,0.6383108661651895,10.0
Primally Pure,For Days,30.0,15.0,322,0,0.0,0.0,0.0,18.63,0.6080413665428933,11.0
Primally Pure,Lalo,,,199,0,0.0,0.0,0.0,16.3,0.5734288054985158,12.0
Primally Pure,HATCH,40.0,10.0,186,2,50.0,268.82,0.010753,25.0,0.5511730096075073,13.0
Primally Pure,Coterie,,,289,1,16.5,57.09,0.00346,16.5,0.5080466863143559,14.0
Primally Pure,Snuggle Me Organic,,,2164,5,70.0,32.35,0.002311,14.0,0.49174903446147955,15.0
Primally Pure,Tushbaby,,,112,0,0.0,0.0,0.0,14.89,0.47037419272468056,16.0
Primally Pure,Solly Baby,,,708,0,0.0,0.0,0.0,15.3,0.40566874847056567,17.0
Primally Pure,Little Words Project,,,410,2,20.0,48.78,0.004878,10.0,0.3836385108895722,18.0
Primally Pure,Dropps,25.0,0.0,647,4,20.0,30.91,0.006182,5.0,0.36330421645086136,19.0
Primally Pure,Saranoni Luxury Blankets,,,260,1,10.0,38.46,0.003846,10.0,0.33949930310993837,20.0
Primally Pure,Liquid I.V.,,,5262,1,35.0,6.65,0.00019,35.0,0.32183978976263183,21.0
Primally Pure,Carve Designs,,,206,1,10.0,48.54,0.004854,10.0,0.21442509229803483,22.0
Primally Pure,woolino,,,139,1,5.0,35.97,0.007194,5.0,0.1731628169253849,23.0
Primally Pure,Buffbunny Collection,,,317,2,8.0,25.24,0.006309,4.0,0.021855749077019655,24.0
Primally Pure,Newton Baby,,,1038,3,9.0,8.67,0.00289,3.0,0.003594037600144698,25.0
Primally Pure,Canopy,,,121,1,15.0,123.97,0.008264,15.0,0.0,26.0
Primally Pure,M.M.LaFleur,,,2811,0,0.0,0.0,0.0,75.96,0.0,27.0
Primally Pure,BlendJet,,,840,1,10.0,11.9,0.00119,10.0,0.0,28.0
Primally Pure,True Classic,45.0,0.0,7839,2,90.0,11.48,0.000255,45.0,0.0,29.0
Primally Pure,Character Home,150.0,50.0,553,0,0.0,0.0,0.0,126.67,0.0,30.0
Primally Pure,Gibsonlook,,,146,0,0.0,0.0,0.0,21.33,0.0,31.0
Primally Pure,NOMAD Grills,,,2031,0,0.0,0.0,0.0,150.0,0.0,32.0
Primally Pure,Muslin Comfort,,,182,3,225.0,1236.26,0.016484,75.0,0.0,33.0
Primally Pure,ARMRA Colostrum™,,,2094,4,200.0,95.51,0.00191,50.0,0.0,34.0
Primally Pure,Glamnetic,,,455,3,50.0,109.89,0.006593,16.67,0.0,35.0
Beyond Polish,Lunya,150.0,75.0,1315,2,150.0,114.07,0.001521,75.0,1.0,1.0
Beyond Polish,Tula Skincare,,,597,0,0.0,0.0,0.0,50.0,0.9787336816010386,2.0
Beyond Polish,Divi,,,178,0,0.0,0.0,0.0,50.0,0.9555969315558205,3.0
Beyond Polish,Caraway,,,253,1,40.0,158.1,0.003953,40.0,0.9342348572705317,4.0
Beyond Polish,Nanit,,,116,0,0.0,0.0,0.0,36.97,0.8477885710029898,5.0
Beyond Polish,Blueland,33.0,0.0,134,0,0.0,0.0,0.0,33.0,0.829948185425954,6.0
Beyond Polish,Kopari,,,255,3,95.0,372.55,0.011765,31.67,0.7869495366479055,7.0
Beyond Polish,Vegamour,50.0,0.0,5096,5,70.0,13.74,0.000981,14.0,0.723829384289651,8.0
Beyond Polish,Caden Lane,,,1112,3,72.0,64.75,0.002698,24.0,0.6987094234431689,9.0
Beyond Polish,Morphe,,,2391,3,115.0,48.1,0.001255,38.33,0.6606326272223345,10.0
Beyond Polish,Sol de Janeiro,20.0,10.0,8278,13,140.0,16.91,0.00157,10.77,0.5315090063730863,11.0
Beyond Polish,Snuggle Me Organic,,,276,1,10.0,36.23,0.003623,10.0,0.49174903446147955,12.0
Beyond Polish,Monica & Andy Inc.,,,189,1,10.0,52.91,0.005291,10.0,0.4449031269616658,13.0
Beyond Polish,Little Words Project,,,311,0,0.0,0.0,0.0,10.84,0.3836385108895722,14.0
Beyond Polish,Liquid I.V.,,,4258,1,35.0,8.22,0.000235,35.0,0.32183978976263183,15.0
Beyond Polish,SolaWave,,,247,1,10.0,40.49,0.004049,10.0,0.23671706263498926,16.0
Beyond Polish,Carve Designs,,,120,5,100.0,833.33,0.041667,20.0,0.21442509229803483,17.0
Beyond Polish,jane iredale,20.0,5.0,133,1,5.0,37.59,0.007519,5.0,0.10589749864345828,18.0
