PUBLISHER,BRAND_NAME,DISPLAY_CUSTOMER_TYPE,DISTINCT_MERCHANTS_AT_LOAD_TIME,ML_MODEL,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,REVENUE_PER_BRAND_IMPRESSION,CVR
Afloral,Lunya,new_customer,1,boost5,410,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Divi,new_customer,4,boost5,410,2,$100.00,$0.2439,0.4878%
Tubby Todd Bath Co.,Lalo,new_customer,1,boost5,809,0,$0.00,$0.0000,0.0000%
Posh Peanut,NOMAD Grills,new_customer,4,boost5,409,0,$0.00,$0.0000,0.0000%
Morphe,Beyond Polish,new_customer,1,bert4recs1,409,0,$0.00,$0.0000,0.0000%
Amberjack,True Classic,new_customer,3,boost5,409,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Golde,new_customer,1,,409,0,$0.00,$0.0000,0.0000%
Nanit,Dagne Dover,new_customer,2,bert4recs1,408,0,$0.00,$0.0000,0.0000%
ByHeart,Caden Lane,new_customer,2,boost5,408,2,$64.00,$0.1569,0.4902%
Monica & Andy Inc.,Little Words Project,new_customer,0,contextual,407,0,$0.00,$0.0000,0.0000%
Beyond Polish,Laura Geller,new_customer,1,contextual,407,0,$0.00,$0.0000,0.0000%
Tula Skincare,Lunya,new_customer,1,boost5,406,0,$0.00,$0.0000,0.0000%
Dr. Squatch,Licorice,new_customer,3,bert4recs1,434,0,$0.00,$0.0000,0.0000%
KraveBeauty,NEIWAI,new_customer,1,boost5,406,0,$0.00,$0.0000,0.0000%
Blueland,Liquid I.V.,new_customer,2,bert4recs1,405,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,ARMRA Colostrum™,new_customer,2,boost5,471,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Dagne Dover,new_customer,2,boost5,405,0,$0.00,$0.0000,0.0000%
Afloral,NOMAD Grills,new_customer,2,boost5,405,0,$0.00,$0.0000,0.0000%
Crown Affair,Kosas Cosmetics,new_customer,0,contextual,405,1,$25.00,$0.0617,0.2469%
eyebobs,Character Home,new_customer,2,boost5,405,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Dr. Squatch,new_customer,0,lookalike,405,0,$0.00,$0.0000,0.0000%
Faherty Brand,Sol de Janeiro,new_customer,3,boost5,405,0,$0.00,$0.0000,0.0000%
LuminAID,Licorice,new_customer,0,contextual,405,0,$0.00,$0.0000,0.0000%
Laura Geller,Carve Designs,new_customer,2,boost5,784,0,$0.00,$0.0000,0.0000%
Dr. Squatch,Airsign,new_customer,4,boost5,412,0,$0.00,$0.0000,0.0000%
Laura Geller,Dollar Shave Club,new_customer,3,bert4recs1,757,0,$0.00,$0.0000,0.0000%
Dropps,Laura Geller,new_customer,0,contextual,404,0,$0.00,$0.0000,0.0000%
MAXPRO Fitness,Liquid I.V.,new_customer,1,boost5,404,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Tula Skincare,new_customer,2,bert4recs1,404,0,$0.00,$0.0000,0.0000%
ARMRA Colostrum™,MANSCAPED,new_customer,1,contextual,403,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Little Words Project,new_customer,0,contextual,481,0,$0.00,$0.0000,0.0000%
Licorice,MANSCAPED,new_customer,2,boost5,403,0,$0.00,$0.0000,0.0000%
Laura Geller,Wildfang,new_customer,0,lookalike,917,0,$0.00,$0.0000,0.0000%
Andie,Laura Geller,new_customer,3,boost5,403,0,$0.00,$0.0000,0.0000%
Hedley & Bennett,Character Home,new_customer,1,boost5,403,0,$0.00,$0.0000,0.0000%
Monica & Andy Inc.,M.M.LaFleur,new_customer,1,boost5,402,0,$0.00,$0.0000,0.0000%
LIVELY,Sol de Janeiro,new_customer,0,contextual,402,1,$20.00,$0.0498,0.2488%
Beginning Boutique,Tula Skincare,new_customer,2,boost5,402,0,$0.00,$0.0000,0.0000%
Beyond Polish,Laura Geller,new_customer,3,bert4recs1,402,1,$15.00,$0.0373,0.2488%
Divi,Tula Skincare,new_customer,3,boost5,402,0,$0.00,$0.0000,0.0000%
Posh Peanut,Laura Geller,new_customer,1,boost5,402,1,$15.00,$0.0373,0.2488%
Sol de Janeiro,Lunya,new_customer,5,boost5,453,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,NOMAD Grills,new_customer,3,boost5,401,0,$0.00,$0.0000,0.0000%
My Medic,Myles,new_customer,1,boost5,401,0,$0.00,$0.0000,0.0000%
Muslin Comfort,NOMAD Grills,new_customer,1,boost5,401,0,$0.00,$0.0000,0.0000%
Morphe,INH Hair,new_customer,1,bert4recs1,401,0,$0.00,$0.0000,0.0000%
Opopop,Liquid I.V.,new_customer,1,boost5,401,0,$0.00,$0.0000,0.0000%
Moonglow,Little Words Project,new_customer,1,boost5,401,0,$0.00,$0.0000,0.0000%
Tushbaby,ezpz,new_customer,1,boost5,400,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Dagne Dover,new_customer,2,boost5,451,0,$0.00,$0.0000,0.0000%
Posh Peanut,Newton Baby,new_customer,5,boost5,400,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Airsign,new_customer,2,boost5,400,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Snuggle Me Organic,new_customer,7,bert4recs1,400,1,$20.00,$0.0500,0.2500%
Posh Peanut,Dagne Dover,new_customer,3,boost5,400,0,$0.00,$0.0000,0.0000%
Nood,Lunya,new_customer,2,boost5,400,0,$0.00,$0.0000,0.0000%
Dagne Dover,Newton Baby,new_customer,3,bert4recs1,399,1,$3.00,$0.0075,0.2506%
Girlfriend Collective,Vegamour,new_customer,0,contextual,399,0,$0.00,$0.0000,0.0000%
Manduka,Laura Geller,new_customer,3,boost5,399,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Liquid I.V.,new_customer,3,bert4recs1,399,0,$0.00,$0.0000,0.0000%
Solly Baby,Character Home,new_customer,1,boost5,399,0,$0.00,$0.0000,0.0000%
Snuggle Me Organic,Liquid I.V.,new_customer,1,boost5,399,0,$0.00,$0.0000,0.0000%
Laura Geller,Blueland,new_customer,2,bert4recs1,749,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,BlendJet,new_customer,1,boost5,399,0,$0.00,$0.0000,0.0000%
GRIP6,NOMAD Grills,new_customer,1,boost5,398,0,$0.00,$0.0000,0.0000%
Monica & Andy Inc.,Dagne Dover,new_customer,2,boost5,398,0,$0.00,$0.0000,0.0000%
Nanit,True Classic,new_customer,1,boost5,398,0,$0.00,$0.0000,0.0000%
Anyday,NOMAD Grills,new_customer,1,boost5,398,0,$0.00,$0.0000,0.0000%
Snuggle Me Organic,Newton Baby,new_customer,1,bert4recs1,398,1,$3.00,$0.0075,0.2513%
Little Words Project,Laura Geller,new_customer,3,bert4recs1,397,1,$15.00,$0.0378,0.2519%
Manduka,True Classic,new_customer,3,boost5,397,0,$0.00,$0.0000,0.0000%
Newton Baby,Caden Lane,new_customer,0,lookalike,397,0,$0.00,$0.0000,0.0000%
Tula Skincare,Caden Lane,new_customer,3,boost5,397,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Liquid I.V.,new_customer,0,lookalike,669,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,NOMAD Grills,new_customer,3,boost5,397,0,$0.00,$0.0000,0.0000%
Laura Geller,Airsign,new_customer,3,boost5,741,0,$0.00,$0.0000,0.0000%
INH Hair,Vegamour,new_customer,0,contextual,396,0,$0.00,$0.0000,0.0000%
Nanit,Coterie,new_customer,0,contextual,396,1,$16.50,$0.0417,0.2525%
Primally Pure,Caraway,new_customer,3,bert4recs1,396,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Caden Lane,lapsed_customer,6,boost5,396,2,$64.00,$0.1616,0.5051%
Crown Affair,Dagne Dover,new_customer,1,boost5,396,0,$0.00,$0.0000,0.0000%
Laura Geller,biom,new_customer,1,contextual,810,0,$0.00,$0.0000,0.0000%
OUAI,Liquid I.V.,new_customer,2,boost5,396,1,$35.00,$0.0884,0.2525%
NEIWAI,Tubby Todd Bath Co.,new_customer,1,boost5,395,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Kosas Cosmetics,new_customer,2,boost5,395,0,$0.00,$0.0000,0.0000%
For Days,NOMAD Grills,new_customer,2,boost5,395,0,$0.00,$0.0000,0.0000%
Faherty Brand,Laura Geller,new_customer,4,bert4recs1,394,0,$0.00,$0.0000,0.0000%
Dagne Dover,Caraway,new_customer,2,bert4recs1,394,0,$0.00,$0.0000,0.0000%
INH Hair,Laura Geller,new_customer,1,boost5,394,1,$15.00,$0.0381,0.2538%
Vegamour,BlendJet,new_customer,0,lookalike,394,0,$0.00,$0.0000,0.0000%
Caden Lane,Wildfang,new_customer,1,boost5,394,0,$0.00,$0.0000,0.0000%
MantraBand,Year & Day,new_customer,1,boost5,394,0,$0.00,$0.0000,0.0000%
LIVELY,Vegamour,new_customer,1,boost5,393,0,$0.00,$0.0000,0.0000%
Lalo,Canopy,new_customer,0,contextual,393,0,$0.00,$0.0000,0.0000%
Kosas Cosmetics,Lunya,new_customer,3,boost5,393,0,$0.00,$0.0000,0.0000%
Dreamland Baby,biom,new_customer,0,contextual,393,0,$0.00,$0.0000,0.0000%
Caden Lane,Oradina,new_customer,4,boost5,393,0,$0.00,$0.0000,0.0000%
Dagne Dover,Faherty Brand,new_customer,2,boost5,393,2,$170.00,$0.4326,0.5089%
Tushbaby,biom,new_customer,0,contextual,392,0,$0.00,$0.0000,0.0000%
True Botanicals,Gibsonlook,new_customer,0,contextual,392,0,$0.00,$0.0000,0.0000%
Olive & June,Laura Geller,new_customer,6,boost5,392,1,$15.00,$0.0383,0.2551%
For Days,Liquid I.V.,new_customer,1,bert4recs1,392,0,$0.00,$0.0000,0.0000%
Opopop,Pretzels.com,new_customer,0,contextual,392,0,$0.00,$0.0000,0.0000%
Rains,MANSCAPED,new_customer,0,contextual,391,0,$0.00,$0.0000,0.0000%
Laura Geller,Blueland,new_customer,1,boost5,802,0,$0.00,$0.0000,0.0000%
Morphe,Lunya,new_customer,2,boost5,391,0,$0.00,$0.0000,0.0000%
Faherty Brand,Dollar Shave Club,new_customer,1,bert4recs1,391,1,$30.00,$0.0767,0.2558%
Needed,Caden Lane,new_customer,1,bert4recs1,391,1,$32.00,$0.0818,0.2558%
DEUX,Liquid I.V.,new_customer,1,boost5,391,0,$0.00,$0.0000,0.0000%
ARMRA Colostrum™,Lunya,new_customer,2,boost5,391,0,$0.00,$0.0000,0.0000%
Laura Geller,Dr. Squatch,new_customer,1,lookalike,795,0,$0.00,$0.0000,0.0000%
Beekman 1802,NOMAD Grills,new_customer,1,boost5,391,0,$0.00,$0.0000,0.0000%
Dagne Dover,Kosas Cosmetics,new_customer,1,boost5,390,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Caden Lane,lapsed_customer,7,boost5,390,6,$144.00,$0.3692,1.5385%
Dame,Foria,new_customer,1,bert4recs1,390,0,$0.00,$0.0000,0.0000%
Beekman 1802,BlendJet,new_customer,2,boost5,390,0,$0.00,$0.0000,0.0000%
Coterie,Dreamland Baby,new_customer,1,boost5,390,0,$0.00,$0.0000,0.0000%
Spyder,Dr. Squatch,new_customer,1,bert4recs1,390,0,$0.00,$0.0000,0.0000%
Morphe,Caden Lane,new_customer,0,lookalike,390,0,$0.00,$0.0000,0.0000%
Willow Pumps,Lunya,new_customer,1,boost5,390,0,$0.00,$0.0000,0.0000%
Wondery,Vegamour,new_customer,1,boost5,390,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Branch,new_customer,0,contextual,479,0,$0.00,$0.0000,0.0000%
Thorlos,Caden Lane,new_customer,0,contextual,389,0,$0.00,$0.0000,0.0000%
Snuggle Me Organic,Tula Skincare,new_customer,1,boost5,389,0,$0.00,$0.0000,0.0000%
Laura Geller,Character Home,new_customer,4,boost5,717,0,$0.00,$0.0000,0.0000%
Faherty Brand,Ursa Major,new_customer,5,boost5,388,1,$30.00,$0.0773,0.2577%
Sol de Janeiro,NOMAD Grills,new_customer,3,boost5,440,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Lalabu,new_customer,1,boost5,388,0,$0.00,$0.0000,0.0000%
Buffbunny Collection,MAXPRO Fitness,new_customer,2,boost5,388,0,$0.00,$0.0000,0.0000%
Le Mini Macaron,Vegamour,new_customer,0,contextual,388,0,$0.00,$0.0000,0.0000%
Beyond Polish,Dieux Skin,new_customer,0,contextual,388,0,$0.00,$0.0000,0.0000%
Blueland,Caraway,new_customer,0,contextual,388,0,$0.00,$0.0000,0.0000%
Tushbaby,Dreamland Baby,new_customer,2,boost5,388,5,$200.00,$0.5155,1.2887%
Halfdays,Dagne Dover,new_customer,1,bert4recs1,388,1,$30.00,$0.0773,0.2577%
Tubby Todd Bath Co.,Dreamland Baby,new_customer,1,,615,0,$0.00,$0.0000,0.0000%
Bobbie,Caden Lane,new_customer,0,contextual,387,0,$0.00,$0.0000,0.0000%
Dollar Shave Club,Fuse Lenses,new_customer,2,bert4recs1,387,0,$0.00,$0.0000,0.0000%
INTO THE AM,BlendJet,new_customer,1,bert4recs1,386,0,$0.00,$0.0000,0.0000%
Manduka,M.M.LaFleur,new_customer,1,boost5,386,0,$0.00,$0.0000,0.0000%
Solly Baby,Dagne Dover,new_customer,1,bert4recs1,386,1,$30.00,$0.0777,0.2591%
Morphe,MAXPRO Fitness,new_customer,1,boost5,386,0,$0.00,$0.0000,0.0000%
Faherty Brand,Oars + Alps,new_customer,2,boost5,386,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Little Words Project,new_customer,2,bert4recs1,436,0,$0.00,$0.0000,0.0000%
Nanit,Dagne Dover,new_customer,3,boost5,386,0,$0.00,$0.0000,0.0000%
Dagne Dover,LIVELY,new_customer,2,bert4recs1,386,0,$0.00,$0.0000,0.0000%
INH Hair,Sol de Janeiro,new_customer,1,boost5,385,0,$0.00,$0.0000,0.0000%
Primally Pure,Liquid I.V.,new_customer,3,boost5,385,0,$0.00,$0.0000,0.0000%
Tushbaby,Newton Baby,new_customer,2,bert4recs1,385,1,$3.00,$0.0078,0.2597%
Dropps,Laura Geller,new_customer,1,boost5,385,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,Glamnetic,new_customer,2,boost5,385,0,$0.00,$0.0000,0.0000%
Laura Geller,Newton Baby,new_customer,0,lookalike,786,0,$0.00,$0.0000,0.0000%
Blueland,Laura Geller,new_customer,3,bert4recs1,384,1,$15.00,$0.0391,0.2604%
jane iredale,Liquid I.V.,new_customer,2,bert4recs1,384,0,$0.00,$0.0000,0.0000%
Giften Market,NOMAD Grills,new_customer,1,boost5,384,0,$0.00,$0.0000,0.0000%
For Days,Liquid I.V.,new_customer,4,boost5,383,0,$0.00,$0.0000,0.0000%
Mario Badescu Skin Care,True Classic,new_customer,1,boost5,383,0,$0.00,$0.0000,0.0000%
The Plug Drink,MANSCAPED,new_customer,0,contextual,383,0,$0.00,$0.0000,0.0000%
Licorice,wildwonder,new_customer,0,contextual,383,0,$0.00,$0.0000,0.0000%
Primally Pure,Caraway,new_customer,0,contextual,383,0,$0.00,$0.0000,0.0000%
Caden Lane,The CrunchCup,new_customer,0,contextual,383,0,$0.00,$0.0000,0.0000%
Vegamour,Lunya,new_customer,3,boost5,383,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Snuggle Me Organic,returning_customer,5,boost5,383,0,$0.00,$0.0000,0.0000%
Tushbaby,Caden Lane,new_customer,4,boost5,382,2,$64.00,$0.1675,0.5236%
Dame,Lunya,new_customer,2,boost5,382,0,$0.00,$0.0000,0.0000%
Once Upon a Farm,Caden Lane,new_customer,1,boost5,382,1,$20.00,$0.0524,0.2618%
Tubby Todd Bath Co.,Kate Quinn,new_customer,3,bert4recs1,382,1,$30.00,$0.0785,0.2618%
Dagne Dover,NOMAD Grills,new_customer,5,boost5,382,0,$0.00,$0.0000,0.0000%
Raskol Apparel,Waterboy,new_customer,1,boost5,382,0,$0.00,$0.0000,0.0000%
Dagne Dover,Cadence,new_customer,3,boost5,382,0,$0.00,$0.0000,0.0000%
Dirty Labs,Laura Geller,new_customer,1,boost5,381,0,$0.00,$0.0000,0.0000%
Blueland,Laura Geller,new_customer,3,boost5,381,0,$0.00,$0.0000,0.0000%
Carve Designs,Character Home,new_customer,2,boost5,381,0,$0.00,$0.0000,0.0000%
cbdMD,True Classic,new_customer,2,boost5,381,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,M.M.LaFleur,new_customer,2,boost5,380,0,$0.00,$0.0000,0.0000%
Nanit,Newton Baby,new_customer,3,bert4recs1,380,1,$3.00,$0.0079,0.2632%
Tower 28 Beauty,Girlfriend Collective,new_customer,1,contextual,380,0,$0.00,$0.0000,0.0000%
Caden Lane,Willow Pumps,new_customer,4,boost5,380,1,$40.00,$0.1053,0.2632%
Dagne Dover,Newton Baby,new_customer,3,boost5,380,1,$3.00,$0.0079,0.2632%
Laura Geller,Glamnetic,new_customer,1,boost5,751,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,BlendJet,new_customer,1,bert4recs1,608,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Tushbaby,new_customer,0,lookalike,524,0,$0.00,$0.0000,0.0000%
Bodily,Caden Lane,new_customer,2,bert4recs1,379,5,$160.00,$0.4222,1.3193%
Morphe,Vegamour,new_customer,2,boost5,379,1,$50.00,$0.1319,0.2639%
Snuggle Me Organic,Newton Baby,new_customer,3,boost5,379,2,$6.00,$0.0158,0.5277%
Tushbaby,M.M.LaFleur,new_customer,1,boost5,378,0,$0.00,$0.0000,0.0000%
Willow Pumps,Newton Baby,new_customer,1,bert4recs1,378,0,$0.00,$0.0000,0.0000%
Willow Pumps,Bala,new_customer,0,contextual,378,0,$0.00,$0.0000,0.0000%
Petunia Pickle Bottom,Moby Wrap,new_customer,1,bert4recs1,378,0,$0.00,$0.0000,0.0000%
SACHEU Beauty,Glamnetic,new_customer,1,boost5,377,0,$0.00,$0.0000,0.0000%
Posh Peanut,Tushbaby,new_customer,3,bert4recs1,377,0,$0.00,$0.0000,0.0000%
Divi,Tula Skincare,new_customer,2,bert4recs1,377,1,$50.00,$0.1326,0.2653%
Bokksu Market,Pretzels.com,new_customer,0,contextual,377,0,$0.00,$0.0000,0.0000%
SeaVees,Laura Geller,new_customer,1,boost5,377,0,$0.00,$0.0000,0.0000%
Wolf & Shepherd,True Classic,new_customer,2,bert4recs1,376,1,$45.00,$0.1197,0.2660%
Fuse Lenses,True Classic,new_customer,1,bert4recs1,376,1,$45.00,$0.1197,0.2660%
Bobbie,Snuggle Me Organic,new_customer,2,boost5,376,0,$0.00,$0.0000,0.0000%
Afloral,Laura Geller,new_customer,1,bert4recs1,376,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,ARMRA Colostrum™,new_customer,1,boost5,376,0,$0.00,$0.0000,0.0000%
Dr. Squatch,Twillory,new_customer,0,lookalike,411,0,$0.00,$0.0000,0.0000%
Bodily,Caden Lane,new_customer,4,boost5,375,4,$128.00,$0.3413,1.0667%
Amberjack,Oars + Alps,new_customer,0,contextual,375,0,$0.00,$0.0000,0.0000%
HATCH,Monica & Andy Inc.,new_customer,0,contextual,374,1,$45.00,$0.1203,0.2674%
Divi,Liquid I.V.,new_customer,2,bert4recs1,374,0,$0.00,$0.0000,0.0000%
Billy Reid,D.S. & Durga,new_customer,1,bert4recs1,374,0,$0.00,$0.0000,0.0000%
Laura Geller,Bala,new_customer,0,contextual,726,0,$0.00,$0.0000,0.0000%
Tushbaby,Corpus Naturals,new_customer,0,contextual,374,0,$0.00,$0.0000,0.0000%
Needed,Tubby Todd Bath Co.,new_customer,1,boost5,373,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Posh Peanut,new_customer,5,boost5,373,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,True Classic,new_customer,2,boost5,373,0,$0.00,$0.0000,0.0000%
Beginning Boutique,INH Hair,new_customer,1,boost5,373,0,$0.00,$0.0000,0.0000%
Laura Geller,M.M.LaFleur,new_customer,6,boost5,700,0,$0.00,$0.0000,0.0000%
Kosas Cosmetics,M.M.LaFleur,new_customer,2,boost5,372,0,$0.00,$0.0000,0.0000%
Laura Geller,Dr. Squatch,new_customer,5,boost5,686,0,$0.00,$0.0000,0.0000%
Beekman 1802,Lunya,new_customer,3,boost5,372,0,$0.00,$0.0000,0.0000%
Maverick & Co.,Amberjack,new_customer,1,boost5,372,0,$0.00,$0.0000,0.0000%
Morphe,The HoneyPot,new_customer,0,contextual,372,0,$0.00,$0.0000,0.0000%
Beyond Polish,Liquid I.V.,new_customer,2,bert4recs1,372,0,$0.00,$0.0000,0.0000%
For Days,Character Home,new_customer,4,boost5,372,0,$0.00,$0.0000,0.0000%
Dropps,M.M.LaFleur,new_customer,2,boost5,372,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,True Classic,new_customer,0,contextual,371,1,$45.00,$0.1213,0.2695%
Maverick & Co.,Dr. Squatch,new_customer,0,contextual,371,0,$0.00,$0.0000,0.0000%
Dagne Dover,Tubby Todd Bath Co.,new_customer,4,boost5,371,1,$10.00,$0.0270,0.2695%
Dollar Shave Club,True Classic,new_customer,4,bert4recs1,371,0,$0.00,$0.0000,0.0000%
Cadence,Girlfriend Collective,new_customer,0,contextual,371,0,$0.00,$0.0000,0.0000%
Toad&Co,NOMAD Grills,new_customer,1,boost5,371,0,$0.00,$0.0000,0.0000%
Wolf & Shepherd,True Classic,new_customer,0,lookalike,371,1,$45.00,$0.1213,0.2695%
Caden Lane,Divi,new_customer,2,boost5,371,1,$50.00,$0.1348,0.2695%
Tubby Todd Bath Co.,Bodily,new_customer,3,boost5,371,2,$70.00,$0.1887,0.5391%
Caraway,Laura Geller,new_customer,2,boost5,370,2,$30.00,$0.0811,0.5405%
Divi,Tula Skincare,new_customer,1,bert4recs1,370,0,$0.00,$0.0000,0.0000%
Maverick & Co.,Dr. Squatch,new_customer,1,bert4recs1,370,0,$0.00,$0.0000,0.0000%
Pretzels.com,NOMAD Grills,new_customer,3,boost5,369,0,$0.00,$0.0000,0.0000%
For Days,Vegamour,new_customer,4,boost5,369,0,$0.00,$0.0000,0.0000%
jot,True Classic,new_customer,1,boost5,369,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Caden Lane,returning_customer,8,boost5,369,6,$120.00,$0.3252,1.6260%
Carve Designs,Laura Geller,new_customer,3,boost5,369,0,$0.00,$0.0000,0.0000%
Dieux Skin,Lunya,new_customer,3,boost5,369,0,$0.00,$0.0000,0.0000%
Afloral,Explorer Cold Brew,new_customer,0,contextual,369,0,$0.00,$0.0000,0.0000%
Fable Home,Airsign,new_customer,1,boost5,369,0,$0.00,$0.0000,0.0000%
Maverick & Co.,Koio,new_customer,1,boost5,369,0,$0.00,$0.0000,0.0000%
Dropps,Laura Geller,new_customer,2,bert4recs1,369,0,$0.00,$0.0000,0.0000%
Molekule,True Classic,new_customer,1,bert4recs1,369,0,$0.00,$0.0000,0.0000%
Newton Baby,Caden Lane,new_customer,4,boost5,369,5,$160.00,$0.4336,1.3550%
Dreamland Baby,Dr. Squatch,new_customer,1,bert4recs1,368,0,$0.00,$0.0000,0.0000%
Laura Geller,Carve Designs,new_customer,1,lookalike,725,0,$0.00,$0.0000,0.0000%
Laura Geller,Caraway,new_customer,1,bert4recs1,722,0,$0.00,$0.0000,0.0000%
Moonglow,NOMAD Grills,new_customer,1,boost5,368,0,$0.00,$0.0000,0.0000%
Honest,Caden Lane,new_customer,1,boost5,368,1,$32.00,$0.0870,0.2717%
Fuse Lenses,NOMAD Grills,new_customer,1,boost5,368,0,$0.00,$0.0000,0.0000%
INTO THE AM,Dollar Shave Club,new_customer,1,bert4recs1,367,0,$0.00,$0.0000,0.0000%
Thorlos,Liquid I.V.,new_customer,1,boost5,367,0,$0.00,$0.0000,0.0000%
Vegamour,NOMAD Grills,new_customer,1,boost5,367,0,$0.00,$0.0000,0.0000%
Kosas Cosmetics,Liquid I.V.,new_customer,3,boost5,367,0,$0.00,$0.0000,0.0000%
Buffbunny Collection,Tula Skincare,new_customer,0,contextual,367,0,$0.00,$0.0000,0.0000%
Tula Skincare,Divi,new_customer,3,boost5,367,1,$50.00,$0.1362,0.2725%
Sol de Janeiro,Beyond Polish,new_customer,0,lookalike,456,0,$0.00,$0.0000,0.0000%
Newton Baby,Caden Lane,new_customer,3,bert4recs1,367,6,$192.00,$0.5232,1.6349%
OUAI,Morphe,new_customer,1,boost5,366,0,$0.00,$0.0000,0.0000%
Hello Cake,True Classic,new_customer,1,bert4recs1,366,0,$0.00,$0.0000,0.0000%
ARMRA Colostrum™,Sol de Janeiro,new_customer,1,boost5,366,0,$0.00,$0.0000,0.0000%
Dagne Dover,Newton Baby,new_customer,2,boost5,366,2,$6.00,$0.0164,0.5464%
Beginning Boutique,Divi,new_customer,1,boost5,366,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Carve Designs,new_customer,1,boost5,448,0,$0.00,$0.0000,0.0000%
Ursa Major,Dirty Labs,new_customer,0,contextual,366,0,$0.00,$0.0000,0.0000%
Fable Home,Blueland,new_customer,1,boost5,366,0,$0.00,$0.0000,0.0000%
Bodily,Tubby Todd Bath Co.,new_customer,3,boost5,365,4,$40.00,$0.1096,1.0959%
Faherty Brand,Tula Skincare,new_customer,5,boost5,365,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,INH Hair,new_customer,0,contextual,436,0,$0.00,$0.0000,0.0000%
BlendJet,Sol de Janeiro,new_customer,2,boost5,365,0,$0.00,$0.0000,0.0000%
Native Pet,MANSCAPED,new_customer,0,contextual,364,0,$0.00,$0.0000,0.0000%
BlendJet,Dr. Squatch,new_customer,3,boost5,364,0,$0.00,$0.0000,0.0000%
Amberjack,Faherty Brand,new_customer,1,boost5,364,0,$0.00,$0.0000,0.0000%
Shinesty,Dr. Squatch,new_customer,0,contextual,364,0,$0.00,$0.0000,0.0000%
cbdMD,Laura Geller,new_customer,1,boost5,364,0,$0.00,$0.0000,0.0000%
BlendJet,True Classic,new_customer,4,boost5,364,0,$0.00,$0.0000,0.0000%
Sijo,Liquid I.V.,new_customer,1,boost5,364,0,$0.00,$0.0000,0.0000%
Foria,BlendJet,new_customer,1,bert4recs1,364,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Bodily,new_customer,6,boost5,363,2,$70.00,$0.1928,0.5510%
Liquid I.V.,Laura Geller,new_customer,4,boost5,363,1,$15.00,$0.0413,0.2755%
Twillory,Wolf & Shepherd,new_customer,3,boost5,363,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,MAXPRO Fitness,new_customer,3,boost5,403,0,$0.00,$0.0000,0.0000%
Laura Geller,Carve Designs,new_customer,3,boost5,645,0,$0.00,$0.0000,0.0000%
Halfdays,Tower 28 Beauty,new_customer,0,contextual,363,0,$0.00,$0.0000,0.0000%
Crown Affair,Lunya,new_customer,2,boost5,363,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Snuggle Me Organic,returning_customer,3,bert4recs1,363,1,$10.00,$0.0275,0.2755%
Buffbunny Collection,Laura Geller,new_customer,2,bert4recs1,362,0,$0.00,$0.0000,0.0000%
BlendJet,Tula Skincare,new_customer,0,lookalike,362,0,$0.00,$0.0000,0.0000%
Otteroo,Caden Lane,new_customer,1,boost5,362,0,$0.00,$0.0000,0.0000%
Dagne Dover,Vegamour,new_customer,2,bert4recs1,362,0,$0.00,$0.0000,0.0000%
Carve Designs,Character Home,new_customer,1,boost5,362,0,$0.00,$0.0000,0.0000%
Baby Tula,Beyond Polish,new_customer,0,contextual,362,0,$0.00,$0.0000,0.0000%
