PUBLISHER,BRAND_NAME,DISPLAY_CUSTOMER_TYPE,DISTINCT_MERCHANTS_AT_LOAD_TIME,ML_MODEL,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,REVENUE_PER_BRAND_IMPRESSION,CVR
Blueland,Laura Geller,new_customer,1,bert4recs1,1439,1,$15.00,$0.0104,0.0695%
Laura Geller,Kopari,new_customer,2,boost5,5720,2,$70.00,$0.0122,0.0350%
Wolf & Shepherd,NOMAD Grills,new_customer,1,boost5,1425,0,$0.00,$0.0000,0.0000%
Laura Geller,SPONGELLE,new_customer,2,bert4recs1,2918,1,$20.00,$0.0069,0.0343%
Liquid I.V.,M.M.LaFleur,new_customer,1,boost5,1422,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Lalo,new_customer,0,,1421,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,Girlfriend Collective,new_customer,0,contextual,1420,0,$0.00,$0.0000,0.0000%
Laura Geller,Beyond Polish,new_customer,1,contextual,3212,1,$8.00,$0.0025,0.0311%
Bobbie,Caden Lane,new_customer,1,bert4recs1,1415,1,$32.00,$0.0226,0.0707%
Tula Skincare,Caden Lane,new_customer,1,boost5,1413,0,$0.00,$0.0000,0.0000%
Ancient Nutrition,M.M.LaFleur,new_customer,1,boost5,1411,0,$0.00,$0.0000,0.0000%
Faherty Brand,Amberjack,new_customer,0,contextual,1408,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Laura Geller,new_customer,1,boost5,1403,1,$15.00,$0.0107,0.0713%
Beginning Boutique,Dagne Dover,new_customer,1,boost5,1403,0,$0.00,$0.0000,0.0000%
Volcom,MANSCAPED,new_customer,1,bert4recs1,1401,0,$0.00,$0.0000,0.0000%
Caden Lane,Tubby Todd Bath Co.,new_customer,3,boost5,1400,8,$80.00,$0.0571,0.5714%
Laura Geller,Sol de Janeiro,new_customer,2,contextual,3228,1,$20.00,$0.0062,0.0310%
Beginning Boutique,Kosas Cosmetics,new_customer,1,boost5,1389,0,$0.00,$0.0000,0.0000%
Amberjack,MANSCAPED,new_customer,0,contextual,1389,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Vegamour,new_customer,0,lookalike,1389,0,$0.00,$0.0000,0.0000%
Willow Pumps,Caden Lane,new_customer,0,contextual,1388,0,$0.00,$0.0000,0.0000%
Mario Badescu Skin Care,Laura Geller,new_customer,1,bert4recs1,1385,1,$15.00,$0.0108,0.0722%
Sol de Janeiro,Canopy,new_customer,0,contextual,6070,0,$0.00,$0.0000,0.0000%
Hedley & Bennett,MANSCAPED,new_customer,0,contextual,1384,0,$0.00,$0.0000,0.0000%
BlendJet,Caraway,new_customer,0,contextual,1382,2,$140.00,$0.1013,0.1447%
Sol de Janeiro,Liquid I.V.,new_customer,1,bert4recs1,4815,0,$0.00,$0.0000,0.0000%
