PUBLISHER_NAME,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND
Liquid I.V.,Dr. Squatch,11403,25,1,18,232.00
jane iredale,Vegamour,6259,50,3,10,220.00
Gathre,Bodily,919,35,12,8,200.00
Beginning Boutique,Laura Geller,17321,15,0,20,195.00
Moby Wrap,Caden Lane,44,32,20,7,188.00
Muslin Comfort,Laura Geller,81,15,0,12,180.00
Laura Geller,Kindra,2919,30,5,11,180.00
Coterie,Tubby Todd Bath Co.,4316,12,3,32,179.00
SolaWave,Laura Geller,5422,15,0,13,165.00
Cadence,Laura Geller,102,15,0,13,165.00
Bala,Dagne Dover,1778,30,20,7,160.00
jane iredale,NOMAD Grills,1398,270,150,1,150.00
For Days,ettitude,11,75,55,2,150.00
Crown Affair,Sunday Citizen,572,70,50,2,140.00
Dagne Dover,Sol de Janeiro,8462,20,10,18,140.00
Blueland,Carve Designs,373,60,10,3,130.00
woolino,Gathre,966,20,20,6,120.00
Beekman 1802,Sunday Citizen,18,70,50,2,120.00
Laura Geller,Dagne Dover,8356,30,20,6,120.00
Carve Designs,Laura Geller,6070,15,0,9,120.00
LIVELY,Sol de Janeiro,2001,20,10,24,110.00
Crown Affair,Kosas Cosmetics,3484,25,15,5,105.00
Winky Lux,Vegamour,1070,50,2,5,105.00
Dr. Squatch,True Classic,141969,45,0,139,3825.00
Laura Geller,Sol de Janeiro,481176,20,10,376,2690.00
BlendJet,Laura Geller,1747,15,0,115,1290.00
Laura Geller,Kopari,38916,35,30,38,1185.00
jane iredale,Lunya,4181,150,75,72,1125.00
Coterie,Caden Lane,9456,32,20,35,936.00
Liquid I.V.,Laura Geller,19911,15,0,54,645.00
Laura Geller,Glamnetic,16604,30,10,30,520.00
ARMRA Colostrum™,True Classic,6940,45,0,16,495.00
Dagne Dover,Nanit,3267,50,25,12,475.00
Tubby Todd Bath Co.,Vegamour,4381,50,4,9,315.00
happy being,NOMAD Grills,29,270,150,1,270.00
Tubby Todd Bath Co.,Lalo,3806,20,10,20,270.00
Divi,Laura Geller,3881,15,0,19,255.00
Divi,Tula Skincare,5125,50,0,6,250.00
Tubby Todd Bath Co.,HATCH,2888,40,10,17,230.00
eyebobs,Laura Geller,4687,15,0,16,225.00
Serenity Kids,Caden Lane,4694,32,20,9,216.00
Faherty Brand,Dr. Squatch,9192,25,1,15,207.00
Beyond Polish,Morphe,2950,45,25,5,205.00
Tower 28 Beauty,Sol de Janeiro,9174,20,10,28,200.00
Faherty Brand,Kopari,439,35,30,6,195.00
Dagne Dover,Cadence,6617,35,15,14,180.00
Ritual Zero Proof,True Classic,6405,45,0,8,180.00
Dr. Squatch,Amberjack,1322,60,30,4,180.00
KraveBeauty,NEIWAI,2262,40,20,4,180.00
ByHeart,Bodily,487,35,12,9,177.00
Blueland,Laura Geller,8316,15,0,16,165.00
Lovevery,Gathre,205,20,20,8,160.00
Tower 28 Beauty,Glamnetic,5297,30,10,8,160.00
Bala,M.M.LaFleur,986,150,50,1,150.00
Olive & June,LIVELY,225,35,20,5,150.00
Faherty Brand,Koio,1709,50,50,3,150.00
Tubby Todd Bath Co.,Coterie,1298,17,0,12,148.50
eyebobs,Wolf & Shepherd,1011,50,15,5,145.00
Beyond Polish,Sol de Janeiro,10609,20,10,21,140.00
Beginning Boutique,Sol de Janeiro,18550,20,10,20,130.00
Tushbaby,SENREVE,2,90,40,1,130.00
Tower 28 Beauty,Sijo,471,80,40,2,120.00
Snuggle Me Organic,Willow Pumps,601,60,0,2,120.00
Primally Pure,Gathre,483,20,20,6,120.00
Zac's Sweet Shop,Modern Picnic,1,70,60,2,120.00
M.M.LaFleur,D.S. & Durga,81,40,40,3,120.00
Bobbie,Lalo,59,20,10,7,110.00
Tower 28 Beauty,Dagne Dover,3385,30,20,4,110.00
Andie,Laura Geller,218,15,0,12,105.00
SeaVees,Laura Geller,325,15,0,10,105.00
Carve Designs,Vegamour,976,50,5,3,105.00
Blueland,Caden Lane,1539,32,20,4,104.00
Dropps,Nanit,7,,,0,0.00
Munk Pack,NOMAD Grills,106,,,0,0.00
Lily Jade,Sol de Janeiro,5,,,0,0.00
woolino,Thorlos,35,,,0,0.00
MantraBand,Kosterina,62,,,0,0.00
Tower 28 Beauty,woolino,13,,,0,0.00
Cat Culture,Native Pet,15,,,0,0.00
Dakine,Alpyn Beauty,1,,,0,0.00
Glimmer Wish,Sol de Janeiro,17,,,0,0.00
Carve Designs,Avocado Green Mattress,20,,,0,0.00
Halfdays,Anyday,3,,,0,0.00
Baby Delight,Bloomscape,3,,,0,0.00
Waterboy,Aura Bora,16,,,0,0.00
Amazi Foods,Milton & Goose,2,,,0,0.00
Carve Designs,INBLOOM,5,,,0,0.00
Dropps,Common Era Jewelry,13,,,0,0.00
SENREVE,Kate Quinn,3,,,0,0.00
Trace Minerals,Volcom,110,,,0,0.00
Snuggle Me Organic,INTO THE AM,1,,,0,0.00
Golde,D.S. & Durga,1,,,0,0.00
Afloral,Sol de Janeiro,167,,,0,0.00
Bala,SeaVees,93,,,0,0.00
Dirty Labs,Once Upon a Farm,2,,,0,0.00
SolaWave,Natalist Co.,1,,,0,0.00
Banza,DEUX,13,,,0,0.00
Gathre,A Kids Co.,7,,,0,0.00
Journ,Seafolly Australia,1,,,0,0.00
The CrunchCup,Luca Faloni,5,,,0,0.00
LightWater Skin,Softies,1,,,0,0.00
Primally Pure,Petunia Pickle Bottom,12,,,0,0.00
The Good Hippie,Carve Designs,1,,,0,0.00
Coco Moon,Bloomscape,8,,,0,0.00
Shinesty,Canopy,1,,,0,0.00
The CrunchCup,Anyday,10,,,0,0.00
Mario Badescu Skin Care,Lalo,33,,,0,0.00
Inamorata,Curie,7,,,0,0.00
Cleverman,Dakine,4,,,0,0.00
LuminAID,Caraway,462,,,0,0.00
Afloral,Motherhood,38,,,0,0.00
Snowyskin,KraveBeauty,1,,,0,0.00
Pearl Street Swim,Clover by CLOVE + HALLOW,1,,,0,0.00
Motherhood,Girlfriend Collective,13,,,0,0.00
Mario Badescu Skin Care,Dropps,113,,,0,0.00
FullWell,Quitch,3,,,0,0.00
Oat Mama,M.M.LaFleur,5,,,0,0.00
vitruvi,Solly Baby,14,,,0,0.00
SANS Meal Bar,ZOA Energy,16,,,0,0.00
Seoul Ceuticals,Licorice,10,,,0,0.00
Dropps,Brightech,6,,,0,0.00
Nuudii System,Natemia,3,,,0,0.00
World Wide Stereo,Cardon,4,,,0,0.00
Winky Lux,WP Standard,5,,,0,0.00
Primally Pure,Tini Lux,20,,,0,0.00
Mario Badescu Skin Care,Matador Meggings,4,,,0,0.00
Compass Coffee,Dropps,7,,,0,0.00
ETICA Denim,Sijo,11,,,0,0.00
Mosi,Buffbunny Collection,8,,,0,0.00
Molekule,Storq,11,,,0,0.00
Out of the Woods,Toad&Co,21,,,0,0.00
biom,Posh Peanut,2,,,0,0.00
Estella,Once Upon a Farm,6,,,0,0.00
Conscia,HATCH,1,,,0,0.00
BLQK Coffee,Airsign,1,,,0,0.00
Sanzo,Wolf & Shepherd,3,,,0,0.00
Boie USA,Oradina,68,,,0,0.00
Nguyen Coffee Supply,Dirty Labs,23,,,0,0.00
Dakine,Kosas Cosmetics,30,,,0,0.00
Newton Baby,Felix Gray,2,,,0,0.00
Thousand Fell,Blueland,156,,,0,0.00
Sonrei Skin,Ursa Major,4,,,0,0.00
jane iredale,woolino,32,,,0,0.00
Wolf & Shepherd,Buffbunny Collection,1,,,0,0.00
Coterie,Quitch,1,,,0,0.00
AAVRANI,TriLASTIN,3,,,0,0.00
Newton Baby,Food Huggers,1,,,0,0.00
Motherhood,Morphe,9,,,0,0.00
Nood,Juna,13,,,0,0.00
NOTO Botanics,Siblings,1,,,0,0.00
Molekule,Kopari,22,,,0,0.00
Amberjack,12|12,8,,,0,0.00
Ancient Nutrition,August Uncommon Tea,19,,,0,0.00
Molekule,My Girl Wellness,1,,,0,0.00
Spyder,Siete Foods,3,,,0,0.00
Liquid I.V.,Girlfriend Collective,1022,,,0,0.00
Thousand Fell,Airsign,3,,,0,0.00
Nood,Carve Designs,120,,,0,0.00
Mario Badescu Skin Care,Fresh Peaches,3,,,0,0.00
K2 Energy Solution,Tini Lux,1,,,0,0.00
Serenity Kids,Dreamland Baby,518,,,0,0.00
Ritual Zero Proof,Ruggish Co.,33,,,0,0.00
Amberjack,Character Home,1361,,,0,0.00
Beginning Boutique,Thorlos,1,,,0,0.00
SENREVE,Petunia Pickle Bottom,3,,,0,0.00
Thorlos,Kopari,46,,,0,0.00
Nuudii System,ZOA Energy,13,,,0,0.00
BelliWelli,Le Mini Macaron,6,,,0,0.00
Halfdays,Thousand Fell,365,,,0,0.00
Hummii: Healthy+Yummii Snacks,Beginning Boutique,1,,,0,0.00
Spice Tribe,LIVELY,1,,,0,0.00
Kortni Jeane,Estella,1,,,0,0.00
SolaWave,Hedley & Bennett,41,,,0,0.00
iloveplum,SolaWave,2,,,0,0.00
woolino,Explorer Cold Brew,7,,,0,0.00
biom,Saranoni Luxury Blankets,3,,,0,0.00
LightWater Skin,M.M.LaFleur,5,,,0,0.00
OUAI,Kijibae,3,,,0,0.00
INTO THE AM,Esker,5,,,0,0.00
Opopop,Esker,5,,,0,0.00
Hummii: Healthy+Yummii Snacks,Birthdate Co.,4,,,0,0.00
Thorlos,Seafolly Australia,8,,,0,0.00
Amazi Foods,Motherhood,1,,,0,0.00
Create,Afloral,24,,,0,0.00
Pretzels.com,INTO THE AM,13,,,0,0.00
Laura Geller,Zonarch,45,,,0,0.00
Tini Lux,Storq,1,,,0,0.00
The CrunchCup,August Uncommon Tea,5,,,0,0.00
Premama,Little Words Project,1,,,0,0.00
Botanical Bones,Toad&Co,1,,,0,0.00
EVER Skincare,The HoneyPot,3,,,0,0.00
Las Jaras Wines,Juna,1,,,0,0.00
QALO,FRANC,1,,,0,0.00
biom,Golde,3,,,0,0.00
Olivers Apparel,Waterboy,45,,,0,0.00
Les Belles,Golde,4,,,0,0.00
Raw Botanics,Caden Lane,1,,,0,0.00
Seafolly Australia,IVL Collective,1,,,0,0.00
Munk Pack,MantraBand,1,,,0,0.00
Nodpod,LIVELY,11,,,0,0.00
AAVRANI,cbdMD,1,,,0,0.00
Crown Affair,ieró Beauty™,14,,,0,0.00
Hally Hair,Giapenta,2,,,0,0.00
Once Upon a Farm,My Medic,8,,,0,0.00
QALO,My Medic,31,,,0,0.00
good light,doublesoul,28,,,0,0.00
Tiege Hanley,AVEC,1,,,0,0.00
Giften Market,NEIWAI,203,,,0,0.00
Laura Geller,Better & Better,50,,,0,0.00
Divi,Nala Care,2,,,0,0.00
JOI,LuminAID,2,,,0,0.00
inklings baby,Nanit,1,,,0,0.00
Wondery,Distil Union,23,,,0,0.00
Snuggle Me Organic,Cadence,24,,,0,0.00
Bala,KraveBeauty,5,,,0,0.00
Clevr Blends,D.S. & Durga,15,,,0,0.00
Coterie,Natalist Co.,7,,,0,0.00
Bare Babe,Sol de Janeiro,8,,,0,0.00
True Made Foods,Caden Lane,4,,,0,0.00
Character Home,Hedley & Bennett,16,,,0,0.00
Tiege Hanley,Hello Cake,3,,,0,0.00
LuminAID,zing bars,2,,,0,0.00
K2 Energy Solution,SENREVE,1,,,0,0.00
Girlfriend Collective,Uncharted Coffee Supply,10,,,0,0.00
Crown Affair,Alkavida,7,,,0,0.00
Inamorata,Dropps,1,,,0,0.00
Ritual Zero Proof,eyebobs,94,,,0,0.00
MantraBand,Dropps,156,,,0,0.00
Dirty Labs,SPONGELLE,69,,,0,0.00
Ruggish Co.,ARMRA Colostrum™,1,,,0,0.00
Spyder,Zonarch,1,,,0,0.00
Nuudii System,Saranoni Luxury Blankets,17,,,0,0.00
good light,Manduka,18,,,0,0.00
Oradina,Create,5,,,0,0.00
Kosas Cosmetics,Som Sleep,11,,,0,0.00
Spritz Society,Character Home,15,,,0,0.00
DEUX,True Made Foods,1,,,0,0.00
Newton Baby,BlendJet,261,,,0,0.00
Ritual Zero Proof,Milton & Goose,8,,,0,0.00
Hally Hair,Bodily,1,,,0,0.00
One Part Co.,NOMAD Grills,1,,,0,0.00
Branch,NOMAD Grills,799,,,0,0.00
SolaWave,Oradina,29,,,0,0.00
iota,Wildfang,72,,,0,0.00
120/Life,Bloomscape,4,,,0,0.00
Covey Skincare,Caden Lane,126,,,0,0.00
Otteroo,NOMAD Grills,58,,,0,0.00
Whimsy and Row,Ry & Pen,1,,,0,0.00
World Wide Stereo,Blueland,34,,,0,0.00
Leafwell Botanicals,Liquid I.V.,14,,,0,0.00
woolino,Milton & Goose,15,,,0,0.00
Once Upon a Farm,biom,2,,,0,0.00
happy being,Motherhood,1,,,0,0.00
Las Jaras Wines,Outer Aisle,1,,,0,0.00
Liquid I.V.,Lollipetals,38,,,0,0.00
Nuudii System,Yana Sleep,1,,,0,0.00
Tower 28 Beauty,Tushbaby,6,,,0,0.00
BelliWelli,Giapenta,7,,,0,0.00
Mario Badescu Skin Care,Waterboy,22,,,0,0.00
BASIK CANDLE CO,Gooselings,1,,,0,0.00
Honest Staging,vitruvi,1,,,0,0.00
Common Heir,Ritual Zero Proof,1,,,0,0.00
Cali's Books,Storq,10,,,0,0.00
Beyond Polish,Lalo,70,,,0,0.00
Motherhood,Pretzels.com,2,,,0,0.00
Spice Tribe,Anyday,48,,,0,0.00
jot,Modern Fuel,6,,,0,0.00
Kortni Jeane,Maverick & Co.,1,,,0,0.00
woolino,Safari Ltd,15,,,0,0.00
Thousand Fell,BlendJet,33,,,0,0.00
Bad Birdie,ieró Beauty™,2,,,0,0.00
The Plug Drink,Quitch,7,,,0,0.00
MantraBand,KA! Empathogenics,11,,,0,0.00
Dagne Dover,IVL Collective,9,,,0,0.00
Dropps,Ritual Zero Proof,33,,,0,0.00
Kortni Jeane,Bad Birdie,44,,,0,0.00
RIND Snacks,Sensory Joy,2,,,0,0.00
Minusey,Zonarch,1,,,0,0.00
AAVRANI,Manduka,12,,,0,0.00
The CrunchCup,Spärkel Beverage Systems,1,,,0,0.00
Lasso,Twillory,119,,,0,0.00
Molekule,Billy Reid,10,,,0,0.00
Siete Foods,Sprout Living,2,,,0,0.00
