PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,NEW_CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR
Primally Pure,Posh Peanut,35.00000000,0.00000000,246,0,0,0.00,0.00000000,0.000000
Honest,Lalo,,,112,0,0,0.00,0.00000000,0.000000
LIVELY,Dropps,25.00000000,0.00000000,139,0,0,0.00,0.00000000,0.000000
Sol de Janeiro,SACHEU Beauty,,,313,0,0,0.00,0.00000000,0.000000
Zensah,Dr. Squatch,25.00000000,0.00000000,268,0,0,0.00,0.00000000,0.000000
BlendJet,Dropps,25.00000000,0.00000000,178,0,0,0.00,0.00000000,0.000000
Year & Day,Laura Geller,,,127,0,0,0.00,0.00000000,0.000000
For Days,Kopari,,,230,0,0,0.00,0.00000000,0.000000
ARMRA Colostrum™,jane iredale,20.00000000,5.00000000,113,2,0,10.00,88.49557522,0.017699
Once Upon a Farm,Otteroo,,,143,0,0,0.00,0.00000000,0.000000
SeaVees,ARMRA Colostrum™,,,106,0,0,0.00,0.00000000,0.000000
esmi Skin Minerals,Caden Lane,,,104,0,0,0.00,0.00000000,0.000000
eeBoo,Caden Lane,,,431,1,1,32.00,74.24593968,0.002320
Vegamour,Airsign,,,131,0,0,0.00,0.00000000,0.000000
Safari Ltd,FullWell,,,108,0,0,0.00,0.00000000,0.000000
California Arts,Koio,50.00000000,50.00000000,200,0,0,0.00,0.00000000,0.000000
Muslin Comfort,Common Era Jewelry,,,129,0,0,0.00,0.00000000,0.000000
Dreamland Baby,Branch,,,100,0,0,0.00,0.00000000,0.000000
jane iredale,Beyond Polish,,,653,0,0,0.00,0.00000000,0.000000
Otteroo,Tula Skincare,,,116,0,0,0.00,0.00000000,0.000000
Beyond Polish,Beekman 1802,,,168,0,0,0.00,0.00000000,0.000000
Inamorata,Morphe,,,157,0,0,0.00,0.00000000,0.000000
Beginning Boutique,Ancient Nutrition,25.00000000,0.00000000,126,0,0,0.00,0.00000000,0.000000
GoNanas,Ursa Major,30.00000000,0.00000000,100,0,0,0.00,0.00000000,0.000000
Vegamour,Buffbunny Collection,,,128,0,0,0.00,0.00000000,0.000000
Baby Delight,Tula Skincare,,,131,0,0,0.00,0.00000000,0.000000
Bodily,ezpz,,,173,0,0,0.00,0.00000000,0.000000
Beginning Boutique,My Medic,,,185,0,0,0.00,0.00000000,0.000000
Wolf & Shepherd,Vegamour,50.00000000,0.00000000,122,0,0,0.00,0.00000000,0.000000
jane iredale,SPONGELLE,,,111,0,0,0.00,0.00000000,0.000000
Trace Minerals,SolaWave,,,119,0,0,0.00,0.00000000,0.000000
Olive & June,NEIWAI,,,172,2,0,40.00,232.55813953,0.011628
Safari Ltd,Solly Baby,,,198,0,0,0.00,0.00000000,0.000000
Oeuf,Tubby Todd Bath Co.,10.00000000,0.00000000,113,1,1,10.00,88.49557522,0.008850
Baby Delight,Vegamour,50.00000000,0.00000000,135,0,0,0.00,0.00000000,0.000000
Coco Moon,Year & Day,,,119,0,0,0.00,0.00000000,0.000000
WP Standard,MANSCAPED,,,180,1,1,0.01,0.05555556,0.005556
Dropps,Girlfriend Collective,,,315,1,0,5.00,15.87301587,0.003175
Ami Colé,M.M.LaFleur,,,190,0,0,0.00,0.00000000,0.000000
Dagne Dover,Coco Moon,,,106,1,0,10.00,94.33962264,0.009434
SPONGELLE,Dollar Shave Club,30.00000000,0.00000000,158,1,0,5.00,31.64556962,0.006329
NEIWAI,Caden Lane,,,432,0,0,0.00,0.00000000,0.000000
Liquid I.V.,Tula Skincare,,,5837,0,0,0.00,0.00000000,0.000000
Branch,MANSCAPED,,,1701,0,0,0.00,0.00000000,0.000000
Serenity Kids,Dagne Dover,,,197,0,0,0.00,0.00000000,0.000000
Sol de Janeiro,Little Words Project,,,7208,13,1,135.00,18.72918979,0.001804
Lalabu,Tubby Todd Bath Co.,10.00000000,0.00000000,566,6,6,60.00,106.00706714,0.010601
SeaVees,True Classic,45.00000000,0.00000000,2436,1,1,45.00,18.47290640,0.000411
8Greens,Beekman 1802,,,388,1,0,10.00,25.77319588,0.002577
Bobbie,Bodily,,,3388,20,6,378.00,111.57024793,0.005903
Buffbunny Collection,Shinesty,20.00000000,10.00000000,936,0,0,0.00,0.00000000,0.000000
Beginning Boutique,Glamnetic,,,5685,3,1,50.00,8.79507476,0.000528
Nanit,Willow Pumps,,,1533,3,3,120.00,78.27788650,0.001957
Laura Geller,QALO,,,1146,1,0,4.44,3.87434555,0.000873
Andie,NOMAD Grills,,,353,0,0,0.00,0.00000000,0.000000
Laura Geller,OUAI,,,510,2,1,60.00,117.64705882,0.003922
The HoneyPot,Vegamour,50.00000000,0.00000000,332,0,0,0.00,0.00000000,0.000000
Vacation®,Laura Geller,,,1446,2,2,30.00,20.74688797,0.001383
Birthdate Co.,BlendJet,,,495,0,0,0.00,0.00000000,0.000000
MantraBand,Vegamour,50.00000000,0.00000000,2425,0,0,0.00,0.00000000,0.000000
Monica & Andy Inc.,Coterie,,,1506,2,2,33.00,21.91235060,0.001328
Dr. Squatch,The Plug Drink,,,1447,0,0,0.00,0.00000000,0.000000
Needed,Caden Lane,,,4929,19,8,476.00,96.57131264,0.003855
8Greens,Airsign,,,383,0,0,0.00,0.00000000,0.000000
Otteroo,Caden Lane,,,2626,18,4,408.00,155.36938309,0.006855
Dr. Squatch,RiotSociety.com,,,435,0,0,0.00,0.00000000,0.000000
Beyond Polish,Lunya,150.00000000,75.00000000,1315,2,0,150.00,114.06844106,0.001521
Dreamland Baby,Ursa Major,30.00000000,0.00000000,123,0,0,0.00,0.00000000,0.000000
Posh Peanut,Dagne Dover,,,4328,5,3,130.00,30.03696858,0.001155
Mario Badescu Skin Care,Monica & Andy Inc.,,,118,0,0,0.00,0.00000000,0.000000
NEIWAI,Dollar Shave Club,30.00000000,0.00000000,153,0,0,0.00,0.00000000,0.000000
vitruvi,True Classic,45.00000000,0.00000000,191,1,1,45.00,235.60209424,0.005236
Primally Pure,Little Words Project,,,410,2,0,20.00,48.78048780,0.004878
Spyder,NOMAD Grills,,,5140,0,0,0.00,0.00000000,0.000000
Tushbaby,Kate Quinn,,,821,0,0,0.00,0.00000000,0.000000
Storq,Gathre,,,327,0,0,0.00,0.00000000,0.000000
Thorlos,MANSCAPED,,,1921,1,1,0.01,0.00520562,0.000521
Sol de Janeiro,SENREVE,,,1875,0,0,0.00,0.00000000,0.000000
D.S. & Durga,Liquid I.V.,,,749,0,0,0.00,0.00000000,0.000000
Ursa Major,Dirty Labs,,,477,0,0,0.00,0.00000000,0.000000
Solly Baby,NOMAD Grills,,,463,0,0,0.00,0.00000000,0.000000
Dreamland Baby,ARMRA Colostrum™,,,219,0,0,0.00,0.00000000,0.000000
Corpus Naturals,Laura Geller,,,321,0,0,0.00,0.00000000,0.000000
August Uncommon Tea,Blueland,33.00000000,0.00000000,261,0,0,0.00,0.00000000,0.000000
Caden Lane,Beyond Polish,,,1287,1,1,8.00,6.21600622,0.000777
120/Life,MANSCAPED,,,561,0,0,0.00,0.00000000,0.000000
Waterboy,Lunya,150.00000000,75.00000000,384,0,0,0.00,0.00000000,0.000000
Girlfriend Collective,Sol de Janeiro,20.00000000,10.00000000,656,0,0,0.00,0.00000000,0.000000
Create,MANSCAPED,,,3041,3,0,0.03,0.00986518,0.000987
