PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,NEW_CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR
Dreamland Baby,SolaWave,,,210,0,0,0.00,0.00000000,0.000000
Nood,Curie,,,124,2,0,10.00,80.64516129,0.016129
Laura Geller,Nood,,,170,0,0,0.00,0.00000000,0.000000
Coffee Bros.,Airsign,,,272,0,0,0.00,0.00000000,0.000000
Needed,Milton & Goose,,,265,0,0,0.00,0.00000000,0.000000
Vacation®,21Seeds Tequila,,,106,0,0,0.00,0.00000000,0.000000
Dr. Motion,Shinesty,20.00000000,10.00000000,161,0,0,0.00,0.00000000,0.000000
jane iredale,Licorice,,,116,0,0,0.00,0.00000000,0.000000
Olive & June,Wildfang,,,159,2,0,30.00,188.67924528,0.012579
Beginning Boutique,Newton Baby,,,388,0,0,0.00,0.00000000,0.000000
Houseplant,Airsign,,,149,0,0,0.00,0.00000000,0.000000
Pretzels.com,Year & Day,,,172,0,0,0.00,0.00000000,0.000000
Twillory,World Wide Stereo,,,167,0,0,0.00,0.00000000,0.000000
Maverick & Co.,Mario Badescu Skin Care,15.33333333,2.00000000,274,0,0,0.00,0.00000000,0.000000
Glamnetic,ARMRA Colostrum™,,,202,0,0,0.00,0.00000000,0.000000
Kosterina,Fable Home,,,110,0,0,0.00,0.00000000,0.000000
Consciously Baby,Monica & Andy Inc.,,,145,3,1,65.00,448.27586207,0.020690
Rains,Morphe,,,234,1,1,45.00,192.30769231,0.004274
Blueland,HATCH,40.00000000,10.00000000,139,2,1,50.00,359.71223022,0.014388
Buffbunny Collection,"Dermaclara, LLC",,,204,0,0,0.00,0.00000000,0.000000
Crown Affair,Gibsonlook,,,120,0,0,0.00,0.00000000,0.000000
Anyday,Dropps,25.00000000,0.00000000,100,0,0,0.00,0.00000000,0.000000
Nodpod,Lunya,150.00000000,75.00000000,111,0,0,0.00,0.00000000,0.000000
Winky Lux,Curie,,,210,0,0,0.00,0.00000000,0.000000
FullWell,Year & Day,,,135,0,0,0.00,0.00000000,0.000000
Caraway,Monica & Andy Inc.,,,160,2,2,90.00,562.50000000,0.012500
Beginning Boutique,Oradina,,,120,0,0,0.00,0.00000000,0.000000
Mario Badescu Skin Care,Little Words Project,,,140,2,0,20.00,142.85714286,0.014286
Tower 28 Beauty,Inamorata,,,109,0,0,0.00,0.00000000,0.000000
Sol de Janeiro,WP Standard,40.00000000,13.00000000,115,0,0,0.00,0.00000000,0.000000
Create,Caraway,,,112,1,1,70.00,625.00000000,0.008929
Tower 28 Beauty,Toad&Co,,,125,0,0,0.00,0.00000000,0.000000
Buffbunny Collection,Birthdate Co.,,,105,0,0,0.00,0.00000000,0.000000
Felix Gray,Common Era Jewelry,,,139,0,0,0.00,0.00000000,0.000000
Golde,NOMAD Grills,,,168,0,0,0.00,0.00000000,0.000000
Muslin Comfort,SolaWave,,,153,0,0,0.00,0.00000000,0.000000
Sijo,Fable Home,,,173,0,0,0.00,0.00000000,0.000000
NEIWAI,Muslin Comfort,,,202,0,0,0.00,0.00000000,0.000000
RiotSociety.com,Wolf & Shepherd,,,119,0,0,0.00,0.00000000,0.000000
Laura Geller,Dr. Squatch,25.00000000,0.00000000,219482,39,15,399.00,1.81791673,0.000178
BlendJet,MANSCAPED,,,17070,1,0,0.01,0.00058582,0.000059
ARMRA Colostrum™,NOMAD Grills,,,7920,0,0,0.00,0.00000000,0.000000
Tubby Todd Bath Co.,Lunya,150.00000000,75.00000000,3987,3,2,325.00,81.51492350,0.000752
DEUX,21Seeds Tequila,,,327,0,0,0.00,0.00000000,0.000000
Liquid I.V.,Character Home,150.00000000,50.00000000,1632,0,0,0.00,0.00000000,0.000000
Amberjack,MANSCAPED,,,5375,2,1,0.02,0.00372093,0.000372
"Dermaclara, LLC",MANSCAPED,,,355,0,0,0.00,0.00000000,0.000000
Mario Badescu Skin Care,M.M.LaFleur,,,2520,1,1,150.00,59.52380952,0.000397
Dreamland Baby,NOMAD Grills,,,1065,0,0,0.00,0.00000000,0.000000
Buffbunny Collection,Liquid I.V.,,,10687,2,3,105.00,9.82502105,0.000187
Amberjack,Twillory,,,5446,29,13,275.00,50.49577672,0.005325
Coterie,Bodily,,,2754,21,8,436.00,158.31517792,0.007625
Sol de Janeiro,INH Hair,,,1974,1,1,40.00,20.26342452,0.000507
Beekman 1802,M.M.LaFleur,,,3220,1,1,150.00,46.58385093,0.000311
Bobbie,Coterie,,,2103,14,14,231.00,109.84308131,0.006657
Hedley & Bennett,D.S. & Durga,40.00000000,40.00000000,403,1,0,40.00,99.25558313,0.002481
Dr. Squatch,MAXPRO Fitness,,,1432,1,1,120.00,83.79888268,0.000698
Willow Pumps,Tushbaby,,,2177,3,2,41.00,18.83325678,0.001378
Vegamour,True Classic,45.00000000,0.00000000,320,1,1,45.00,140.62500000,0.003125
Manduka,Branch,,,1137,0,0,0.00,0.00000000,0.000000
Tower 28 Beauty,Girlfriend Collective,,,5827,2,2,50.00,8.58074481,0.000343
Bobbie,Caden Lane,,,11589,66,11,1452.00,125.29122444,0.005695
Dr. Squatch,Canopy,,,7463,0,0,0.00,0.00000000,0.000000
Dieux Skin,M.M.LaFleur,,,1305,1,0,50.00,38.31417625,0.000766
Fable Home,Caraway,,,978,6,3,330.00,337.42331288,0.006135
woolino,Needed,,,508,1,1,50.00,98.42519685,0.001969
Solly Baby,Gathre,,,2099,6,2,120.00,57.17008099,0.002859
Morphe,MAXPRO Fitness,,,515,0,0,0.00,0.00000000,0.000000
Dreamland Baby,FullWell,,,279,0,0,0.00,0.00000000,0.000000
Beekman 1802,BlendJet,,,3501,1,1,10.00,2.85632676,0.000286
Evereden,LIVELY,,,209,0,0,0.00,0.00000000,0.000000
Matador Meggings,Liquid I.V.,,,113,0,0,0.00,0.00000000,0.000000
Carve Designs,SeaVees,10.00000000,10.00000000,220,0,0,0.00,0.00000000,0.000000
Cadence,Dagne Dover,,,766,6,5,170.00,221.93211488,0.007833
Laura Geller,vitruvi,,,155,1,0,40.00,258.06451613,0.006452
Liquid I.V.,Gibsonlook,,,222,0,0,0.00,0.00000000,0.000000
Girlfriend Collective,Ursa Major,30.00000000,0.00000000,388,1,1,30.00,77.31958763,0.002577
BlendJet,Beekman 1802,,,486,5,0,50.00,102.88065844,0.010288
Snuggle Me Organic,Tula Skincare,,,1458,0,0,0.00,0.00000000,0.000000
Crown Affair,Vacation®,,,389,0,0,0.00,0.00000000,0.000000
Halfdays,True Botanicals,,,360,2,0,10.00,27.77777778,0.005556
Dropps,Ursa Major,30.00000000,0.00000000,818,0,0,0.00,0.00000000,0.000000
Spyder,MANSCAPED,,,4834,1,0,0.01,0.00206868,0.000207
Ritual Zero Proof,Oars + Alps,55.00000000,0.00000000,156,0,0,0.00,0.00000000,0.000000
Matador Meggings,Dr. Squatch,25.00000000,0.00000000,145,0,0,0.00,0.00000000,0.000000
Monica & Andy Inc.,Lunya,150.00000000,75.00000000,2361,5,1,450.00,190.59720457,0.002118
Dr. Squatch,Blueland,33.00000000,0.00000000,1494,0,0,0.00,0.00000000,0.000000
Solly Baby,Petunia Pickle Bottom,,,347,1,1,20.00,57.63688761,0.002882
Beyond Polish,Vegamour,50.00000000,0.00000000,5096,5,1,70.00,13.73626374,0.000981
Manduka,Moonglow,,,3165,0,0,0.00,0.00000000,0.000000
SPONGELLE,BlendJet,,,1144,1,0,5.00,4.37062937,0.000874
ARMRA Colostrum™,True Classic,45.00000000,0.00000000,5551,7,7,315.00,56.74653216,0.001261
Coterie,Tubby Todd Bath Co.,10.00000000,0.00000000,3493,20,20,200.00,57.25737189,0.005726
Dr. Squatch,Ancient Nutrition,25.00000000,0.00000000,332,0,0,0.00,0.00000000,0.000000
Le Mini Macaron,LIVELY,,,806,0,0,0.00,0.00000000,0.000000
Clover by CLOVE + HALLOW,Vegamour,50.00000000,0.00000000,114,0,0,0.00,0.00000000,0.000000
HATCH,Newton Baby,,,1094,3,3,9.00,8.22669104,0.002742
Liquid I.V.,Oradina,,,1013,0,0,0.00,0.00000000,0.000000
Liquid I.V.,Dieux Skin,,,447,3,0,3.00,6.71140940,0.006711
Cadence,LIVELY,,,789,2,0,40.00,50.69708492,0.002535
Buffbunny Collection,My Medic,,,698,0,0,0.00,0.00000000,0.000000
Kosas Cosmetics,LIVELY,,,2874,1,0,20.00,6.95894224,0.000348
Electric Picks Jewelry,Liquid I.V.,,,829,0,0,0.00,0.00000000,0.000000
Olive & June,Caden Lane,,,3311,10,2,224.00,67.65327696,0.003020
Hedley & Bennett,Girlfriend Collective,,,1117,1,0,5.00,4.47627574,0.000895
The Secure Mat,MANSCAPED,,,412,0,0,0.00,0.00000000,0.000000
Baby Tula,Corpus Naturals,,,240,0,0,0.00,0.00000000,0.000000
Shinesty,Caden Lane,,,325,0,0,0.00,0.00000000,0.000000
Maverick & Co.,Dr. Squatch,25.00000000,0.00000000,1826,0,0,0.00,0.00000000,0.000000
Faherty Brand,Koio,50.00000000,50.00000000,2157,1,1,50.00,23.18034307,0.000464
Opopop,Licorice,,,1244,0,0,0.00,0.00000000,0.000000
Willow Pumps,Petunia Pickle Bottom,,,462,0,0,0.00,0.00000000,0.000000
Siete Foods,BlendJet,,,591,0,0,0.00,0.00000000,0.000000
Shinesty,Dr. Squatch,25.00000000,0.00000000,1912,2,1,26.00,13.59832636,0.001046
Little Words Project,Tubby Todd Bath Co.,10.00000000,0.00000000,1031,5,5,50.00,48.49660524,0.004850
cbdMD,Dr. Squatch,25.00000000,0.00000000,995,1,0,1.00,1.00502513,0.001005
For Days,Primally Pure,,,414,1,1,10.00,24.15458937,0.002415
Snuggle Me Organic,Liquid I.V.,,,1751,0,0,0.00,0.00000000,0.000000
True Botanicals,For Days,30.00000000,15.00000000,1354,3,1,60.00,44.31314623,0.002216
Posh Peanut,Liquid I.V.,,,753,2,2,70.00,92.96148738,0.002656
Bodily,Primally Pure,,,614,3,3,30.00,48.85993485,0.004886
Spyder,Caraway,,,576,0,0,0.00,0.00000000,0.000000
California Arts,Dr. Squatch,25.00000000,0.00000000,115,2,1,26.00,226.08695652,0.017391
KraveBeauty,NOMAD Grills,,,438,0,0,0.00,0.00000000,0.000000
MantraBand,BlendJet,,,2466,2,1,15.00,6.08272506,0.000811
Blueland,Siblings,,,306,0,0,0.00,0.00000000,0.000000
Crown Affair,D.S. & Durga,40.00000000,40.00000000,602,2,1,80.00,132.89036545,0.003322
Consciously Baby,Gathre,,,157,0,0,0.00,0.00000000,0.000000
Tiege Hanley,Luca Faloni,,,188,0,0,0.00,0.00000000,0.000000
Girlfriend Collective,Hedley & Bennett,,,561,1,1,40.00,71.30124777,0.001783
Elegant Baby,Primally Pure,,,121,0,0,0.00,0.00000000,0.000000
Willow Pumps,Coterie,,,532,2,2,33.00,62.03007519,0.003759
Bodily,"Dermaclara, LLC",,,191,0,0,0.00,0.00000000,0.000000
Bala,Sunday Citizen,,,362,0,0,0.00,0.00000000,0.000000
Needed,Ruggish Co.,,,628,0,0,0.00,0.00000000,0.000000
Lovevery,Posh Peanut,35.00000000,0.00000000,304,1,1,35.00,115.13157895,0.003289
Le Monde Gourmand,Laura Geller,,,950,0,0,0.00,0.00000000,0.000000
Cadence,Tula Skincare,,,418,0,0,0.00,0.00000000,0.000000
Mario Badescu Skin Care,Electric Picks Jewelry,,,356,0,0,0.00,0.00000000,0.000000
Kosterina,Dagne Dover,,,162,0,0,0.00,0.00000000,0.000000
Le Mini Macaron,Kosas Cosmetics,,,747,0,0,0.00,0.00000000,0.000000
woolino,Canopy,,,226,0,0,0.00,0.00000000,0.000000
August Uncommon Tea,MANSCAPED,,,589,1,0,0.01,0.01697793,0.001698
LIVELY,SolaWave,,,140,0,0,0.00,0.00000000,0.000000
Vacation®,Dieux Skin,,,796,3,1,4.00,5.02512563,0.003769
Oars + Alps,Twillory,,,485,4,0,20.00,41.23711340,0.008247
HATCH,Tula Skincare,,,353,0,0,0.00,0.00000000,0.000000
woolino,M.M.LaFleur,,,748,0,0,0.00,0.00000000,0.000000
Raskol Apparel,Waterboy,,,1347,1,1,25.00,18.55976244,0.000742
Bala,HATCH,40.00000000,10.00000000,268,0,0,0.00,0.00000000,0.000000
Willow Pumps,Storq,,,156,1,1,30.00,192.30769231,0.006410
Sol de Janeiro,Fuse Lenses,,,332,0,0,0.00,0.00000000,0.000000
Morphe,OUAI,,,113,0,0,0.00,0.00000000,0.000000
Primally Pure,ETOILE,,,208,0,0,0.00,0.00000000,0.000000
Dr. Squatch,Tubby Todd Bath Co.,10.00000000,0.00000000,432,0,0,0.00,0.00000000,0.000000
Mosi,Yana Sleep,,,127,0,0,0.00,0.00000000,0.000000
Siblings,Caden Lane,,,167,0,0,0.00,0.00000000,0.000000
Willow Pumps,Canopy,,,420,0,0,0.00,0.00000000,0.000000
Twillory,Beekman 1802,,,219,0,0,0.00,0.00000000,0.000000
Dr. Squatch,Snuggle Me Organic,,,1200,0,0,0.00,0.00000000,0.000000
Snuggle Me Organic,Caraway,,,197,4,3,250.00,1269.03553299,0.020305
Dieux Skin,Buffbunny Collection,,,149,2,1,16.00,107.38255034,0.013423
Siblings,Vegamour,50.00000000,0.00000000,244,1,0,5.00,20.49180328,0.004098
SACHEU Beauty,Liquid I.V.,,,566,0,0,0.00,0.00000000,0.000000
SolaWave,Glamnetic,,,262,1,1,30.00,114.50381679,0.003817
Olive & June,Volcom,15.00000000,8.00000000,118,0,0,0.00,0.00000000,0.000000
Morphe,21Seeds Tequila,,,106,0,0,0.00,0.00000000,0.000000
Twillory,Distil Union,,,375,0,0,0.00,0.00000000,0.000000
Siete Foods,Fable Home,,,159,0,0,0.00,0.00000000,0.000000
Afloral,Caraway,,,1066,2,0,80.00,75.04690432,0.001876
Mosi,Vegamour,50.00000000,0.00000000,173,0,0,0.00,0.00000000,0.000000
Dollar Shave Club,Dagne Dover,,,435,0,0,0.00,0.00000000,0.000000
Shinesty,Vegamour,50.00000000,0.00000000,234,0,0,0.00,0.00000000,0.000000
Otteroo,Dreamland Baby,,,452,3,3,120.00,265.48672566,0.006637
Primally Pure,DEUX,,,212,1,0,15.00,70.75471698,0.004717
SolaWave,True Classic,45.00000000,0.00000000,329,0,0,0.00,0.00000000,0.000000
Dreamland Baby,Bad Birdie,,,388,0,0,0.00,0.00000000,0.000000
Glamnetic,SPONGELLE,,,141,0,0,0.00,0.00000000,0.000000
Lunya,Glamnetic,,,132,0,0,0.00,0.00000000,0.000000
Foria,Common Era Jewelry,,,306,0,0,0.00,0.00000000,0.000000
Tushbaby,Coco Moon,,,225,0,0,0.00,0.00000000,0.000000
Olivers Apparel,Wolf & Shepherd,,,253,0,0,0.00,0.00000000,0.000000
Baby Tula,Sijo,,,200,0,0,0.00,0.00000000,0.000000
Hello Cake,Lollipetals,,,540,0,0,0.00,0.00000000,0.000000
Little Words Project,Dieux Skin,,,126,2,1,3.00,23.80952381,0.015873
Storq,Newton Baby,,,147,0,0,0.00,0.00000000,0.000000
Le Mini Macaron,Tower 28 Beauty,,,445,0,0,0.00,0.00000000,0.000000
D.S. & Durga,Kosas Cosmetics,,,322,0,0,0.00,0.00000000,0.000000
Maverick & Co.,Cardon,,,324,0,0,0.00,0.00000000,0.000000
NEIWAI,ettitude,,,258,0,0,0.00,0.00000000,0.000000
Primally Pure,vitruvi,,,103,0,0,0.00,0.00000000,0.000000
Branch,For Days,30.00000000,15.00000000,100,2,1,45.00,450.00000000,0.020000
Dr. Squatch,Caden Lane,,,424,0,0,0.00,0.00000000,0.000000
Cadence,For Days,30.00000000,15.00000000,312,4,2,90.00,288.46153846,0.012821
Monica & Andy Inc.,BlendJet,,,511,1,0,5.00,9.78473581,0.001957
Juna,Liquid I.V.,,,192,0,0,0.00,0.00000000,0.000000
Dagne Dover,Bad Birdie,,,207,1,0,5.00,24.15458937,0.004831
Afloral,Sol de Janeiro,20.00000000,10.00000000,133,0,0,0.00,0.00000000,0.000000
Sijo,Afloral,,,148,0,0,0.00,0.00000000,0.000000
Dame,Dollar Shave Club,30.00000000,0.00000000,105,1,0,5.00,47.61904762,0.009524
Beekman 1802,Caraway,,,280,0,0,0.00,0.00000000,0.000000
Olivers Apparel,Blueland,33.00000000,0.00000000,112,0,0,0.00,0.00000000,0.000000
Ursa Major,Blueland,33.00000000,0.00000000,523,1,1,33.00,63.09751434,0.001912
Beekman 1802,Tubby Todd Bath Co.,10.00000000,0.00000000,115,1,1,10.00,86.95652174,0.008696
Bad Birdie,Tula Skincare,,,133,0,0,0.00,0.00000000,0.000000
Honest,Dagne Dover,,,199,4,3,110.00,552.76381910,0.020101
eeBoo,Blueland,33.00000000,0.00000000,214,1,1,33.00,154.20560748,0.004673
Baby Tula,Gathre,,,186,0,0,0.00,0.00000000,0.000000
Dr. Squatch,Goodlife Clothing,,,125,0,0,0.00,0.00000000,0.000000
Le Mini Macaron,Dieux Skin,,,190,0,0,0.00,0.00000000,0.000000
Girlfriend Collective,Kopari,,,186,0,0,0.00,0.00000000,0.000000
Sijo,Dr. Squatch,25.00000000,0.00000000,324,1,0,1.00,3.08641975,0.003086
Electric Picks Jewelry,LIVELY,,,180,1,0,20.00,111.11111111,0.005556
D.S. & Durga,KraveBeauty,,,145,0,0,0.00,0.00000000,0.000000
Highline Wellness,Little Words Project,,,137,0,0,0.00,0.00000000,0.000000
Tula Skincare,Dreamland Baby,,,155,0,0,0.00,0.00000000,0.000000
Wolf & Shepherd,Shinesty,20.00000000,10.00000000,106,0,0,0.00,0.00000000,0.000000
The Secure Mat,Beekman 1802,,,142,0,0,0.00,0.00000000,0.000000
jot,Bala,,,189,0,0,0.00,0.00000000,0.000000
Olive & June,Oradina,,,103,1,0,20.00,194.17475728,0.009709
Tushbaby,Sol de Janeiro,20.00000000,10.00000000,117,0,0,0.00,0.00000000,0.000000
Spyder,Little Words Project,,,106,0,0,0.00,0.00000000,0.000000
Dame,Highline Wellness,,,127,0,0,0.00,0.00000000,0.000000
SPONGELLE,Cadence,,,124,0,0,0.00,0.00000000,0.000000
Caden Lane,For Days,30.00000000,15.00000000,120,0,0,0.00,0.00000000,0.000000
Evereden,Caraway,,,164,0,0,0.00,0.00000000,0.000000
Girlfriend Collective,Birthdate Co.,,,130,0,0,0.00,0.00000000,0.000000
CanDo,NOMAD Grills,,,137,0,0,0.00,0.00000000,0.000000
Safari Ltd,Needed,,,123,0,0,0.00,0.00000000,0.000000
KraveBeauty,Buffbunny Collection,,,141,0,0,0.00,0.00000000,0.000000
Liquid I.V.,Aura Bora,,,117,0,0,0.00,0.00000000,0.000000
EGG New York,Bodily,,,144,0,0,0.00,0.00000000,0.000000
Dame,Beginning Boutique,,,201,0,0,0.00,0.00000000,0.000000
Seafolly Australia,Vegamour,50.00000000,0.00000000,171,0,0,0.00,0.00000000,0.000000
Tubby Todd Bath Co.,Dollar Shave Club,30.00000000,0.00000000,104,1,0,5.00,48.07692308,0.009615
AAVRANI,BlendJet,,,104,0,0,0.00,0.00000000,0.000000
Anyday,Kosterina,,,103,1,0,5.00,48.54368932,0.009709
Revolution Cooking,Licorice,,,117,0,0,0.00,0.00000000,0.000000
Dame,Koio,50.00000000,50.00000000,220,0,0,0.00,0.00000000,0.000000
Caden Lane,Dirty Labs,,,210,0,0,0.00,0.00000000,0.000000
California Arts,Branch,,,171,0,0,0.00,0.00000000,0.000000
HATCH,Dollar Shave Club,30.00000000,0.00000000,102,0,0,0.00,0.00000000,0.000000
Oars + Alps,GRIP6,,,113,0,0,0.00,0.00000000,0.000000
iota,Carve Designs,,,131,1,0,10.00,76.33587786,0.007634
World Wide Stereo,Yana Sleep,,,100,0,0,0.00,0.00000000,0.000000
EGG New York,Tubby Todd Bath Co.,10.00000000,0.00000000,100,1,1,10.00,100.00000000,0.010000
Buffbunny Collection,Thousand Fell,,,101,0,0,0.00,0.00000000,0.000000
Le Monde Gourmand,Tower 28 Beauty,,,179,0,0,0.00,0.00000000,0.000000
NEIWAI,OUAI,,,105,0,0,0.00,0.00000000,0.000000
Manduka,Lunya,150.00000000,75.00000000,4453,1,0,75.00,16.84257804,0.000225
Wren + Glory,Sol de Janeiro,20.00000000,10.00000000,151,0,0,0.00,0.00000000,0.000000
Caden Lane,M.M.LaFleur,,,7229,0,0,0.00,0.00000000,0.000000
Morphe,Petunia Pickle Bottom,,,139,0,0,0.00,0.00000000,0.000000
Sol de Janeiro,Le Mini Macaron,,,1714,0,0,0.00,0.00000000,0.000000
Fuse Lenses,Laura Geller,,,1324,0,0,0.00,0.00000000,0.000000
D.S. & Durga,Koio,50.00000000,50.00000000,123,0,0,0.00,0.00000000,0.000000
Billy Reid,NOMAD Grills,,,662,0,0,0.00,0.00000000,0.000000
Dagne Dover,Moonglow,,,4378,0,0,0.00,0.00000000,0.000000
Halfdays,Airsign,,,172,0,0,0.00,0.00000000,0.000000
Maverick & Co.,NOMAD Grills,,,171,0,0,0.00,0.00000000,0.000000
Lunya,HATCH,40.00000000,10.00000000,574,1,0,10.00,17.42160279,0.001742
Sol de Janeiro,Boie USA,,,5135,1,1,8.00,1.55793574,0.000195
Willow Pumps,Tula Skincare,,,807,0,0,0.00,0.00000000,0.000000
Coco Moon,Tula Skincare,,,217,0,0,0.00,0.00000000,0.000000
Thorlos,BlendJet,,,870,0,0,0.00,0.00000000,0.000000
Dr. Squatch,ettitude,,,451,0,0,0.00,0.00000000,0.000000
Caraway,Wolf & Shepherd,,,211,0,0,0.00,0.00000000,0.000000
Afloral,SolaWave,,,126,0,0,0.00,0.00000000,0.000000
Tower 28 Beauty,Modern Picnic,,,149,0,0,0.00,0.00000000,0.000000
UNTUCKit,Moonglow,,,113,0,0,0.00,0.00000000,0.000000
Tower 28 Beauty,NOMAD Grills,,,703,0,0,0.00,0.00000000,0.000000
BlendJet,Kopari,,,158,1,0,30.00,189.87341772,0.006329
For Days,Tubby Todd Bath Co.,10.00000000,0.00000000,558,2,2,20.00,35.84229391,0.003584
SolaWave,Dr. Squatch,25.00000000,0.00000000,200,2,0,2.00,10.00000000,0.010000
Posh Peanut,BlendJet,,,243,0,0,0.00,0.00000000,0.000000
Mario Badescu Skin Care,True Classic,45.00000000,0.00000000,1720,0,0,0.00,0.00000000,0.000000
Twillory,Faherty Brand,,,827,1,1,85.00,102.78113664,0.001209
Tubby Todd Bath Co.,Tini Lux,,,1210,0,0,0.00,0.00000000,0.000000
Caraway,NOMAD Grills,,,2135,0,0,0.00,0.00000000,0.000000
Solly Baby,ezpz,,,492,0,0,0.00,0.00000000,0.000000
Oradina,Sunday Citizen,,,142,2,0,100.00,704.22535211,0.014085
Corpus Naturals,MAXPRO Fitness,,,163,0,0,0.00,0.00000000,0.000000
Caraway,Dagne Dover,,,715,0,0,0.00,0.00000000,0.000000
Lalo,Solly Baby,,,1836,2,1,30.00,16.33986928,0.001089
Coterie,Lalo,,,1680,7,2,110.00,65.47619048,0.004167
Matador Meggings,Hello Cake,,,244,0,0,0.00,0.00000000,0.000000
eyebobs,Faherty Brand,,,633,33,33,2805.00,4431.27962085,0.052133
Divi,Dr. Squatch,25.00000000,0.00000000,269,0,0,0.00,0.00000000,0.000000
Tower 28 Beauty,Beyond Polish,,,875,0,0,0.00,0.00000000,0.000000
Serenity Kids,Bodily,,,549,2,1,47.00,85.61020036,0.003643
SPONGELLE,MANSCAPED,,,917,0,0,0.00,0.00000000,0.000000
Primally Pure,Lunya,150.00000000,75.00000000,5103,1,1,150.00,29.39447384,0.000196
Sol de Janeiro,Winged Wellness,,,965,0,0,0.00,0.00000000,0.000000
Buffbunny Collection,Foria,,,276,0,0,0.00,0.00000000,0.000000
Dr. Squatch,Dryft Sleep,,,164,0,0,0.00,0.00000000,0.000000
Toad&Co,Character Home,150.00000000,50.00000000,394,0,0,0.00,0.00000000,0.000000
Twillory,NOMAD Grills,,,3040,0,0,0.00,0.00000000,0.000000
Tushbaby,Kopari,,,187,1,0,30.00,160.42780749,0.005348
Dreamland Baby,Leeway Home,,,750,0,0,0.00,0.00000000,0.000000
Rael,Laura Geller,,,338,0,0,0.00,0.00000000,0.000000
Tiege Hanley,True Classic,45.00000000,0.00000000,891,2,2,90.00,101.01010101,0.002245
Dagne Dover,BlendJet,,,1230,4,2,30.00,24.39024390,0.003252
Parken Jewelry,Laura Geller,,,186,0,0,0.00,0.00000000,0.000000
Moby Wrap,Posh Peanut,35.00000000,0.00000000,263,0,0,0.00,0.00000000,0.000000
Primally Pure,Dagne Dover,,,1308,1,0,20.00,15.29051988,0.000765
Electric Picks Jewelry,Mario Badescu Skin Care,15.33333333,2.00000000,603,0,0,0.00,0.00000000,0.000000
Wondery,NEIWAI,,,360,0,0,0.00,0.00000000,0.000000
Halfdays,Dieux Skin,,,2874,3,1,4.00,1.39178845,0.001044
Sol de Janeiro,Volcom,15.00000000,8.00000000,1459,2,1,23.00,15.76422207,0.001371
Kindra,Character Home,150.00000000,50.00000000,115,0,0,0.00,0.00000000,0.000000
ARMRA Colostrum™,SolaWave,,,511,4,2,120.00,234.83365949,0.007828
Ancient Nutrition,Tula Skincare,,,969,0,0,0.00,0.00000000,0.000000
Foria,Kopari,,,1053,1,0,30.00,28.49002849,0.000950
Once Upon a Farm,Posh Peanut,35.00000000,0.00000000,855,0,0,0.00,0.00000000,0.000000
Once Upon a Farm,Newton Baby,,,1306,2,2,6.00,4.59418070,0.001531
Ritual Zero Proof,Caden Lane,,,1137,1,1,32.00,28.14423923,0.000880
Primally Pure,LIVELY,,,476,1,1,35.00,73.52941176,0.002101
Dieux Skin,"Dermaclara, LLC",,,103,0,0,0.00,0.00000000,0.000000
Baby Delight,Caden Lane,,,524,4,1,92.00,175.57251908,0.007634
Andie,Carve Designs,,,1294,8,4,280.00,216.38330757,0.006182
Olive & June,Faherty Brand,,,651,0,0,0.00,0.00000000,0.000000
Laura Geller,eyebobs,,,863,0,0,0.00,0.00000000,0.000000
AAVRANI,Lunya,150.00000000,75.00000000,365,0,0,0.00,0.00000000,0.000000
Beyond Polish,Dieux Skin,,,797,3,0,3.00,3.76411543,0.003764
Andie,Toad&Co,,,258,0,0,0.00,0.00000000,0.000000
ByHeart,Divi,,,136,1,1,50.00,367.64705882,0.007353
Bobbie,Once Upon a Farm,,,656,0,0,0.00,0.00000000,0.000000
SeaVees,Luca Faloni,,,219,0,0,0.00,0.00000000,0.000000
cbdMD,Dollar Shave Club,30.00000000,0.00000000,409,1,0,5.00,12.22493888,0.002445
Dollar Shave Club,Divi,,,158,0,0,0.00,0.00000000,0.000000
Sijo,Character Home,150.00000000,50.00000000,242,0,0,0.00,0.00000000,0.000000
Siete Foods,Primally Pure,,,773,2,2,20.00,25.87322122,0.002587
Snibbs,Hedley & Bennett,,,619,1,0,24.97,40.33925687,0.001616
Gathre,Dreamland Baby,,,204,1,1,40.00,196.07843137,0.004902
Once Upon a Farm,Saranoni Luxury Blankets,,,152,1,0,10.00,65.78947368,0.006579
Andie,Dieux Skin,,,681,3,0,3.00,4.40528634,0.004405
Create,LIVELY,,,178,0,0,0.00,0.00000000,0.000000
Sijo,Tula Skincare,,,127,0,0,0.00,0.00000000,0.000000
Billy Reid,Caden Lane,,,323,1,1,32.00,99.07120743,0.003096
Ellie & Becks,Caden Lane,,,228,1,1,32.00,140.35087719,0.004386
OUAI,Dagne Dover,,,769,1,1,30.00,39.01170351,0.001300
Andie,Common Era Jewelry,,,280,0,0,0.00,0.00000000,0.000000
Dagne Dover,Faherty Brand,,,2014,5,5,425.00,211.02284012,0.002483
Afloral,Tula Skincare,,,775,0,0,0.00,0.00000000,0.000000
Once Upon a Farm,Coterie,,,707,1,1,16.50,23.33804809,0.001414
Fable Home,Airsign,,,728,0,0,0.00,0.00000000,0.000000
Bobbie,NOMAD Grills,,,731,0,0,0.00,0.00000000,0.000000
