PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Agg_Rank,Clean_Agg_Rank
Laura Geller,Divi,5402,50.0,0.0,1,50.0,9.26,0.0002,39.29,1.0,1.0,1.0,3.0,2.0,1.0
Laura Geller,Dagne Dover,8356,30.0,20.0,6,120.0,14.36,0.0007,24.69,0.7513589611274494,4.0,1.0,1.0,2.5,2.0
Laura Geller,Caden Lane,169828,32.0,20.0,47,1288.0,7.58,0.0003,26.02,0.8495749019293491,2.0,1.0,4.0,3.0,3.0
Laura Geller,Tula Skincare,283109,50.0,0.0,51,1550.0,5.47,0.0002,25.86,0.8022404697371255,3.0,1.0,5.0,4.0,4.0
Laura Geller,Posh Peanut,1968,20.0,0.0,2,20.0,10.16,0.001,19.76,0.6014549025305485,6.0,1.0,2.0,4.0,5.0
Laura Geller,Bodily,286,,,0,0.0,0.0,0.0,20.46,0.6960135470263176,5.0,1.0,8.0,6.5,6.0
Laura Geller,Lunya,163822,150.0,75.0,20,225.0,1.37,0.0001,13.27,0.20306010490929405,8.0,1.0,7.0,7.5,7.0
Laura Geller,Newton Baby,9004,3.0,0.0,9,18.0,2.0,0.001,2.61,0.0017084082745076428,9.0,1.0,6.0,7.5,8.0
Laura Geller,HATCH,595,,,0,0.0,0.0,0.0,18.41,0.5486946458184078,7.0,1.0,9.0,8.0,9.0
Laura Geller,Yana Sleep,78,,,0,0.0,0.0,0.0,17.862578973758982,0.0,10.0,1.0,10.0,10.0,10.0
Laura Geller,NOMAD Grills,63713,,,0,0.0,0.0,0.0,150.0,0.0,11.0,1.0,11.0,11.0,11.0
Tubby Todd Bath Co.,Divi,3752,50.0,0.0,13,550.0,146.59,0.0035,39.29,1.0,1.0,2.0,2.0,1.5,1.0
Tubby Todd Bath Co.,Nanit,9162,50.0,25.0,42,1425.0,155.53,0.0046,36.3,0.9483018622151193,2.0,2.0,1.0,1.5,2.0
