"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","SESSION_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND"
"2024-02-19","first_day","65322","83194","234003","982",13779.61
"2024-02-19","subsequent_over_half_week","8349","22169","63244","182",1992.5
"2024-02-19","subsequent_under_half_week","9493","17535","48425","136",1644.5
"2024-02-20","first_day","59325","75471","199288","795",12213.07
"2024-02-20","subsequent_over_half_week","7516","20176","59046","146",1853
"2024-02-20","subsequent_under_half_week","6811","12873","36815","89",1104.74
"2024-02-21","first_day","45218","58671","155597","692",10008.67
"2024-02-21","subsequent_over_half_week","6532","17082","50951","137",1750
"2024-02-21","subsequent_under_half_week","5543","10304","29107","80",1043.5
"2024-02-22","first_day","44849","55545","150928","586",7520.01
"2024-02-22","subsequent_over_half_week","7035","19033","55842","136",1386.9
"2024-02-22","subsequent_under_half_week","4119","7413","20788","61",527
"2024-02-23","first_day","40879","48891","132618","568",8324.1
"2024-02-23","subsequent_over_half_week","6301","16942","49896","136",1480
"2024-02-23","subsequent_under_half_week","3126","5328","14989","35",467.01
"2024-02-24","first_day","39638","47265","130308","569",8595.97
"2024-02-24","subsequent_over_half_week","6281","17014","48980","118",1332
"2024-02-24","subsequent_under_half_week","3410","6100","17534","58",673
"2024-02-25","first_day","40010","47532","132098","549",7490.87
"2024-02-25","subsequent_over_half_week","6086","16057","47502","122",1450.07
"2024-02-25","subsequent_under_half_week","3488","6141","17362","49",466.11
"2024-02-26","first_day","42212","50301","139688","566",7891.28
"2024-02-26","subsequent_over_half_week","6155","15976","47356","107",1275.01
"2024-02-26","subsequent_under_half_week","3615","6802","19437","50",618
"2024-02-27","first_day","44769","53955","144091","540",7217.9
"2024-02-27","subsequent_over_half_week","5809","14651","42563","126",1614.5
"2024-02-27","subsequent_under_half_week","3788","6625","18082","51",789
"2024-02-28","first_day","46736","56121","146159","666",8471.61
"2024-02-28","subsequent_over_half_week","6027","15253","44158","110",1427.98
"2024-02-28","subsequent_under_half_week","4211","7414","20006","61",848.08
"2024-02-29","first_day","50584","60850","161565","635",8811.32
"2024-02-29","subsequent_over_half_week","7154","18287","52095","131",1338.98
"2024-02-29","subsequent_under_half_week","4430","7706","21330","44",751
"2024-03-01","first_day","46792","57795","158520","623",9478.26
"2024-03-01","subsequent_over_half_week","7519","20615","58902","186",2436.6
