"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","LOAD_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND","LOAD_COUNT_7_DAY_AVG","CONV_COUNT_7_DAY_AVG","AD_SPEND_7_DAY_AVG"
"2024-02-01","first_day","47139","60827","158347","246",5256.52,60827,246,5256.52
"2024-02-02","first_day","42777","54570","146819","252",5012.19,57698.5,249,5134.355
"2024-02-03","first_day","43813","54831","147506","211",4858.72,56742.666,236.333,5042.47666
"2024-02-04","first_day","44573","56410","155643","248",5151.33,56659.5,239.25,5069.69
"2024-02-05","first_day","47575","61889","166181","258",5588.44,57705.4,243,5173.44
"2024-02-06","first_day","48555","63750","170338","256",5636.32,58712.833,245.166,5250.58666
"2024-02-07","first_day","44526","57948","157989","265",5913.57,58603.571,248,5345.29857
"2024-02-08","first_day","53069","70053","179674","257",4740.31,59921.571,249.571,5271.55428
"2024-02-09","first_day","50104","67310","196194","256",5251.43,61741.571,250.142,5305.73142
"2024-02-10","first_day","49039","65406","206214","298",6131.51,63252.285,262.571,5487.55857
"2024-02-11","first_day","49379","63898","187292","310",6047.87,64322,271.428,5615.63571
"2024-02-12","first_day","49791","66342","198241","293",5164.14,64958.142,276.428,5555.02142
"2024-02-13","first_day","52065","68582","199615","316",5735.25,65648.428,285,5569.15428
"2024-02-14","first_day","52671","68784","195302","326",6002.07,67196.428,293.714,5581.79714
"2024-02-15","first_day","52087","67347","192565","307",5914.39,66809.857,300.857,5749.52285
"2024-02-16","first_day","60738","77916","216605","376",6565.68,68325,318,5937.27285
"2024-02-17","first_day","60341","75587","214007","393",6790.97,69779.428,331.571,6031.48142
"2024-02-18","first_day","60145","75535","214480","408",7358.85,71441.857,345.571,6218.76428
"2024-02-19","first_day","65322","83194","234003","433",8273.35,73849.285,365.571,6662.93714
"2024-02-20","first_day","59325","75471","199288","377",7301.97,74833.428,374.285,6886.75428
"2024-02-21","first_day","45218","58671","155597","363",6071.9,73388.714,379.571,6896.73
"2024-02-22","first_day","44849","55545","150928","342",5071.31,71702.714,384.571,6776.29
"2024-02-23","first_day","40879","48891","132618","314",4887.46,67556.285,375.714,6536.54428
"2024-02-24","first_day","39638","47265","130308","324",5248.9,63510.285,365.857,6316.24857
"2024-02-25","first_day","40010","47532","132098","305",4741.77,59509.857,351.142,5942.38
"2024-02-26","first_day","42212","50301","139688","307",4868.78,54810.857,333.142,5456.01285
"2024-02-27","first_day","44769","53955","144091","300",4425.79,51737.142,322.142,5045.13
"2024-02-28","first_day","46736","56121","146159","314",4015.61,51372.857,315.142,4751.37428
"2024-02-29","first_day","50584","60850","161565","330",4835.35,52130.714,313.428,4717.66571
"2024-03-01","first_day","46792","57795","158520","285",4434.09,53402.714,309.285,4652.89857
"2024-03-02","first_day","56007","67831","184056","298",4586.21,56340.714,305.571,4558.22857
"2024-03-03","first_day","46853","56646","154334","299",5098.91,57642.714,304.714,4609.24857
"2024-03-04","first_day","46377","56990","155609","260",4134.35,58598.285,298,4504.33
"2024-03-05","first_day","45564","56307","153841","283",4435.19,58934.285,295.571,4505.67285
"2024-03-06","first_day","47569","58856","162075","356",5732.03,59325,301.571,4750.87571
"2024-03-07","first_day","49373","60849","160552","305",5279.03,59324.857,298,4814.25857
"2024-03-08","first_day","46116","57205","141926","303",4715.32,59240.571,300.571,4854.43428
"2024-03-09","first_day","47553","58019","143860","352",5655.05,57838.857,308.285,5007.12571
"2024-03-10","first_day","43983","53803","133362","317",4746.85,57432.714,310.857,4956.83142
"2024-03-11","first_day","41884","51927","130611","302",4977.23,56709.428,316.857,5077.24285
"2024-03-12","first_day","40357","49724","121902","319",5068.84,55769,322,5167.76428
"2024-03-13","first_day","47383","57588","139367","374",6431.86,55587.857,324.571,5267.74
"2024-03-14","first_day","49983","61137","144167","358",5770.71,55629,332.142,5337.98
"2024-03-15","first_day","50695","62024","148521","314",5488.71,56317.428,333.714,5448.46428
"2024-03-16","first_day","45624","55615","136354","321",5225.78,55974,329.285,5387.14
"2024-03-17","first_day","46062","56178","135132","341",5367.93,56313.285,332.714,5475.86571
"2024-03-18","first_day","46509","56765","139847","322",4711.44,57004.428,335.571,5437.89571
"2024-03-19","first_day","43066","52679","129754","268",5044.13,57426.571,328.285,5434.36571
"2024-03-20","first_day","43483","53534","130637","252",4638.21,56847.428,310.857,5178.13
"2024-03-21","first_day","47985","60687","145532","258",4543.71,56783.142,296.571,5002.84428
"2024-03-22","first_day","48784","62378","153442","275",5097.65,56833.714,291,4946.97857
"2024-03-23","first_day","48870","61383","150247","282",4515.39,57657.714,285.428,4845.49428
"2024-03-24","first_day","45975","57548","140070","259",4474.91,57853.428,273.714,4717.92
"2024-03-25","first_day","45850","58343","143129","271",4013.27,58078.857,266.428,4618.18142
"2024-03-26","first_day","46321","58628","139900","327",4577.67,58928.714,274.857,4551.54428
"2024-03-27","first_day","43763","55906","138690","276",4179.83,59267.571,278.285,4486.06142
"2024-03-28","first_day","46859","59238","144100","295",4910.67,59060.571,283.571,4538.48428
"2024-03-29","first_day","44297","55860","137778","230",3747.73,58129.428,277.142,4345.63857
"2024-03-30","first_day","40285","49908","123021","220",3399.19,56490.142,268.285,4186.18142
"2024-03-31","first_day","37964","47240","117230","197",3311.43,55017.571,259.428,4019.97
