"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","LOAD_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND","LOAD_COUNT_7_DAY_AVG","CONV_COUNT_7_DAY_AVG","AD_SPEND_7_DAY_AVG"
"2024-01-18","first_day","51970","66305","181649","630",10261.77,66305,630,10261.77
"2024-01-19","first_day","53348","66852","186342","682",12594.5,66578.5,656,11428.135
"2024-01-20","first_day","50995","63862","179361","681",14224.54,65673,664.333,12360.27
"2024-01-21","first_day","50508","64046","178079","643",11421.87,65266.25,659,12125.67
"2024-01-22","first_day","57597","72841","199266","769",14421.26,66781.2,681,12584.788
"2024-01-23","first_day","46828","59847","162664","562",11141.9,65625.5,661.166,12344.30666
"2024-01-24","first_day","37883","47444","129601","459",9459.47,63028.142,632.285,11932.18714
"2024-01-25","first_day","34369","41858","110362","393",6796.89,59535.714,598.428,11437.20428
"2024-01-26","first_day","41541","52010","140455","487",9046.93,57415.428,570.571,10930.40857
"2024-01-27","first_day","45869","57708","156099","578",10411.17,56536.285,555.857,10385.64142
"2024-01-28","first_day","46737","59321","161487","569",12043.18,55861.285,545.285,10474.4
"2024-01-29","first_day","47176","60386","162669","560",11517.38,54082,515.428,10059.56
"2024-01-30","first_day","47871","61694","164567","550",11240.98,54345.857,513.714,10073.71428
"2024-01-31","first_day","49810","63726","169436","603",12471.59,56671.857,534.285,10504.01714
"2024-02-01","first_day","47139","60827","158347","571",11590.2,59381.714,559.714,11188.77571
"2024-02-02","first_day","42777","54570","146819","620",11428.42,59747.428,578.714,11528.98857
"2024-02-03","first_day","43813","54831","147506","681",14022.44,59336.428,593.428,12044.88428
"2024-02-04","first_day","44573","56410","155643","587",10572.41,58920.571,596,11834.77428
"2024-02-05","first_day","47575","61889","166181","602",10864.98,59135.285,602,11741.57428
"2024-02-06","first_day","48555","63750","170338","684",12823.24,59429,621.142,11967.61142
"2024-02-07","first_day","44526","57948","157989","632",12099.52,58603.571,625.285,11914.45857
"2024-02-08","first_day","53069","70053","179674","688",11475.08,59921.571,642,11898.01285
"2024-02-09","first_day","50104","67310","196194","655",11187.43,61741.571,647,11863.58571
"2024-02-10","first_day","49039","65406","206214","825",13678.01,63252.285,667.571,11814.38142
"2024-02-11","first_day","49379","63898","187292","672",10900.83,64322,679.714,11861.29857
"2024-02-12","first_day","49791","66342","198241","720",10222.99,64958.142,696.571,11769.58571
"2024-02-13","first_day","52065","68582","199615","819",12276.9,65648.428,715.857,11691.53714
"2024-02-14","first_day","52671","68784","195302","762",10986.36,67196.428,734.428,11532.51428
"2024-02-15","first_day","52087","67347","192565","690",10357.73,66809.857,734.714,11372.89285
