event_date,rpl_actual_pct_change,rpl_lr_pred_model_pct_change,rpl_rf_pred_model_pct_change,rpl_xg_pred_model_pct_change,ad_spend_actual_pct_change,ad_spend_lr_pred_model_pct_change,ad_spend_rf_pred_model_pct_change
2024-03-01,0.0,-0.024,-0.022,-0.0010000000474974513,,,
2024-03-02,-0.059,0.15,,0.014999999664723873,-0.012,0.123,0.021
2024-03-03,,,,,0.046,-0.135,-0.027
2024-03-04,,,,,-0.087,0.044,0.002
2024-03-05,,,,,0.084,,-0.002
2024-03-07,-0.048,0.046,,,-0.072,0.017,0.007
2024-03-08,,,,,-0.019,0.035,
2024-03-09,,,,,0.022,,-0.0
2024-03-10,0.0,-0.01,0.01,0.03400000184774399,,,
2024-03-12,0.0,0.106,-0.006,0.03099999949336052,,,
2024-03-13,0.182,-0.068,,,0.212,-0.024,
2024-03-15,0.0,0.046,0.002,0.04699999839067459,-0.037,0.024,0.019
2024-03-17,-0.04,0.052,,0.024000000208616257,,,
2024-03-19,,,,,0.024,,-0.018
2024-03-20,0.0,0.04,0.013,0.003000000026077032,-0.041,0.01,0.002
2024-03-21,,,,,0.123,-0.089,
2024-03-23,-0.077,,,0.0020000000949949026,,,
2024-03-26,,,,,0.064,,-0.004
2024-03-27,-0.042,0.031,,0.014000000432133675,,,
2024-03-30,0.0,-0.018,0.053,0.004999999888241291,,,
2024-03-31,,,,,-0.011,0.021,
2024-04-03,,,,,-0.017,0.027,
2024-04-07,0.0,-0.06,-0.019,-0.024000000208616257,,,
2024-04-08,,,,,-0.014,,0.025
2024-04-10,0.036,,-0.002,,,,
2024-04-12,,,,,0.024,-0.008,-0.011
2024-04-18,-0.222,0.012,,,-0.188,0.063,0.001
2024-04-19,0.095,,-0.021,-0.024000000208616257,,,
2024-04-21,,,,,0.024,-0.006,-0.031
2024-04-23,-0.167,,0.05,0.05700000002980232,,,
2024-04-24,0.28,,-0.074,-0.09099999815225601,,,
2024-04-25,0.0,0.146,0.103,0.029999999329447746,-0.023,0.128,0.01
2024-04-26,0.0,-0.089,-0.048,-0.0020000000949949026,,,
2024-04-27,0.0,-0.087,0.044,0.10400000214576721,,,
2024-04-28,0.031,,-0.017,-0.01600000075995922,-0.055,,0.013
