event_date,rpl_actual_pct_change,rpl_lr_pred_model_pct_change,rpl_rf_pred_model_pct_change,rpl_xg_pred_model_pct_change,ad_spend_actual_pct_change,ad_spend_lr_pred_model_pct_change,ad_spend_rf_pred_model_pct_change
2024-03-02,0.0,0.19,0.026,0.01899999938905239,-0.004,0.126,0.018
2024-03-03,,,,,0.042,-0.145,-0.028
2024-03-04,,,,,-0.087,0.068,0.004
2024-03-05,0.067,-0.003,,,,,
2024-03-07,-0.048,0.056,0.007,,-0.067,0.023,
2024-03-08,,,,,-0.024,0.042,
2024-03-09,,,,,0.021,-0.016,-0.015
2024-03-10,0.0,-0.005,0.013,0.041999999433755875,,,
2024-03-12,0.0,0.135,0.007,0.052000001072883606,,,
2024-03-13,0.182,-0.068,,,0.218,-0.014,
2024-03-15,0.0,0.037,0.006,0.03099999949336052,-0.028,0.023,0.029
2024-03-17,-0.04,0.051,,0.019999999552965164,,,
2024-03-19,,,,,0.05,,-0.014
2024-03-20,-0.048,0.047,,0.006000000052154064,-0.064,0.031,0.008
2024-03-21,0.2,-0.011,,,0.126,-0.113,-0.01
2024-03-26,,,,,0.08,,-0.012
2024-03-27,-0.042,0.037,,0.017999999225139618,,,
2024-03-30,0.0,-0.006,0.024,0.009999999776482582,,,
2024-03-31,,,,,-0.003,0.02,
2024-04-02,,,,,-0.016,,0.007
2024-04-07,0.0,-0.067,-0.004,-0.03500000014901161,,,
2024-04-08,,,,,-0.019,,0.02
2024-04-12,,,,,0.027,,-0.004
2024-04-16,,,,,-0.023,0.03,0.014
2024-04-18,,,,,-0.207,0.008,
2024-04-19,0.095,,,-0.003000000026077032,,,
2024-04-20,,,,,0.007,-0.04,-0.042
2024-04-21,,,,,0.022,-0.006,-0.033
2024-04-23,-0.167,,0.017,0.024000000208616257,,,
2024-04-24,0.28,,-0.055,-0.028999999165534973,,,
2024-04-25,0.0,0.128,0.084,0.0,-0.023,0.102,
2024-04-26,0.0,-0.071,-0.067,-0.06300000101327896,,,
2024-04-27,0.0,-0.072,0.057,0.1379999965429306,,,
2024-04-28,0.031,,-0.016,-0.013000000268220901,-0.045,0.011,0.014
2024-04-29,,,,,0.084,-0.111,
2024-04-30,-0.032,0.052,,,-0.048,0.004,
2024-05-01,-0.033,,0.036,0.04899999871850014,,,
