event_date,rpl_actual_pct_change,rpl_lr_pred_model_pct_change,rpl_rf_pred_model_pct_change,rpl_xg_pred_model_pct_change,ad_spend_actual_pct_change,ad_spend_lr_pred_model_pct_change,ad_spend_rf_pred_model_pct_change
2024-03-01,0.0,-0.025,-0.018,-0.0010000000474974513,,,
2024-03-02,-0.059,0.16,,0.00800000037997961,-0.012,0.128,0.018
2024-03-03,,,,,0.044,-0.135,-0.023
2024-03-04,,,,,-0.089,0.052,0.001
2024-03-05,,,,,0.097,,-0.001
2024-03-07,-0.095,0.037,,,-0.072,0.017,0.006
2024-03-08,,,,,-0.018,0.018,
2024-03-10,0.0,0.004,0.014,0.03500000014901161,,,
2024-03-12,0.0,0.089,0.011,0.04100000113248825,,,
2024-03-13,0.182,-0.053,,,0.217,-0.008,
2024-03-15,0.0,0.049,0.006,0.03400000184774399,-0.039,0.023,0.013
2024-03-16,0.136,-0.004,,,,,
2024-03-17,-0.04,0.061,,0.02199999988079071,,,
2024-03-19,,,,,0.048,,-0.014
2024-03-20,-0.048,0.025,,,-0.069,0.005,
2024-03-21,0.2,-0.0,,,0.131,-0.091,
2024-03-23,-0.077,0.008,,0.0,,,
2024-03-26,0.043,-0.009,,,0.082,,-0.006
2024-03-27,-0.042,0.037,0.011,0.01600000075995922,,,
2024-03-30,0.0,-0.013,0.03,0.0,,,
2024-03-31,,,,,-0.004,0.022,
2024-04-02,,,,,-0.01,,0.001
2024-04-03,,,,,-0.023,0.027,
2024-04-07,0.0,-0.048,0.008,-0.032999999821186066,,,
2024-04-08,,,,,-0.013,,0.024
2024-04-10,0.036,,-0.018,,,,
2024-04-12,,,,,0.027,-0.0,-0.013
2024-04-13,0.0,0.028,0.003,0.013000000268220901,,,
2024-04-16,-0.048,,0.041,0.032999999821186066,-0.024,0.007,0.001
2024-04-18,-0.222,0.013,,,-0.19,0.057,
2024-04-21,,,,,0.029,-0.017,-0.029
2024-04-23,-0.167,,0.033,0.04800000041723251,,,
2024-04-24,0.28,,-0.056,-0.08900000154972076,,,
2024-04-25,0.0,0.14,0.067,0.03099999949336052,-0.023,0.121,0.006
2024-04-26,0.0,-0.05,-0.029,0.027000000700354576,-0.044,,0.004
2024-04-27,0.0,-0.071,0.028,0.06300000101327896,,,
