CL_ORDER_NUM,ORDER_DATE,DISPLAY_TIME,TIME_DELTA_DAYS,SHOPIFY_ORDER_ID,DVCE_CREATED_TSTAMP,PUBLISHER_NAME
2388016,2024-01-25T21:04:25Z,2024-01-24T23:04:37Z,1,5183018762300,2024-01-24T23:04:37.494Z,Tula Skincare
2388016,2024-01-25T21:04:25Z,2024-01-24T23:04:37Z,1,5183018762300,2024-01-24T23:04:37.496Z,Tula Skincare
2388016,2024-01-25T21:04:25Z,2024-01-24T23:04:37Z,1,5183018762300,2024-01-24T23:04:37.498Z,Tula Skincare
2388016,2024-01-25T21:04:25Z,2024-01-24T23:04:37Z,1,5183018762300,2024-01-24T23:04:37.499Z,Tula Skincare
2388016,2024-01-25T21:04:25Z,2024-01-24T23:04:37Z,1,5183018762300,2024-01-24T23:04:37.501Z,Tula Skincare
2352731,2024-01-08T20:28:06Z,2024-01-02T02:39:30Z,6,5164504612924,2024-01-02T02:39:30.58Z,Baby Delight
2352731,2024-01-08T20:28:06Z,2024-01-02T02:39:30Z,6,5164504612924,2024-01-02T02:39:30.581Z,Baby Delight
2352731,2024-01-08T20:28:06Z,2024-01-02T02:39:30Z,6,5164504612924,2024-01-02T02:39:30.582Z,Baby Delight
2352731,2024-01-08T20:28:06Z,2024-01-02T02:39:30Z,6,5164504612924,2024-01-02T02:39:30.583Z,Baby Delight
2352731,2024-01-08T20:28:06Z,2024-01-02T02:39:30Z,6,5164504612924,2024-01-02T02:39:30.584Z,Baby Delight
