ORDER_ID,ORDER_IDENTITY_ID,ORDER_PUBLISHER_UUID,ORDER_BRAND_ID,ORDER_BRAND_NAME,ORDER_CREATED_AT,ORDER_COST,REMOTE_ORDER_ID,ORDER_NAME,LAST_ORDER_CREATED_AT,EVENT_ID,EVENT_IDENTITY_ID,EVENT_PUBLISHER_UUID,EVENT_BRAND_ID,EVENT_BRAND_NAME,EVENT_CREATED_AT,EVENT_CLASSIFICATION,HASH_IDENTIFIER,ATTRIBUTION_METHOD,CONVERSION_TYPE,CUSTOMER_TYPE,DAYS_TO_ATTRIBUTION,TARGET_CPA,TARGET_CPO,CONVERSION_WINDOW,START_DATE,END_DATE,MAX_BUDGET,SCHEDULETRACKER_REMOTE_ID,CREATED_AT,UPDATED_AT,BILLABLE_AMOUNT
5169133977660,4728470,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-12T05:29:03Z,136.69,5169133977660,2358916,2023-11-24T16:41:14Z,e8df9436-aad6-4673-bf4e-9ffbd2526293,8275412,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2024-01-11T21:57:43.611Z,display,268cf5e14b3a54ac689c0e2ff8a494b9,order_mapping_hash,cross-sell,returning,1,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5172705165372,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-15T17:38:20Z,390.59,5172705165372,2366466,,9f44888a-1cd0-4125-a45e-3f5c42c9b9c1,9790491,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2024-01-11T22:36:30.837Z,display,JauCVXft1g+MqSPTzosdvw==,direct_email_match,cross-sell,new,4,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5160514879548,9624158,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-05T21:57:03Z,178.83,5160514879548,2346815,2023-11-29T06:54:07Z,f7bcdcc5-8117-4fb5-9c77-88a0cfb9489f,7814749,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2024-01-02T22:55:23.754Z,display,c9dc42eed7f89fad67a06bc30b8f6513,order_mapping_hash,cross-sell,returning,3,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5164876005436,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-09T03:21:00Z,119.84,5164876005436,2353451,2023-08-23T00:18:46Z,b8c4c98f-84ff-4273-b25d-c5f9d15630fc,8249960,b6f8dbb2-3e80-4126-8a68-fc2f8130b526,4313,Dagne Dover,2024-01-02T23:09:36.926Z,display,gTgTap41AUvU/pXrUWBAHwFl/Pt3fcXJjDqGklzkgOY=,direct_email_match,cross-sell,returning,7,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5161665691708,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-06T17:24:11Z,115.60,5161665691708,2348233,2023-02-05T16:02:22Z,8ac54eac-d111-4141-9763-8e16c9651ea8,9377940,11631591-f491-4419-ac5f-d4740d697c9d,3016,Newton Baby,2024-01-02T23:36:14.849Z,display,bLM2oXaD1/Y+IhKy27kzahWf6QsByFgW2x4CLRqibbI=,direct_email_match,cross-sell,returning,4,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5165492731964,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-09T14:21:55Z,159.87,5165492731964,2353801,,c8ae334f-ee6f-4a3f-a253-3594b174c174,4286119,31bd54f0-7ea3-4758-acf4-2607ef05b846,2172,HATCH,2024-01-02T23:44:59.172Z,display,mMeEATg8o5BLjNIUPK6ehABy+9suHIrt1bOVI1c9WGY=,direct_email_match,cross-sell,new,7,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5174283731004,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-17T05:34:11Z,46.82,5174283731004,2370138,2023-08-26T04:48:23Z,ca7ec948-bc6d-4d60-8345-682036fb9a1e,238175,f23aa483-32e3-4400-9562-973c7494c184,4206,iloveplum,2024-01-15T00:18:27.66Z,click,9Wg4s6Xy8rYEXK60nRZD71oWcYbDYo0PbSvZoOy9dYs=,direct_email_match,cross-sell,returning,2,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5172061339708,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-15T01:32:32Z,74.65,5172061339708,2365366,2023-11-25T21:26:13Z,6d81ea4f-64e4-49b2-96b7-cf021130fbc2,,745c7940-9775-487e-b7ad-19206a05a6c0,3880,Bodily,2024-01-15T01:02:37.133Z,display,f0b2a51c640df83be8820d8620c401d6,device_identifier_hash,cross-sell,returning,0,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5173942943804,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-16T21:43:27Z,95.30,5173942943804,2369258,2023-10-08T00:14:09Z,7701fa72-8fc6-4451-8226-487bb9de7814,1123589,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2024-01-15T16:57:11.763Z,display,VQIzrUCAhSC8qfGDMS1wZnSb1HCFup1iFENV3Soch4o=,direct_email_match,cross-sell,returning,1,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5178739130428,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-21T18:23:36Z,187.71,5178739130428,2379464,2023-12-28T14:04:14Z,23b44358-ea61-498b-a2cd-3f588622d162,4164042,b6f8dbb2-3e80-4126-8a68-fc2f8130b526,4313,Dagne Dover,2024-01-15T17:43:20.874Z,display,omnxt3JlsNIA1mGHit9KMyIOyKuts7v7AK84fc7rbR8=,direct_email_match,cross-sell,returning,6,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
