event_time,order_time,EVENT_CLASSIFICATION,CONVERSION_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,DAYS_TO_ATTRIBUTION,BILLABLE_AMOUNT,event_date,order_date,event_hour,order_hour,event_minute,order_minute,event_second,order_second
2024-01-16 15:05:37.524000+00:00,2024-01-22 18:44:30+00:00,click,cross-sell,new,direct_email_match,6,32.0,2024-01-16,2024-01-22,15,18,5,44,37,30
2024-01-16 15:11:54.379000+00:00,2024-01-16 16:29:47+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-16,2024-01-16,15,16,11,29,54,47
2024-01-16 15:18:38.502000+00:00,2024-01-23 02:57:04+00:00,display,cross-sell,returning,direct_email_match,7,20.0,2024-01-16,2024-01-23,15,2,18,57,38,4
2024-01-16 15:20:19.155000+00:00,2024-01-17 12:51:47+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-16,2024-01-17,15,12,20,51,19,47
2024-01-16 15:22:03.837000+00:00,2024-01-16 17:53:54+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-16,2024-01-16,15,17,22,53,3,54
2023-12-27 02:17:41.679000+00:00,2024-01-01 03:55:05+00:00,display,cross-sell,new,order_mapping_hash,5,32.0,2023-12-27,2024-01-01,2,3,17,55,41,5
2024-01-17 20:47:19.179000+00:00,2024-01-17 20:52:35+00:00,display,cross-sell,returning,direct_email_match,0,20.0,2024-01-17,2024-01-17,20,20,47,52,19,35
2024-01-17 21:20:38.673000+00:00,2024-01-19 13:32:53+00:00,display,cross-sell,returning,order_mapping_hash,2,20.0,2024-01-17,2024-01-19,21,13,20,32,38,53
2024-01-17 21:44:51.222000+00:00,2024-01-20 18:20:14+00:00,display,cross-sell,new,direct_email_match,3,32.0,2024-01-17,2024-01-20,21,18,44,20,51,14
2023-12-28 08:51:54.365000+00:00,2024-01-01 03:34:47+00:00,display,cross-sell,returning,order_mapping_hash,4,20.0,2023-12-28,2024-01-01,8,3,51,34,54,47
2023-12-28 10:31:47.665000+00:00,2024-01-01 17:04:40+00:00,display,cross-sell,new,direct_email_match,4,32.0,2023-12-28,2024-01-01,10,17,31,4,47,40
2023-12-28 10:56:30.725000+00:00,2024-01-02 03:02:34+00:00,display,cross-sell,returning,consumer_hash,5,20.0,2023-12-28,2024-01-02,10,3,56,2,30,34
2023-12-28 14:20:49.781000+00:00,2024-01-01 16:54:55+00:00,display,cross-sell,returning,consumer_hash,4,20.0,2023-12-28,2024-01-01,14,16,20,54,49,55
2023-12-28 14:44:52.442000+00:00,2024-01-04 13:40:34+00:00,display,cross-sell,returning,order_mapping_hash,7,20.0,2023-12-28,2024-01-04,14,13,44,40,52,34
2023-12-28 14:56:17.612000+00:00,2024-01-03 15:16:28+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2023-12-28,2024-01-03,14,15,56,16,17,28
2023-12-28 15:08:32.004000+00:00,2024-01-01 01:41:52+00:00,display,cross-sell,returning,consumer_hash,4,20.0,2023-12-28,2024-01-01,15,1,8,41,32,52
2023-12-28 15:10:20.078000+00:00,2024-01-02 02:47:45+00:00,display,cross-sell,new,consumer_hash,5,32.0,2023-12-28,2024-01-02,15,2,10,47,20,45
2024-01-03 08:07:48.760000+00:00,2024-01-06 01:00:30+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2024-01-03,2024-01-06,8,1,7,0,48,30
2024-01-03 11:13:47.997000+00:00,2024-01-04 18:11:37+00:00,display,cross-sell,new,order_mapping_hash,1,32.0,2024-01-03,2024-01-04,11,18,13,11,47,37
2024-01-03 11:26:28.779000+00:00,2024-01-04 13:56:59+00:00,display,cross-sell,new,consumer_hash,1,32.0,2024-01-03,2024-01-04,11,13,26,56,28,59
2024-01-18 20:24:45.363000+00:00,2024-01-22 21:27:17+00:00,display,cross-sell,new,direct_email_match,4,32.0,2024-01-18,2024-01-22,20,21,24,27,45,17
2024-01-18 20:27:14.206000+00:00,2024-01-21 16:40:08+00:00,display,cross-sell,new,direct_email_match,3,32.0,2024-01-18,2024-01-21,20,16,27,40,14,8
2024-01-18 20:40:46.192000+00:00,2024-01-21 20:02:02+00:00,display,cross-sell,returning,direct_email_match,3,20.0,2024-01-18,2024-01-21,20,20,40,2,46,2
2023-12-28 23:59:53.830000+00:00,2024-01-03 07:01:35+00:00,display,cross-sell,new,order_mapping_hash,6,32.0,2023-12-28,2024-01-03,23,7,59,1,53,35
2023-12-29 05:33:09.689000+00:00,2024-01-03 15:37:42+00:00,display,cross-sell,new,order_mapping_hash,5,32.0,2023-12-29,2024-01-03,5,15,33,37,9,42
2023-12-29 07:21:48.780000+00:00,2024-01-02 18:18:52+00:00,display,cross-sell,new,consumer_hash,4,32.0,2023-12-29,2024-01-02,7,18,21,18,48,52
2024-01-03 13:10:59.383000+00:00,2024-01-04 02:31:15+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,2024-01-03,2024-01-04,13,2,10,31,59,15
2024-01-19 17:57:03.373000+00:00,2024-01-19 18:04:20+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,2024-01-19,2024-01-19,17,18,57,4,3,20
2024-01-19 18:23:00.457000+00:00,2024-01-19 20:22:50+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-19,2024-01-19,18,20,23,22,0,50
2023-12-29 16:13:02.358000+00:00,2024-01-03 04:39:05+00:00,display,cross-sell,returning,direct_email_match,5,20.0,2023-12-29,2024-01-03,16,4,13,39,2,5
2023-12-29 16:13:02.358000+00:00,2024-01-03 17:27:40+00:00,display,cross-sell,returning,consumer_hash,5,20.0,2023-12-29,2024-01-03,16,17,13,27,2,40
2023-12-29 16:13:41.425000+00:00,2024-01-01 19:24:15+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2023-12-29,2024-01-01,16,19,13,24,41,15
2023-12-29 16:23:58.312000+00:00,2024-01-02 14:58:24+00:00,display,cross-sell,new,consumer_hash,4,32.0,2023-12-29,2024-01-02,16,14,23,58,58,24
2023-12-29 16:51:06.927000+00:00,2024-01-05 02:14:26+00:00,display,cross-sell,returning,consumer_hash,7,20.0,2023-12-29,2024-01-05,16,2,51,14,6,26
2023-12-29 16:56:32.286000+00:00,2024-01-01 04:05:32+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,2023-12-29,2024-01-01,16,4,56,5,32,32
2023-12-29 16:57:50.954000+00:00,2024-01-04 02:54:46+00:00,display,cross-sell,returning,consumer_hash,6,20.0,2023-12-29,2024-01-04,16,2,57,54,50,46
2024-01-20 00:10:05.458000+00:00,2024-01-20 18:23:21+00:00,display,cross-sell,lapsed,direct_email_match,0,32.0,2024-01-20,2024-01-20,0,18,10,23,5,21
2024-01-20 16:32:32.124000+00:00,2024-01-26 01:33:37+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-20,2024-01-26,16,1,32,33,32,37
2024-01-20 16:33:42.661000+00:00,2024-01-22 16:05:32+00:00,display,cross-sell,new,direct_email_match,2,32.0,2024-01-20,2024-01-22,16,16,33,5,42,32
2024-01-20 16:40:31.818000+00:00,2024-01-23 03:24:05+00:00,display,cross-sell,returning,direct_email_match,3,20.0,2024-01-20,2024-01-23,16,3,40,24,31,5
2024-01-20 16:44:04.318000+00:00,2024-01-20 18:26:32+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,2024-01-20,2024-01-20,16,18,44,26,4,32
2024-01-20 17:20:33.960000+00:00,2024-01-27 23:08:57+00:00,display,cross-sell,returning,direct_email_match,7,20.0,2024-01-20,2024-01-27,17,23,20,8,33,57
2024-01-20 17:26:42.619000+00:00,2024-01-27 14:02:20+00:00,display,cross-sell,returning,direct_email_match,7,20.0,2024-01-20,2024-01-27,17,14,26,2,42,20
2024-01-20 17:28:07.421000+00:00,2024-01-21 23:00:05+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2024-01-20,2024-01-21,17,23,28,0,7,5
2024-01-20 17:44:59.688000+00:00,2024-01-26 13:52:14+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-20,2024-01-26,17,13,44,52,59,14
2023-12-30 13:52:36.801000+00:00,2024-01-02 19:58:11+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2023-12-30,2024-01-02,13,19,52,58,36,11
2023-12-30 14:39:31.464000+00:00,2024-01-06 03:24:27+00:00,display,cross-sell,new,direct_email_match,7,32.0,2023-12-30,2024-01-06,14,3,39,24,31,27
2024-01-03 16:00:12.980000+00:00,2024-01-08 03:14:32+00:00,display,cross-sell,new,order_mapping_hash,5,32.0,2024-01-03,2024-01-08,16,3,0,14,12,32
2024-01-03 16:19:03.987000+00:00,2024-01-09 19:43:07+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-03,2024-01-09,16,19,19,43,3,7
2024-01-03 16:19:32.333000+00:00,2024-01-06 16:52:57+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2024-01-03,2024-01-06,16,16,19,52,32,57
2024-01-21 14:44:18.811000+00:00,2024-01-24 02:05:35+00:00,display,cross-sell,returning,direct_email_match,3,20.0,2024-01-21,2024-01-24,14,2,44,5,18,35
2024-01-21 15:46:10.892000+00:00,2024-01-21 15:47:54+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,2024-01-21,2024-01-21,15,15,46,47,10,54
2023-12-31 16:19:36.640000+00:00,2024-01-07 00:54:21+00:00,display,cross-sell,returning,order_mapping_hash,7,20.0,2023-12-31,2024-01-07,16,0,19,54,36,21
2023-12-31 16:20:54.290000+00:00,2024-01-01 04:12:02+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,2023-12-31,2024-01-01,16,4,20,12,54,2
2023-12-31 16:29:56.355000+00:00,2024-01-06 21:46:15+00:00,display,cross-sell,new,order_mapping_hash,6,32.0,2023-12-31,2024-01-06,16,21,29,46,56,15
2023-12-31 16:41:33.512000+00:00,2024-01-03 15:38:34+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2023-12-31,2024-01-03,16,15,41,38,33,34
2023-12-31 17:06:16.453000+00:00,2024-01-06 19:19:04+00:00,display,cross-sell,new,direct_email_match,6,32.0,2023-12-31,2024-01-06,17,19,6,19,16,4
2023-12-31 17:06:16.453000+00:00,2024-01-06 19:24:12+00:00,display,cross-sell,returning,consumer_hash,6,20.0,2023-12-31,2024-01-06,17,19,6,24,16,12
2023-12-31 17:22:12.012000+00:00,2024-01-07 14:08:05+00:00,display,cross-sell,returning,order_mapping_hash,7,20.0,2023-12-31,2024-01-07,17,14,22,8,12,5
2023-12-31 17:37:22.694000+00:00,2024-01-04 04:11:22+00:00,display,cross-sell,returning,order_mapping_hash,4,20.0,2023-12-31,2024-01-04,17,4,37,11,22,22
2023-12-31 17:48:51.713000+00:00,2024-01-01 19:22:19+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,2023-12-31,2024-01-01,17,19,48,22,51,19
2023-12-31 18:09:49.069000+00:00,2024-01-03 02:58:24+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2023-12-31,2024-01-03,18,2,9,58,49,24
2023-12-31 18:12:51.429000+00:00,2024-01-01 15:56:55+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2023-12-31,2024-01-01,18,15,12,56,51,55
2023-12-31 18:34:51.007000+00:00,2024-01-01 14:17:50+00:00,display,cross-sell,new,direct_email_match,1,32.0,2023-12-31,2024-01-01,18,14,34,17,51,50
2024-01-03 17:27:32.713000+00:00,2024-01-06 14:12:21+00:00,display,cross-sell,new,consumer_hash,3,32.0,2024-01-03,2024-01-06,17,14,27,12,32,21
2024-01-03 17:31:37.760000+00:00,2024-01-07 23:42:54+00:00,display,cross-sell,returning,consumer_hash,4,20.0,2024-01-03,2024-01-07,17,23,31,42,37,54
2024-01-03 17:43:37.479000+00:00,2024-01-09 21:52:32+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-03,2024-01-09,17,21,43,52,37,32
2024-01-03 17:45:49.009000+00:00,2024-01-04 21:54:44+00:00,display,cross-sell,new,order_mapping_hash,1,32.0,2024-01-03,2024-01-04,17,21,45,54,49,44
2024-01-03 17:48:56.334000+00:00,2024-01-04 12:33:03+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-03,2024-01-04,17,12,48,33,56,3
2024-01-03 17:53:41.684000+00:00,2024-01-04 02:28:38+00:00,display,cross-sell,new,direct_email_match,1,32.0,2024-01-03,2024-01-04,17,2,53,28,41,38
2024-01-03 18:03:51.163000+00:00,2024-01-08 02:11:44+00:00,display,cross-sell,returning,order_mapping_hash,5,20.0,2024-01-03,2024-01-08,18,2,3,11,51,44
2024-01-22 14:07:46.829000+00:00,2024-01-23 17:14:25+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2024-01-22,2024-01-23,14,17,7,14,46,25
2024-01-22 14:17:18.062000+00:00,2024-01-25 22:37:27+00:00,display,cross-sell,returning,direct_email_match,3,20.0,2024-01-22,2024-01-25,14,22,17,37,18,27
2024-01-22 14:33:35.266000+00:00,2024-01-29 23:14:20+00:00,display,cross-sell,new,consumer_hash,7,32.0,2024-01-22,2024-01-29,14,23,33,14,35,20
2024-01-22 15:35:08.245000+00:00,2024-01-27 16:14:20+00:00,display,cross-sell,returning,direct_email_match,5,20.0,2024-01-22,2024-01-27,15,16,35,14,8,20
2023-12-31 23:51:03.978000+00:00,2024-01-05 23:29:52+00:00,display,cross-sell,returning,consumer_hash,5,20.0,2023-12-31,2024-01-05,23,23,51,29,3,52
2024-01-01 00:13:12.451000+00:00,2024-01-03 17:21:03+00:00,display,cross-sell,returning,order_mapping_hash,2,20.0,2024-01-01,2024-01-03,0,17,13,21,12,3
2024-01-01 01:22:22.783000+00:00,2024-01-02 19:16:34+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-01,2024-01-02,1,19,22,16,22,34
2024-01-22 20:45:40.359000+00:00,2024-01-23 03:11:53+00:00,display,cross-sell,new,direct_email_match,1,32.0,2024-01-22,2024-01-23,20,3,45,11,40,53
2024-01-22 20:45:49.937000+00:00,2024-01-22 22:30:05+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-22,2024-01-22,20,22,45,30,49,5
2024-01-22 21:07:04.052000+00:00,2024-01-27 17:00:11+00:00,display,cross-sell,returning,direct_email_match,5,20.0,2024-01-22,2024-01-27,21,17,7,0,4,11
2024-01-22 21:11:20.668000+00:00,2024-01-29 18:57:04+00:00,display,cross-sell,returning,direct_email_match,7,20.0,2024-01-22,2024-01-29,21,18,11,57,20,4
2024-01-22 21:16:33.513000+00:00,2024-01-22 22:38:14+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-22,2024-01-22,21,22,16,38,33,14
2024-01-22 21:49:42.114000+00:00,2024-01-22 22:50:38+00:00,display,cross-sell,returning,direct_email_match,0,20.0,2024-01-22,2024-01-22,21,22,49,50,42,38
2024-01-23 21:34:37.230000+00:00,2024-01-24 00:19:02+00:00,display,cross-sell,new,device_identifier_hash,1,32.0,2024-01-23,2024-01-24,21,0,34,19,37,2
2024-01-23 22:02:17.957000+00:00,2024-01-24 00:41:42+00:00,display,cross-sell,returning,device_identifier_hash,1,20.0,2024-01-23,2024-01-24,22,0,2,41,17,42
2024-01-23 22:15:06.775000+00:00,2024-01-27 17:56:34+00:00,display,cross-sell,new,direct_email_match,4,32.0,2024-01-23,2024-01-27,22,17,15,56,6,34
2024-01-23 18:26:53.544000+00:00,2024-01-28 19:19:54+00:00,display,cross-sell,new,direct_email_match,5,32.0,2024-01-23,2024-01-28,18,19,26,19,53,54
2024-01-23 18:31:09.596000+00:00,2024-01-25 16:11:36+00:00,display,cross-sell,new,direct_email_match,2,32.0,2024-01-23,2024-01-25,18,16,31,11,9,36
2024-01-24 09:52:51.574000+00:00,2024-01-30 09:36:41+00:00,display,cross-sell,returning,direct_email_match,6,20.0,2024-01-24,2024-01-30,9,9,52,36,51,41
2024-01-24 11:34:24.797000+00:00,2024-01-27 01:18:04+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,2024-01-24,2024-01-27,11,1,34,18,24,4
2024-01-24 11:37:02.356000+00:00,2024-01-24 15:15:18+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,2024-01-24,2024-01-24,11,15,37,15,2,18
2024-01-24 12:03:01.445000+00:00,2024-01-30 13:43:00+00:00,display,cross-sell,new,direct_email_match,6,32.0,2024-01-24,2024-01-30,12,13,3,43,1,0
2024-01-23 16:59:28.451000+00:00,2024-01-28 14:17:13+00:00,display,cross-sell,new,direct_email_match,5,32.0,2024-01-23,2024-01-28,16,14,59,17,28,13
2024-01-23 17:14:16.217000+00:00,2024-01-24 17:16:12+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2024-01-23,2024-01-24,17,17,14,16,16,12
2024-01-23 17:30:06.669000+00:00,2024-01-23 18:50:37+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-23,2024-01-23,17,18,30,50,6,37
2024-01-23 17:39:09.284000+00:00,2024-01-28 00:05:13+00:00,display,cross-sell,returning,direct_email_match,5,20.0,2024-01-23,2024-01-28,17,0,39,5,9,13
2024-01-03 19:52:10.385000+00:00,2024-01-04 13:31:17+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-03,2024-01-04,19,13,52,31,10,17
2024-01-03 20:15:08.224000+00:00,2024-01-08 04:29:29+00:00,display,cross-sell,returning,consumer_hash,5,20.0,2024-01-03,2024-01-08,20,4,15,29,8,29
2024-01-03 23:15:03.461000+00:00,2024-01-04 05:01:34+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,2024-01-03,2024-01-04,23,5,15,1,3,34
2024-01-03 23:32:13.618000+00:00,2024-01-04 03:27:30+00:00,display,cross-sell,returning,device_identifier_hash,1,20.0,2024-01-03,2024-01-04,23,3,32,27,13,30
2024-01-04 00:02:31.068000+00:00,2024-01-05 02:24:48+00:00,display,cross-sell,new,consumer_hash,1,32.0,2024-01-04,2024-01-05,0,2,2,24,31,48
2024-01-27 17:52:32.649000+00:00,2024-01-28 12:39:25+00:00,display,cross-sell,new,direct_email_match,1,32.0,2024-01-27,2024-01-28,17,12,52,39,32,25
2024-01-27 18:04:13.977000+00:00,2024-01-27 19:12:53+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,2024-01-27,2024-01-27,18,19,4,12,13,53
2024-01-04 05:01:35.460000+00:00,2024-01-04 15:52:54+00:00,display,cross-sell,returning,order_mapping_hash,0,20.0,2024-01-04,2024-01-04,5,15,1,52,35,54
2024-01-04 05:22:25.845000+00:00,2024-01-07 16:42:31+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2024-01-04,2024-01-07,5,16,22,42,25,31
2024-01-04 05:26:27.401000+00:00,2024-01-07 22:38:35+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,2024-01-04,2024-01-07,5,22,26,38,27,35
2024-01-04 06:24:18.528000+00:00,2024-01-04 20:44:50+00:00,display,cross-sell,returning,consumer_hash,0,20.0,2024-01-04,2024-01-04,6,20,24,44,18,50
2024-01-04 06:25:34.321000+00:00,2024-01-10 15:32:12+00:00,display,cross-sell,new,direct_email_match,6,32.0,2024-01-04,2024-01-10,6,15,25,32,34,12
2024-01-04 07:59:13.358000+00:00,2024-01-07 02:44:50+00:00,display,cross-sell,new,order_mapping_hash,3,32.0,2024-01-04,2024-01-07,7,2,59,44,13,50
2024-01-04 09:02:07.770000+00:00,2024-01-06 13:55:28+00:00,display,cross-sell,returning,consumer_hash,2,20.0,2024-01-04,2024-01-06,9,13,2,55,7,28
2024-01-28 03:44:01.271000+00:00,2024-01-29 00:08:11+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-28,2024-01-29,3,0,44,8,1,11
2024-01-28 04:34:15.149000+00:00,2024-01-30 04:47:30+00:00,display,cross-sell,new,direct_email_match,2,32.0,2024-01-28,2024-01-30,4,4,34,47,15,30
2024-01-28 05:29:08.516000+00:00,2024-01-29 10:38:51+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2024-01-28,2024-01-29,5,10,29,38,8,51
2024-01-29 05:11:43.874000+00:00,2024-01-29 07:22:32+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,2024-01-29,2024-01-29,5,7,11,22,43,32
2024-01-05 13:11:14.171000+00:00,2024-01-05 13:23:46+00:00,display,cross-sell,new,consumer_hash,0,32.0,2024-01-05,2024-01-05,13,13,11,23,14,46
2024-01-05 13:24:26.161000+00:00,2024-01-05 20:52:16+00:00,display,cross-sell,returning,consumer_hash,0,20.0,2024-01-05,2024-01-05,13,20,24,52,26,16
2024-01-05 13:28:17.531000+00:00,2024-01-05 13:33:44+00:00,display,cross-sell,returning,consumer_hash,0,20.0,2024-01-05,2024-01-05,13,13,28,33,17,44
2024-01-05 21:07:22.485000+00:00,2024-01-08 18:18:28+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,2024-01-05,2024-01-08,21,18,7,18,22,28
2024-01-05 21:10:36.728000+00:00,2024-01-07 15:40:20+00:00,display,cross-sell,new,consumer_hash,2,32.0,2024-01-05,2024-01-07,21,15,10,40,36,20
2024-01-05 21:20:53.376000+00:00,2024-01-06 18:11:53+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-05,2024-01-06,21,18,20,11,53,53
2024-01-30 00:18:05.608000+00:00,2024-01-30 01:04:49+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,2024-01-30,2024-01-30,0,1,18,4,5,49
2024-01-30 00:18:42.277000+00:00,2024-01-30 18:52:09+00:00,display,cross-sell,returning,direct_email_match,0,20.0,2024-01-30,2024-01-30,0,18,18,52,42,9
2024-01-30 00:36:41.325000+00:00,2024-01-30 00:48:05+00:00,click,cross-sell,new,device_identifier_hash,0,32.0,2024-01-30,2024-01-30,0,0,36,48,41,5
2024-01-30 00:50:36.318000+00:00,2024-01-31 00:05:42+00:00,display,cross-sell,new,direct_email_match,1,32.0,2024-01-30,2024-01-31,0,0,50,5,36,42
2024-01-06 19:02:29.554000+00:00,2024-01-07 05:33:32+00:00,display,cross-sell,returning,consumer_hash,1,20.0,2024-01-06,2024-01-07,19,5,2,33,29,32
2024-01-06 19:15:25.813000+00:00,2024-01-10 20:27:10+00:00,display,cross-sell,new,direct_email_match,4,32.0,2024-01-06,2024-01-10,19,20,15,27,25,10
2024-01-31 05:48:25.199000+00:00,2024-01-31 05:56:02+00:00,click,cross-sell,new,device_identifier_hash,0,32.0,2024-01-31,2024-01-31,5,5,48,56,25,2
2024-01-07 05:36:43.920000+00:00,2024-01-07 13:38:21+00:00,display,cross-sell,new,order_mapping_hash,0,32.0,2024-01-07,2024-01-07,5,13,36,38,43,21
2024-01-07 06:25:32.904000+00:00,2024-01-13 18:57:59+00:00,display,cross-sell,new,direct_email_match,6,32.0,2024-01-07,2024-01-13,6,18,25,57,32,59
2024-01-07 10:14:04.952000+00:00,2024-01-08 04:43:49+00:00,display,cross-sell,new,consumer_hash,1,32.0,2024-01-07,2024-01-08,10,4,14,43,4,49
2024-01-31 22:23:43.011000+00:00,2024-01-31 22:24:15+00:00,click,cross-sell,new,device_identifier_hash,0,32.0,2024-01-31,2024-01-31,22,22,23,24,43,15
2024-01-08 05:16:50.483000+00:00,2024-01-08 18:01:28+00:00,display,cross-sell,returning,order_mapping_hash,0,20.0,2024-01-08,2024-01-08,5,18,16,1,50,28
