event_diff_sec,formatted_time_diff
-5743.6,1.6 hr before
-1185086.0,2 week before
-1183575.0,2 week before
-1181310.2,2 week before
-75186.0,20.9 hr before
-75186.0,20.9 hr before
-74583.3,20.7 hr before
-1180467.0,2 week before
-74940.0,20.8 hr before
-75096.0,20.9 hr before
-74289.3,20.6 hr before
-72881.6,20.2 hr before
-1180367.3,2 week before
-75670.0,21 hr before
-76252.9,21.2 hr before
-1178604.4,1.9 week before
-1163737.6,1.9 week before
3433.2,57.2 min after
-1163480.3,1.9 week before
-77594.4,21.6 hr before
-77618.0,21.6 hr before
-78095.0,21.7 hr before
-8341.7,2.3 hr before
-78916.4,21.9 hr before
-1162937.9,1.9 week before
-79742.3,22.2 hr before
-1162125.4,1.9 week before
-1161879.5,1.9 week before
4121.4,1.1 hr after
-69162.5,19.2 hr before
-80362.9,22.3 hr before
-67094.0,18.6 hr before
-1155776.3,1.9 week before
-1150372.6,1.9 week before
-1147502.5,1.9 week before
-83552.6,23.2 hr before
-1145613.2,1.9 week before
-84047.6,23.3 hr before
-57708.8,16 hr before
-1143919.2,1.9 week before
8431.7,2.3 hr after
-1140111.5,1.9 week before
-1134399.6,1.9 week before
-1133495.9,1.9 week before
-1130766.0,1.9 week before
-8956.1,2.5 hr before
4632.2,1.3 hr after
-1129223.5,1.9 week before
-89006.8,1 day before
-89190.0,1 day before
-45726.5,12.7 hr before
-1128820.3,1.9 week before
-92991.1,1.1 day before
-93458.0,1.1 day before
-1128572.2,1.9 week before
-1126532.1,1.9 week before
-94393.0,1.1 day before
-1126429.7,1.9 week before
-1126282.9,1.9 week before
-95884.0,1.1 day before
-97081.0,1.1 day before
-1124542.9,1.9 week before
-98296.0,1.1 day before
-99900.0,1.2 day before
-1123500.4,1.9 week before
-1122071.0,1.9 week before
-102062.0,1.2 day before
-8956.1,2.5 hr before
-103553.4,1.2 day before
-1121155.2,1.9 week before
-4978.3,1.4 hr before
-5351.0,1.5 hr before
-1120015.4,1.9 week before
-1119251.0,1.9 week before
-105350.0,1.2 day before
-1117875.9,1.8 week before
-1117423.6,1.8 week before
-1116458.9,1.8 week before
-1115414.2,1.8 week before
-32671.1,9.1 hr before
5397.4,1.5 hr after
-1114262.6,1.8 week before
-1114022.6,1.8 week before
-1112003.1,1.8 week before
9499.4,2.6 hr after
-1107014.9,1.8 week before
-112062.1,1.3 day before
-1098813.1,1.8 week before
-20281.5,5.6 hr before
-114954.0,1.3 day before
-1093678.2,1.8 week before
5516.0,1.5 hr after
-116132.7,1.3 day before
-117928.7,1.4 day before
-119683.0,1.4 day before
5516.0,1.5 hr after
-1091529.1,1.8 week before
-1087404.7,1.8 week before
-2.9,2.9 sec before
-16432.3,4.6 hr before
-1082797.0,1.8 week before
-1078152.7,1.8 week before
-125336.2,1.5 day before
-1077623.7,1.8 week before
-1077466.1,1.8 week before
-1073639.9,1.8 week before
9674.4,2.7 hr after
-1066269.5,1.8 week before
-139539.0,1.6 day before
-1057960.4,1.7 week before
-141097.0,1.6 day before
-1054620.9,1.7 week before
-1054620.9,1.7 week before
-1054140.1,1.7 week before
-146044.0,1.7 day before
-4779.5,1.3 hr before
-1047229.6,1.7 week before
-1044142.7,1.7 week before
-1042847.6,1.7 week before
-165638.0,1.9 day before
7.1,7.1 sec after
-10148.6,2.8 hr before
-1042411.1,1.7 week before
10331.6,2.9 hr after
14064.9,3.9 hr after
-14925.3,4.1 hr before
-15563.0,4.3 hr before
-15941.7,4.4 hr before
-21578.0,6 hr before
-182609.0,2.1 day before
5722.9,1.6 hr after
-158034.0,1.8 day before
22810.4,6.3 hr after
11793.5,3.3 hr after
18737.6,5.2 hr after
-136837.6,1.6 day before
-1042178.2,1.7 week before
-1040689.0,1.7 week before
19018.1,5.3 hr after
-1039269.3,1.7 week before
-28693.1,8 hr before
-27716.6,7.7 hr before
58865.4,16.4 hr after
-1035222.3,1.7 week before
-1034139.8,1.7 week before
-38903.2,10.8 hr before
-1033272.9,1.7 week before
62640.4,17.4 hr after
83068.1,23.1 hr after
94256.1,1.1 day after
-1027692.8,1.7 week before
107589.2,1.2 day after
-1026716.2,1.7 week before
-26835.9,7.5 hr before
-1026412.1,1.7 week before
273937.8,3.2 day after
-1023973.3,1.7 week before
-1023696.7,1.7 week before
-1021337.8,1.7 week before
5722.9,1.6 hr after
6167.7,1.7 hr after
26990.8,7.5 hr after
-1020641.6,1.7 week before
6599.3,1.8 hr after
-1018916.2,1.7 week before
-1015341.3,1.7 week before
28112.6,7.8 hr after
-1013883.8,1.7 week before
-1013289.0,1.7 week before
-1009554.6,1.7 week before
130551.9,1.5 day after
-15619.3,4.3 hr before
-1003636.5,1.7 week before
-1002842.7,1.7 week before
-1001346.8,1.7 week before
-146254.0,1.7 day before
-147419.0,1.7 day before
32078.3,8.9 hr after
-1000126.2,1.7 week before
6599.3,1.8 hr after
-32193.7,8.9 hr before
6599.3,1.8 hr after
-150057.0,1.7 day before
-151748.0,1.8 day before
-997552.0,1.6 week before
-6648.8,1.8 hr before
-997491.4,1.6 week before
-995641.9,1.6 week before
-995641.9,1.6 week before
-6596.8,1.8 hr before
-989897.6,1.6 week before
-988368.2,1.6 week before
-160160.0,1.9 day before
-985352.6,1.6 week before
-161974.8,1.9 day before
-979944.9,1.6 week before
163958.8,1.9 day after
-164806.5,1.9 day before
-165542.0,1.9 day before
-974394.3,1.6 week before
-973110.2,1.6 week before
-167687.6,1.9 day before
-968791.6,1.6 week before
-169431.2,2 day before
-968078.6,1.6 week before
-963130.0,1.6 week before
-172311.0,2 day before
-172414.6,2 day before
-960508.1,1.6 week before
-959787.3,1.6 week before
-175857.0,2 day before
-958865.3,1.6 week before
-955241.9,1.6 week before
-954697.9,1.6 week before
-178577.0,2.1 day before
-953608.6,1.6 week before
-952495.8,1.6 week before
-5242.1,1.5 hr before
-950339.2,1.6 week before
-948705.7,1.6 week before
-946984.8,1.6 week before
-942356.3,1.6 week before
-940511.3,1.6 week before
-940114.1,1.6 week before
-7520.5,2.1 hr before
-939539.1,1.6 week before
-937527.0,1.6 week before
-192337.4,2.2 day before
-935023.2,1.5 week before
-927770.6,1.5 week before
-926199.5,1.5 week before
-204040.7,2.4 day before
-204443.0,2.4 day before
-925364.5,1.5 week before
-925171.2,1.5 week before
-207868.7,2.4 day before
-207868.7,2.4 day before
-211441.0,2.4 day before
-212714.7,2.5 day before
-922717.1,1.5 week before
-918875.6,1.5 week before
-213676.0,2.5 day before
-918157.8,1.5 week before
-918157.8,1.5 week before
-916239.5,1.5 week before
-916239.5,1.5 week before
-225331.0,2.6 day before
-915673.8,1.5 week before
-913826.7,1.5 week before
-912846.8,1.5 week before
-912554.2,1.5 week before
-909974.9,1.5 week before
-234766.0,2.7 day before
-236651.0,2.7 day before
-907384.5,1.5 week before
-906540.0,1.5 week before
-247588.0,2.9 day before
7690.1,2.1 hr after
-903134.4,1.5 week before
-9183.8,2.6 hr before
1944.8,32.4 min after
-9262.5,2.6 hr before
3760.2,1 hr after
-274198.0,3.2 day before
-9262.5,2.6 hr before
-9307.4,2.6 hr before
-9551.9,2.7 hr before
-10266.5,2.9 hr before
-34221.5,9.5 hr before
-10656.0,3 hr before
-903053.4,1.5 week before
-10849.1,3 hr before
-10957.9,3 hr before
-900007.7,1.5 week before
-11048.1,3.1 hr before
-898939.2,1.5 week before
-259262.2,3 day before
-250866.6,2.9 day before
-58100.8,16.1 hr before
-12897.5,3.6 hr before
-34314.1,9.5 hr before
-896457.3,1.5 week before
-896433.8,1.5 week before
-36181.0,10.1 hr before
-896433.8,1.5 week before
-36452.8,10.1 hr before
-13230.7,3.7 hr before
95452.4,1.1 day after
-894900.3,1.5 week before
-893681.6,1.5 week before
-887905.2,1.5 week before
-13604.4,3.8 hr before
-887195.7,1.5 week before
36927.9,10.3 hr after
-13741.5,3.8 hr before
22988.0,6.4 hr after
59808.1,16.6 hr after
60092.5,16.7 hr after
-886392.1,1.5 week before
-883771.8,1.5 week before
-225061.7,2.6 day before
-882164.4,1.5 week before
-877518.8,1.5 week before
-877358.8,1.5 week before
-875437.4,1.4 week before
-237028.0,2.7 day before
-874347.0,1.4 week before
-874236.3,1.4 week before
-872889.5,1.4 week before
62985.8,17.5 hr after
-871526.1,1.4 week before
-248492.0,2.9 day before
-871402.2,1.4 week before
-870959.7,1.4 week before
-867410.8,1.4 week before
-865789.6,1.4 week before
-861093.5,1.4 week before
-859452.1,1.4 week before
-56241.9,15.6 hr before
-858754.3,1.4 week before
-858489.9,1.4 week before
91727.2,1.1 day after
-858214.9,1.4 week before
-256054.0,3 day before
-256192.8,3 day before
-257033.9,3 day before
-55857.9,15.5 hr before
-262189.0,3 day before
-855014.9,1.4 week before
-854249.0,1.4 week before
-853583.3,1.4 week before
-850493.0,1.4 week before
-848466.0,1.4 week before
-267912.3,3.1 day before
-846572.5,1.4 week before
-846091.9,1.4 week before
-846076.0,1.4 week before
-272926.0,3.2 day before
-841096.2,1.4 week before
106057.5,1.2 day after
-5570.0,1.5 hr before
-837905.8,1.4 week before
-828072.6,1.4 week before
-826007.0,1.4 week before
-824379.9,1.4 week before
-818602.3,1.4 week before
-292980.8,3.4 day before
-293041.0,3.4 day before
-293126.0,3.4 day before
-818389.1,1.4 week before
-818235.8,1.4 week before
-814000.4,1.3 week before
-298517.5,3.5 day before
-814000.4,1.3 week before
-798366.8,1.3 week before
-796116.1,1.3 week before
-307466.9,3.6 day before
-794796.8,1.3 week before
-789438.3,1.3 week before
-782996.4,1.3 week before
-780471.7,1.3 week before
-775078.7,1.3 week before
-774553.4,1.3 week before
-774197.2,1.3 week before
-332080.0,3.8 day before
201785.8,2.3 day after
-37733.2,10.5 hr before
223983.9,2.6 day after
-14068.2,3.9 hr before
-15316.4,4.3 hr before
-18283.7,5.1 hr before
-347853.1,4 day before
-39288.3,10.9 hr before
-23565.6,6.5 hr before
-24855.9,6.9 hr before
-24855.9,6.9 hr before
-28210.8,7.8 hr before
44596.0,12.4 hr after
-28210.8,7.8 hr before
-774031.7,1.3 week before
-28210.8,7.8 hr before
-44868.1,12.5 hr before
-45120.5,12.5 hr before
-773065.7,1.3 week before
49329.8,13.7 hr after
47194.4,13.1 hr after
-29232.7,8.1 hr before
-29741.5,8.3 hr before
-29741.5,8.3 hr before
-346660.2,4 day before
-771498.6,1.3 week before
86088.1,23.9 hr after
24728.8,6.9 hr after
-771498.6,1.3 week before
33868.9,9.4 hr after
50912.9,14.1 hr after
-769184.3,1.3 week before
-52518.6,14.6 hr before
62253.2,17.3 hr after
86221.2,24 hr after
-768674.0,1.3 week before
170577.5,2 day after
-766434.9,1.3 week before
256371.0,3 day after
-59189.2,16.4 hr before
-766415.2,1.3 week before
-765806.3,1.3 week before
362876.6,4.2 day after
-763292.9,1.3 week before
-763178.5,1.3 week before
418306.5,4.8 day after
-762182.1,1.3 week before
-759303.1,1.3 week before
-757852.5,1.3 week before
-757021.9,1.3 week before
-321108.7,3.7 day before
-753630.8,1.2 week before
-753377.0,1.2 week before
-753046.6,1.2 week before
-749020.5,1.2 week before
-744895.1,1.2 week before
-737976.4,1.2 week before
-731914.6,1.2 week before
-731238.3,1.2 week before
-729565.7,1.2 week before
-726330.1,1.2 week before
-725083.4,1.2 week before
-723886.1,1.2 week before
-723260.2,1.2 week before
-722668.2,1.2 week before
-720374.8,1.2 week before
-720342.2,1.2 week before
-717305.9,1.2 week before
-344726.0,4 day before
-82057.4,22.8 hr before
-714893.7,1.2 week before
-714877.1,1.2 week before
-714808.0,1.2 week before
