order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2335923,Facebook Ads,fb,2024-01-01 01:37:24+00:00,2024-01-01 01:28:43.055000+00:00,0,3,1
2335923,Facebook Ads,fb,2024-01-01 01:37:24+00:00,2024-01-01 01:31:54.651000+00:00,0,3,2
2335923,Unattributed,unattributed,2024-01-01 01:37:24+00:00,2024-01-01 01:37:24+00:00,0,3,3
2335932,Klaviyo,utm medium - email,2024-01-01 01:42:21+00:00,2024-01-01 00:12:20.584000+00:00,0,2,1
2335932,Unattributed,unattributed,2024-01-01 01:42:21+00:00,2024-01-01 01:42:21+00:00,0,2,2
2335942,Klaviyo,utm medium - email,2024-01-01 01:47:57+00:00,2023-12-31 18:47:26.720000+00:00,0,3,1
2335942,Klaviyo,utm medium - email,2024-01-01 01:47:57+00:00,2024-01-01 01:26:25.237000+00:00,0,3,2
2335942,Unattributed,unattributed,2024-01-01 01:47:57+00:00,2024-01-01 01:47:57+00:00,0,3,3
2336054,Facebook Ads,fb,2024-01-01 02:45:57+00:00,2024-01-01 02:21:31.289000+00:00,0,3,1
2336054,Google Ads,adwords,2024-01-01 02:45:57+00:00,2024-01-01 02:22:41.489000+00:00,0,3,2
2336054,Unattributed,unattributed,2024-01-01 02:45:57+00:00,2024-01-01 02:45:57+00:00,0,3,3
2336088,Klaviyo,utm medium - email,2024-01-01 02:59:58+00:00,2023-12-19 18:12:47.011000+00:00,12,4,1
