brand,period,days,brand_impr,conv_count,ad_spend,daily_impr,cvr,cpa,rpl
Blueland,Post-Max,22.0,1403974,3668,52500.0,63817.0,0.0026125839937206816,14.312977099236642,0.03739385487195632
Blueland,Pre-Max,9.0,855646,2083,26396.0,95071.77777777778,0.002434417971918293,12.672107537205953,0.030849206330655434
Dreamland Baby,Post-Max,13.666666666666666,515264,1123,19726.0,37702.243902439026,0.002179465283815675,17.565449688334816,0.0382832877903366
Dreamland Baby,Pre-Max,16.666666666666668,836383,1200,21995.0,50182.979999999996,0.0014347493911282272,18.329166666666666,0.026297760714887798
HATCH,Post-Max,2.0,62430,78,1400.0,31215.0,0.0012493993272465161,17.94871794871795,0.022425116130065672
HATCH,Pre-Max,29.857142857142858,1140459,2643,47465.0,38197.19138755981,0.0023174879587955378,17.958758986000756,0.04161920770496791
Kopari,Post-Max,15.875,1118671,2096,26951.0,70467.46456692913,0.0018736518601090043,12.858301526717558,0.0240919805733768
Kopari,Pre-Max,14.875,1470492,2960,35707.0,98856.6050420168,0.002012931726252166,12.063175675675677,0.024282349036920975
LIVELY,Post-Max,2.75,74870,74,1698.0,27225.454545454544,0.0009883798584212635,22.945945945945947,0.02267931080539602
LIVELY,Pre-Max,29.0,2544665,2805,43713.0,87747.06896551725,0.0011023061974758956,15.583957219251337,0.017178292623979973
Lunya,Post-Max,11.0,339216,449,9729.0,30837.81818181818,0.0013236403943210225,21.66815144766147,0.028680840526390264
Lunya,Pre-Max,21.0,708117,1213,28026.0,33719.857142857145,0.0017129937566814524,23.10469909315746,0.03957820529658235
Snuggle Me Organic,Post-Max,15.0,1236982,1844,33125.0,82465.46666666666,0.0014907250065077746,17.96366594360087,0.026778886030677893
Snuggle Me Organic,Pre-Max,17.0,1471432,1773,33104.0,86554.82352941176,0.0012049486486633428,18.671178793006206,0.022497811655584492
Sol de Janeiro,Post-Max,21.0,1825864,3991,43801.0,86945.90476190476,0.002185814496589012,10.974943623152091,0.02398919087073298
Sol de Janeiro,Pre-Max,10.0,1295686,2515,25165.0,129568.6,0.0019410567066403435,10.00596421471173,0.01942214394536948
Surely Wines,Post-Max,1.0,50799,45,682.5,50799.0,0.0008858442095316837,15.166666666666666,0.01343530384456387
Surely Wines,Pre-Max,28.666666666666668,2631010,6784,92190.82,91779.41860465116,0.002578477466828328,13.58944870283019,0.0350400872668671
True Botanicals,Post-Max,30.0,352120,231,5849.0,11737.333333333334,0.0006560263546518232,25.32034632034632,0.016610814495058503
True Botanicals,Pre-Max,2.0,21444,20,576.0,10722.0,0.0009326618168252192,28.8,0.026860660324566313
Tubby Todd Bath Co.,Post-Max,16.0,1144414,1695,29919.0,71525.875,0.001481107361496801,17.651327433628317,0.02614351100213734
Tubby Todd Bath Co.,Pre-Max,16.0,1172940,1487,27008.0,73308.75,0.0012677545313485772,18.162743779421653,0.023025900728084983
vitruvi,Post-Max,5.0,254783,346,6831.0,50956.6,0.0013580183921219234,19.74277456647399,0.02681105097278861
vitruvi,Pre-Max,27.0,1374377,2803,60287.0,50902.851851851854,0.0020394695196441735,21.508027113806637,0.043864965726289076
