brand,emergent_brand,session_count,emergent_brand_rank,category_similarity_x,full_category_similarity_x,category_similarity_y,full_category_similarity_y,category_similarity,full_category_similarity
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Beachwaver,1849,1.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,BlendJet,309,2.0,0.9999983463314999,0.944849974845343,0.9999983463314999,0.944849974845343,0.9999983463314999,0.944849974845343
Blueland,Caden Lane,36,10.0,0.7597743130466298,0.7932914276404102,0.7597743130466298,0.7932914276404102,0.7597743130466298,0.7932914276404102
Blueland,Dropps,101,6.0,1.0,1.0,1.0,1.0,1.0,1.0
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,For Days,291,3.0,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111,0.8153863200536454,0.8112028629428111
Blueland,Glamnetic,259,4.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,Hismile,205,5.0,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838,0.7873809098656892,0.7920049651272838
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,ILIA,90,7.0,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412,0.8177895410165412
Blueland,Laura Geller,77,8.0,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007,0.8177895410165412,0.8099020676697007
Blueland,Liquid I.V.,77,9.0,0.8302722187786362,0.8498660466832997,0.8302722187786362,0.8498660466832997,0.8302722187786362,0.8498660466832997
