ticket,order_url,timestamp,in_db
PTEST-15,https://clevrblends.com/checkouts/co/ac05d0817bde0d8be3be9d07bdc6e665/thank_you,24/Oct/23 5:53 PM,True
PTEST-14,https://www.manscaped.com/checkout/thankyou/652f3c8ff67b60c3aaeca57e,17/Oct/23 7:05 PM,False
PTEST-13,https://keepyourcadence.com/24773263445/orders/2e9395d90f9caff315aadcd8f41f743f,16/Oct/23 11:53 AM,True
PTEST-12,https://notobotanics.com/16272127/orders/4359af0d582f89feb6348c3ad6b5833d,16/Oct/23 11:51 AM,True
PTEST-11,https://shop.carawayhome.com/checkouts/co/8e35077783ebd4346e4c755bc97f3ba2/thank_you,12/Oct/23 1:32 PM,True
PTEST-10,https://badbirdiegolf.com/18839119/checkouts/8dac79786d046c9ee06fdb2bb34a4572/thank_you,12/Oct/23 1:30 PM,True
PTEST-9,https://captainblankenship.com/checkouts/cn/6b7ef1d735be3f1829bd5023a95944b5/thank_you,12/Oct/23 11:30 AM,True
PTEST-8,https://highlinewellness.com/7726235721/checkouts/2376ace415e423349ddf4d24a4dfa126/thank_you,12/Oct/23 11:30 AM,True
PTEST-7,https://www.curehydration.com/7323713602/orders/9ae1a4edee4fd35023f35aec918a942d,10/Oct/23 12:21 PM,True
PTEST-6,https://neiwai.life/45763920021/orders/3360dfc9cac4e30a551545524c33fa45,10/Oct/23 12:20 PM,True
PTEST-5,https://shop.liquid-iv.com/13381013/checkouts/c6bdb2f91ea4151b2efd5a243fb74be3/thank_you,07/Oct/23 1:36 PM,False
PTEST-4,https://soldejaneiro.com/28262250/checkouts/f658e637d227dd937a267f8958eb2d5c/thank_you,07/Oct/23 1:14 PM,False
PTEST-3,https://soldejaneiro.com/28262250/checkouts/f658e637d227dd937a267f8958eb2d5c/thank_you,07/Oct/23 12:58 PM,False
