BRAND_NAME,"VERTICAL_DISPLAY_POSITION",BRAND_DISPLAYS,CONV,AD_SPEND
"Joanna Vargas Skincare",35,3,0,0.00
MAVRICKS,68,1,0,0.00
SolaWave,55,24,0,0.00
"Modern Picnic",232,1,0,0.00
"Natalist Co.",186,3,0,0.00
Manduka,77,16,0,0.00
Lunya,47,7,0,0.00
"Why and Whale",179,2,0,0.00
Gooselings,100,4,0,0.00
"Corpus Naturals",131,1,0,0.00
"Common Era Jewelry",24,96,0,0.00
Evereden,7,626,0,0.00
"Airo Collective",163,1,0,0.00
"Green Paper Products",3,94,0,0.00
iloveplum,12,3,0,0.00
"Dryft Sleep",69,9,0,0.00
Bliss,108,2,0,0.00
"Firebelly Tea",56,4,0,0.00
ETOILE,18,1,0,0.00
"esmi Skin Minerals",178,1,0,0.00
Canopy,63,32,0,0.00
"Corpus Naturals",21,49,0,0.00
"Dirty Labs",135,6,0,0.00
Rains,8,213,0,0.00
"Posh Peanut",40,75,0,0.00
Giapenta,220,1,0,0.00
"Munk Pack",131,5,0,0.00
Shinesty,57,2,0,0.00
"Sonic Power",152,1,0,0.00
"Dr Sari's Lunar Sync",270,1,0,0.00
Coromega,114,1,0,0.00
Foria,122,2,0,0.00
Otteroo,68,5,0,0.00
"Bean Products",1,49,0,0.00
"Homesick Candles",135,2,0,0.00
"Crown Affair",13,151,0,0.00
"Haus of Brilliance",233,1,0,0.00
"Winky Lux",6,99,0,0.00
Paperclip,177,3,0,0.00
GhostBed,58,43,0,0.00
"Nala Care",48,8,0,0.00
"Uncharted Coffee Supply",191,1,0,0.00
"Sprout Living",31,3,0,0.00
"zing bars",106,1,0,0.00
"Blessed Be Magick",21,6,0,0.00
CanDo,47,15,0,0.00
"Birthdate Co.",103,2,0,0.00
"NOTO Botanics",59,11,0,0.00
"Wolf & Shepherd",79,12,0,0.00
Hydrant,162,1,0,0.00
TriLASTIN,111,7,0,0.00
"Girlfriend Collective",85,7,0,0.00
"My Girl Wellness",52,24,0,0.00
"Serenity Kids",162,2,0,0.00
"Ritual Zero Proof",62,36,0,0.00
"Matador Meggings",23,27,0,0.00
Vacation®,64,18,0,0.00
"Kate Quinn",37,54,0,0.00
"Sol de Janeiro",66,4,0,0.00
"Sol de Janeiro",260,1,0,0.00
"Aura Bora",96,5,0,0.00
"Out of the Woods",65,6,0,0.00
"Raw Botanics",285,1,0,0.00
"Mented Cosmetics",55,17,0,0.00
Thorlos,69,40,0,0.00
"Year & Day",85,4,0,0.00
Nood,26,152,0,0.00
"Seafolly Australia",32,71,0,0.00
Spyder,178,1,0,0.00
Kindra,94,10,0,0.00
"Beginning Boutique",119,2,0,0.00
"Saranoni Luxury Blankets",129,1,0,0.00
"Year & Day",322,1,0,0.00
Volcom,196,1,0,0.00
"Bed Babe",76,4,0,0.00
"Hello Cake",6,172,0,0.00
TriLASTIN,10,199,0,0.00
"Ellie & Becks",87,17,0,0.00
MORI,247,1,0,0.00
Bliss,85,4,0,0.00
"Fresh Peaches",230,1,0,0.00
"Crown Affair",104,11,0,0.00
FRANC,26,5,0,0.00
"Monica & Andy Inc.",160,1,0,0.00
Moonglow,29,35,0,0.00
Oradina,26,84,0,0.00
Popadelics,100,6,0,0.00
"Nala Care",37,25,0,0.00
"Haand Inc",157,1,0,0.00
"Fresh Peaches",99,7,0,0.00
"Monica & Andy Inc.",83,8,0,0.00
ANATOMY®,6,1,0,0.00
jot,146,10,0,0.00
Dropps,146,2,0,0.00
TriLASTIN,54,31,0,0.00
"Love in Faith",168,1,0,0.00
SortJoy,99,2,0,0.00
"Felix Gray",66,9,0,0.00
"Siete Foods",148,3,0,0.00
"Snuggle Me Organic",86,7,0,0.00
ILYSM,4,2,0,0.00
"Modern Fuel",32,53,0,0.00
"Highline Wellness",145,3,0,0.00
Houseplant,97,2,0,0.00
"Elegant Baby",182,2,0,0.00
"Giften Market",170,2,0,0.00
"Clover by CLOVE + HALLOW",128,4,0,0.00
Paperclip,46,2,0,0.00
ezpz,121,2,0,0.00
"Modern Fuel",99,1,0,0.00
"Kosas Cosmetics",14,390,0,0.00
"NOMAD Grills",49,9,0,0.00
"Aura Bora",170,1,0,0.00
"Trace Minerals",122,3,0,0.00
"Sonic Power",23,1,0,0.00
"Just Date",143,3,0,0.00
Brightech,17,49,0,0.00
Wildfang,281,1,0,0.00
"Luca Faloni",74,8,0,0.00
"Once Upon a Farm",80,7,0,0.00
Needed,108,1,0,0.00
epi.logic,92,5,0,0.00
"Sensory Joy",21,6,0,0.00
"Ursa Major",127,3,0,0.00
"Vous Vitamin",18,1,0,0.00
"Spärkel Beverage Systems",34,1,0,0.00
"Fuse Lenses",62,35,0,0.00
ETOILE,13,4,0,0.00
embody,59,1,0,0.00
Alkavida,135,3,0,0.00
"NOTO Botanics",34,24,0,0.00
Vacation®,29,56,0,0.00
"Sonrei Skin",98,4,0,0.00
"Seafolly Australia",58,26,0,0.00
"Le Mini Macaron",168,1,0,0.00
INBLOOM,162,4,0,0.00
"Haus of Brilliance",118,11,0,0.00
"Coco Moon",149,2,0,0.00
AVEC,29,17,0,0.00
GhostBed,120,5,0,0.00
Canary,136,6,0,0.00
wildwonder,156,4,0,0.00
Houseplant,65,4,0,0.00
wildwonder,4,4832,0,0.00
ETOILE,94,1,0,0.00
"Felix Gray",4,317,0,0.00
LIVELY,29,292,0,0.00
vitruvi,73,10,0,0.00
"Yana Sleep",93,2,0,0.00
FRANC,88,3,0,0.00
KraveBeauty,124,1,0,0.00
"Wild Rye",12,1,0,0.00
"Feel Goods",134,4,0,0.00
"Corpus Naturals",89,5,0,0.00
"Haand Inc",144,7,0,0.00
INBLOOM,45,21,0,0.00
"The CrunchCup",109,4,0,0.00
"Ancient Nutrition",123,1,0,0.00
"Som Sleep",80,15,0,0.00
"Karma Nuts",147,1,0,0.00
"Love, Plants",82,1,0,0.00
"The CrunchCup",50,25,0,0.00
"Seoul Ceuticals",148,2,0,0.00
CanDo,92,6,0,0.00
"Nuudii System",134,7,0,0.00
Nanit,36,22,0,0.00
Caramels.com,70,24,0,0.00
"Ami Colé",3,82,0,0.00
"Altitude Functional Beverages",215,1,0,0.00
"Hello Cake",163,3,0,0.00
"Ora Organic",1,340,0,0.00
"Faherty Brand",133,1,0,0.00
"Safari Ltd",46,2,0,0.00
"Native Pet",184,1,0,0.00
12|12,43,10,0,0.00
AVEC,33,55,0,0.00
"D.S. & Durga",164,1,0,0.00
"Willow Pumps",128,4,0,0.00
"INH Hair",142,3,0,0.00
Hydrant,47,17,0,0.00
"Surely Wines",94,4,0,0.00
AVEC,223,1,0,0.00
"Toad&Co",18,39,0,0.00
"Red Racer Books",221,1,0,0.00
eyebobs,168,1,0,0.00
Doré,198,2,0,0.00
"Matador Meggings",191,1,0,0.00
"Cali's Books",19,57,0,0.00
"Oat Mama",9,1,0,0.00
"Saranoni Luxury Blankets",206,2,0,0.00
"INTO THE AM",109,12,0,0.00
"Birthdate Co.",85,10,0,0.00
Gibsonlook,17,237,0,0.00
neoNutritions,203,1,0,0.00
"NOMAD Grills",20,19,0,0.00
"SACHEU Beauty",106,2,0,0.00
"Monica & Andy Inc.",9,1529,0,0.00
"Tula Skincare",58,7,0,0.00
Lalabu,209,1,0,0.00
Anyday,98,4,0,0.00
"Hello Cake",12,66,0,0.00
Rains,137,3,0,0.00
"The Secure Mat",74,6,0,0.00
"ELVY Lab",148,3,0,0.00
"Elegant Baby",121,4,0,0.00
"Kortni Jeane",42,24,0,0.00
"Aura Bora",26,23,0,0.00
Cadence,15,571,0,0.00
"Tower 28 Beauty",55,31,0,0.00
Gibsonlook,60,42,0,0.00
"True Botanicals",53,19,0,0.00
Waterboy,10,471,0,0.00
Thorlos,156,2,0,0.00
RiotSociety.com,146,1,0,0.00
"Haand Inc",52,24,0,0.00
"Beekman 1802",63,11,0,0.00
vitruvi,171,3,0,0.00
"Moon Pals",28,33,0,0.00
"Moon Pals",224,1,0,0.00
"Bad Birdie",107,2,0,0.00
"Dirty Labs",149,1,0,0.00
"EGG New York",30,19,0,0.00
Calin,57,18,0,0.00
"Oars + Alps",23,80,0,0.00
ETOILE,83,3,0,0.00
HATCH,166,1,0,0.00
"Glimmer Wish",75,3,0,0.00
"Jordan Craig",8,34,0,0.00
"August Uncommon Tea",35,29,0,0.00
"Seamless Lingerie",205,1,0,0.00
"Bushwick Kitchen",106,3,0,0.00
"Corpus Naturals",78,9,0,0.00
FRANC,142,1,0,0.00
"Le Monde Gourmand",188,1,0,0.00
SENREVE,78,7,0,0.00
woolino,155,7,0,0.00
"Dryft Sleep",61,6,0,0.00
"ELVY Lab",133,1,0,0.00
"Ritual Zero Proof",154,2,0,0.00
"Nala Care",157,2,0,0.00
"Solly Baby",45,16,0,0.00
"Rif Care",237,2,0,0.00
"LightWater Skin",205,1,0,0.00
"Year & Day",115,2,0,0.00
Evergreen,129,5,0,0.00
Konny,145,2,0,0.00
"Sprout Living",94,4,0,0.00
"Ruggish Co.",202,1,0,0.00
"Dermaclara, LLC",74,27,0,0.00
woolino,98,5,0,0.00
"Sunfood Superfoods",155,3,0,0.00
LIVELY,173,2,0,0.00
"Native Pet",34,11,0,0.00
Molekule,191,1,0,0.00
ByHeart,85,20,0,0.00
"Distil Union",60,8,0,0.00
"Altitude Functional Beverages",233,1,0,0.00
wildwonder,278,1,0,0.00
Oeuf,64,6,0,0.00
Alkavida,122,2,0,0.00
"Carve Designs",92,14,0,0.00
"Cali's Books",53,110,0,0.00
"Matador Meggings",3,212,0,0.00
"D.S. & Durga",107,2,0,0.00
"TUSOL Wellness",60,1,0,0.00
"Why and Whale",45,13,0,0.00
Kijibae,28,2,0,0.00
"Gravity Blankets",14,8,0,0.00
"Tinto Amorio",18,3,0,0.00
Golde,146,6,0,0.00
"Out of the Woods",18,5,0,0.00
"The CrunchCup",128,2,0,0.00
"Winged Wellness",34,15,0,0.00
"Out of the Woods",167,1,0,0.00
"Dr. Squatch",50,1,0,0.00
Molekule,20,124,0,0.00
"Moby Wrap",111,3,0,0.00
Evergreen,206,3,0,0.00
"Faherty Brand",22,8,0,0.00
Cardon,99,1,0,0.00
UPSAINT,63,4,0,0.00
"My Girl Wellness",184,2,0,0.00
"Rif Care",10,2,0,0.00
"Dr. Motion",240,2,0,0.00
"Munk Pack",196,4,0,0.00
NERRĀ,116,1,0,0.00
"Beginning Boutique",147,1,0,0.00
"MAXPRO Fitness",18,205,0,0.00
"Red Racer Books",132,1,0,0.00
"Hedley & Bennett",40,59,0,0.00
"Kate Quinn",89,1,0,0.00
Siblings,4,615,0,0.00
"Leeway Home",87,2,0,0.00
Konny,130,1,0,0.00
"Modern Picnic",143,1,0,0.00
ettitude,135,2,0,0.00
"Outer Aisle",141,1,0,0.00
"Som Sleep",62,12,0,0.00
"Fable Home",24,73,0,0.00
"Serenity Kids",91,12,0,0.00
"Sprout Living",11,85,0,0.00
Siblings,139,1,0,0.00
"La V'rose Skincare",175,1,0,0.00
"Ancient Nutrition",64,21,0,0.00
"Ellie & Becks",93,74,0,0.00
Brightech,134,3,0,0.00
Alpha-H,81,6,0,0.00
OrnamentallyYou,144,2,0,0.00
"Distil Union",10,215,0,0.00
120/Life,144,1,0,0.00
MANSCAPED,161,1,0,0.00
"Dollar Shave Club",49,11,0,0.00
OrnamentallyYou,122,3,0,0.00
Spyder,87,27,0,0.00
"OOBE BRAND",95,3,0,0.00
SolaWave,28,182,0,0.00
SENREVE,77,9,0,0.00
Mosi,87,1,0,0.00
"NOT!CE Hair Co",214,1,0,0.00
"Carve Designs",81,19,0,0.00
"Matador Meggings",133,1,0,0.00
"happy being",20,85,0,0.00
"Ry & Pen",81,5,0,0.00
"Common Era Jewelry",9,890,0,0.00
"Seafolly Australia",214,3,0,0.00
AVEC,79,9,0,0.00
Tushbaby,149,1,0,0.00
"Snuggle Me Organic",146,1,0,0.00
Giapenta,46,30,0,0.00
"Tula Skincare",134,1,0,0.00
Bellway,159,1,0,0.00
INBLOOM,65,17,0,0.00
"West Chop Co",111,2,0,0.00
"Wild Rye",8,1,0,0.00
GhostBed,111,1,0,0.00
"Better & Better",85,17,0,0.00
"MAXPRO Fitness",254,1,0,0.00
"Petunia Pickle Bottom",9,310,0,0.00
"Wolf & Shepherd",121,1,0,0.00
"Ursa Major",35,98,0,0.00
"Surely Wines",99,1,0,0.00
"Verdant Lyfe",114,1,0,0.00
"Distil Union",143,3,0,0.00
"ARMRA Colostrum™",31,38,0,0.00
Inamorata,51,14,0,0.00
FullWell,176,1,0,0.00
"Better & Better",158,2,0,0.00
"Nampons LLC",143,1,0,0.00
"Dr Sari's Lunar Sync",3,45,0,0.00
jot,109,2,0,0.00
Needed,137,1,0,0.00
"Sunfood Superfoods",71,22,0,0.00
"Bushwick Kitchen",76,4,0,0.00
"Sabrina Zeng",86,3,0,0.00
"Posh Peanut",155,3,0,0.00
"Milton & Goose",81,4,0,0.00
Lollipetals,18,32,0,0.00
Stix,105,1,0,0.00
